"replicate","status","timestamp","error"
1,"done","2026-05-15 02:04:02.713707",""
2,"done","2026-05-15 02:04:02.713707",""
3,"done","2026-05-15 02:04:02.713707",""
4,"done","2026-05-15 02:04:02.713707",""
5,"done","2026-05-15 02:04:02.713707",""
6,"done","2026-05-15 02:04:02.713707",""
7,"done","2026-05-15 02:04:02.713707",""
8,"done","2026-05-15 02:04:02.713707",""
9,"done","2026-05-15 02:04:02.713707",""
10,"done","2026-05-15 02:04:02.713707",""
11,"done","2026-05-15 02:04:02.713707",""
12,"done","2026-05-15 02:04:02.713707",""
13,"done","2026-05-15 02:04:02.713707",""
14,"done","2026-05-15 02:04:02.713707",""
15,"done","2026-05-15 02:04:02.713707",""
16,"done","2026-05-15 02:04:02.713707",""
17,"done","2026-05-15 02:04:02.713707",""
18,"done","2026-05-15 02:04:02.713707",""
19,"done","2026-05-15 02:04:02.713707",""
20,"done","2026-05-15 02:04:02.713707",""
21,"done","2026-05-15 02:04:02.713707",""
22,"done","2026-05-15 02:04:02.713707",""
23,"done","2026-05-15 02:04:02.713707",""
24,"done","2026-05-15 02:04:02.713707",""
25,"done","2026-05-15 02:04:02.713707",""
26,"done","2026-05-15 02:04:02.713707",""
27,"done","2026-05-15 02:04:02.713707",""
28,"done","2026-05-15 02:04:02.713707",""
29,"done","2026-05-15 02:04:02.713707",""
30,"done","2026-05-15 02:04:02.713707",""
31,"done","2026-05-15 02:04:02.713707",""
32,"done","2026-05-15 02:04:02.713707",""
33,"done","2026-05-15 02:04:02.713707",""
34,"done","2026-05-15 02:04:02.713707",""
35,"done","2026-05-15 02:04:02.713707",""
36,"done","2026-05-15 02:04:02.713707",""
37,"done","2026-05-15 02:04:02.713707",""
38,"done","2026-05-15 02:04:02.713707",""
39,"done","2026-05-15 02:04:02.713707",""
40,"done","2026-05-15 02:04:02.713707",""
41,"done","2026-05-15 02:04:02.713707",""
42,"done","2026-05-15 02:04:02.713707",""
43,"done","2026-05-15 02:04:02.713707",""
44,"done","2026-05-15 02:04:02.713707",""
45,"done","2026-05-15 02:04:02.713707",""
46,"done","2026-05-15 02:04:02.713707",""
47,"done","2026-05-15 02:04:02.713707",""
48,"done","2026-05-15 02:04:02.713707",""
49,"done","2026-05-15 02:04:02.713707",""
50,"done","2026-05-15 02:04:02.713707",""
51,"done","2026-05-15 02:04:02.713707",""
52,"done","2026-05-15 02:04:02.713707",""
53,"done","2026-05-15 02:04:02.713707",""
54,"done","2026-05-15 02:04:02.713707",""
55,"done","2026-05-15 02:04:02.713707",""
56,"done","2026-05-15 02:04:02.713707",""
57,"done","2026-05-15 02:04:02.713707",""
58,"done","2026-05-15 02:04:02.713707",""
59,"done","2026-05-15 02:04:02.713707",""
60,"done","2026-05-15 02:04:02.713707",""
61,"done","2026-05-15 02:04:02.713707",""
62,"done","2026-05-15 02:04:02.713707",""
63,"done","2026-05-15 02:04:02.713707",""
64,"done","2026-05-15 02:04:02.713707",""
65,"done","2026-05-15 02:04:02.713707",""
66,"done","2026-05-15 02:04:02.713707",""
67,"done","2026-05-15 02:04:02.713707",""
68,"done","2026-05-15 02:04:02.713707",""
69,"done","2026-05-15 02:04:02.713707",""
70,"done","2026-05-15 02:04:02.713707",""
71,"done","2026-05-15 02:04:02.713707",""
72,"done","2026-05-15 02:04:02.713707",""
73,"done","2026-05-15 02:04:02.713707",""
74,"done","2026-05-15 02:04:02.713707",""
75,"done","2026-05-15 02:04:02.713707",""
76,"done","2026-05-15 02:04:02.713707",""
77,"done","2026-05-15 02:04:02.713707",""
78,"done","2026-05-15 02:04:02.713707",""
79,"done","2026-05-15 02:04:02.713707",""
80,"done","2026-05-15 02:04:02.713707",""
81,"done","2026-05-15 02:04:02.713707",""
82,"done","2026-05-15 02:04:02.713707",""
83,"done","2026-05-15 02:04:02.713707",""
84,"done","2026-05-15 02:04:02.713707",""
85,"done","2026-05-15 02:04:02.713707",""
86,"done","2026-05-15 02:04:02.713707",""
87,"done","2026-05-15 02:04:02.713707",""
88,"done","2026-05-15 02:04:02.713707",""
89,"done","2026-05-15 02:04:02.713707",""
90,"done","2026-05-15 02:04:02.713707",""
91,"done","2026-05-15 02:04:02.713707",""
92,"done","2026-05-15 02:04:02.713707",""
93,"done","2026-05-15 02:04:02.713707",""
94,"done","2026-05-15 02:04:02.713707",""
95,"done","2026-05-15 02:04:02.713707",""
96,"done","2026-05-15 02:04:02.713707",""
97,"done","2026-05-15 02:04:02.713707",""
98,"done","2026-05-15 02:04:02.713707",""
99,"done","2026-05-15 02:04:02.713707",""
100,"done","2026-05-15 02:04:02.713707",""
101,"done","2026-05-15 02:04:02.713707",""
102,"done","2026-05-15 02:04:02.713707",""
103,"done","2026-05-15 02:04:02.713707",""
104,"done","2026-05-15 02:04:02.713707",""
105,"done","2026-05-15 02:04:02.713707",""
106,"done","2026-05-15 02:04:02.713707",""
107,"done","2026-05-15 02:04:02.713707",""
108,"done","2026-05-15 02:04:02.713707",""
109,"done","2026-05-15 02:04:02.713707",""
110,"done","2026-05-15 02:04:02.713707",""
111,"done","2026-05-15 02:04:02.713707",""
112,"done","2026-05-15 02:04:02.713707",""
113,"done","2026-05-15 02:04:02.713707",""
114,"done","2026-05-15 02:04:02.713707",""
115,"done","2026-05-15 02:04:02.713707",""
116,"done","2026-05-15 02:04:02.713707",""
117,"done","2026-05-15 02:04:02.713707",""
118,"done","2026-05-15 02:04:02.713707",""
119,"done","2026-05-15 02:04:02.713707",""
120,"done","2026-05-15 02:04:02.713707",""
121,"done","2026-05-15 02:04:02.713707",""
122,"done","2026-05-15 02:04:02.713707",""
123,"done","2026-05-15 02:04:02.713707",""
124,"done","2026-05-15 02:04:02.713707",""
125,"done","2026-05-15 02:04:02.713707",""
126,"done","2026-05-15 02:04:02.713707",""
127,"done","2026-05-15 02:04:02.713707",""
128,"done","2026-05-15 02:04:02.713707",""
129,"done","2026-05-15 02:04:02.713707",""
130,"done","2026-05-15 02:04:02.713707",""
131,"done","2026-05-15 02:04:02.713707",""
132,"done","2026-05-15 02:04:02.713707",""
133,"done","2026-05-15 02:04:02.713707",""
134,"done","2026-05-15 02:04:02.713707",""
135,"done","2026-05-15 02:04:02.713707",""
136,"done","2026-05-15 02:04:02.713707",""
137,"done","2026-05-15 02:04:02.713707",""
138,"done","2026-05-15 02:04:02.713707",""
139,"done","2026-05-15 02:04:02.713707",""
140,"done","2026-05-15 02:04:02.713707",""
141,"done","2026-05-15 02:04:02.713707",""
142,"done","2026-05-15 02:04:02.713707",""
143,"done","2026-05-15 02:04:02.713707",""
144,"done","2026-05-15 02:04:02.713707",""
145,"done","2026-05-15 02:04:02.713707",""
146,"done","2026-05-15 02:04:02.713707",""
147,"done","2026-05-15 02:04:02.713707",""
148,"done","2026-05-15 02:04:02.713707",""
149,"done","2026-05-15 02:04:02.713707",""
150,"done","2026-05-15 02:04:02.713707",""
151,"done","2026-05-15 02:04:02.713707",""
152,"done","2026-05-15 02:04:02.713707",""
153,"done","2026-05-15 02:04:02.713707",""
154,"done","2026-05-15 02:04:02.713707",""
155,"done","2026-05-15 02:04:02.713707",""
156,"done","2026-05-15 02:04:02.713707",""
157,"done","2026-05-15 02:04:02.713707",""
158,"done","2026-05-15 02:04:02.713707",""
159,"done","2026-05-15 02:04:02.713707",""
160,"done","2026-05-15 02:04:02.713707",""
161,"done","2026-05-15 02:04:02.713707",""
162,"done","2026-05-15 02:04:02.713707",""
163,"done","2026-05-15 02:04:02.713707",""
164,"done","2026-05-15 02:04:02.713707",""
165,"done","2026-05-15 02:04:02.713707",""
166,"done","2026-05-15 02:04:02.713707",""
167,"done","2026-05-15 02:04:02.713707",""
168,"done","2026-05-15 02:04:02.713707",""
169,"done","2026-05-15 02:04:02.713707",""
170,"done","2026-05-15 02:04:02.713707",""
171,"done","2026-05-15 02:04:02.713707",""
172,"done","2026-05-15 02:04:02.713707",""
173,"done","2026-05-15 02:04:02.713707",""
174,"done","2026-05-15 02:04:02.713707",""
175,"done","2026-05-15 02:04:02.713707",""
176,"done","2026-05-15 02:04:02.713707",""
177,"done","2026-05-15 02:04:02.713707",""
178,"done","2026-05-15 02:04:02.713707",""
179,"done","2026-05-15 02:04:02.713707",""
180,"done","2026-05-15 02:04:02.713707",""
181,"done","2026-05-15 02:04:02.713707",""
182,"done","2026-05-15 02:04:02.713707",""
183,"done","2026-05-15 02:04:02.713707",""
184,"done","2026-05-15 02:04:02.713707",""
185,"done","2026-05-15 02:04:02.713707",""
186,"done","2026-05-15 02:04:02.713707",""
187,"done","2026-05-15 02:04:02.713707",""
188,"done","2026-05-15 02:04:02.713707",""
189,"done","2026-05-15 02:04:02.713707",""
190,"done","2026-05-15 02:04:02.713707",""
191,"done","2026-05-15 02:04:02.713707",""
192,"done","2026-05-15 02:04:02.713707",""
193,"done","2026-05-15 02:04:02.713707",""
194,"done","2026-05-15 02:04:02.713707",""
195,"done","2026-05-15 02:04:02.713707",""
196,"done","2026-05-15 02:04:02.713707",""
197,"done","2026-05-15 02:04:02.713707",""
198,"done","2026-05-15 02:04:02.713707",""
199,"done","2026-05-15 02:04:02.713707",""
200,"done","2026-05-15 02:04:02.713707",""
201,"done","2026-05-15 02:04:02.713707",""
202,"done","2026-05-15 02:04:02.713707",""
203,"done","2026-05-15 02:04:02.713707",""
204,"done","2026-05-15 02:04:02.713707",""
205,"done","2026-05-15 02:04:02.713707",""
206,"done","2026-05-15 02:04:02.713707",""
207,"done","2026-05-15 02:04:02.713707",""
208,"done","2026-05-15 02:04:02.713707",""
209,"done","2026-05-15 02:04:02.713707",""
210,"done","2026-05-15 02:04:02.713707",""
211,"done","2026-05-15 02:04:02.713707",""
212,"done","2026-05-15 02:04:02.713707",""
213,"done","2026-05-15 02:04:02.713707",""
214,"done","2026-05-15 02:04:02.713707",""
215,"done","2026-05-15 02:04:02.713707",""
216,"done","2026-05-15 02:04:02.713707",""
217,"done","2026-05-15 02:04:02.713707",""
218,"done","2026-05-15 02:04:02.713707",""
219,"done","2026-05-15 02:04:02.713707",""
220,"done","2026-05-15 02:04:02.713707",""
221,"done","2026-05-15 02:04:02.713707",""
222,"done","2026-05-15 02:04:02.713707",""
223,"done","2026-05-15 02:04:02.713707",""
224,"done","2026-05-15 02:04:02.713707",""
225,"done","2026-05-15 02:04:02.713707",""
226,"done","2026-05-15 02:04:02.713707",""
227,"done","2026-05-15 02:04:02.713707",""
228,"done","2026-05-15 02:04:02.713707",""
229,"done","2026-05-15 02:04:02.713707",""
230,"done","2026-05-15 02:04:02.713707",""
231,"done","2026-05-15 02:04:02.713707",""
232,"done","2026-05-15 02:04:02.713707",""
233,"done","2026-05-15 02:04:02.713707",""
234,"done","2026-05-15 02:04:02.713707",""
235,"done","2026-05-15 02:04:02.713707",""
236,"done","2026-05-15 02:04:02.713707",""
237,"done","2026-05-15 02:04:02.713707",""
238,"done","2026-05-15 02:04:02.713707",""
239,"done","2026-05-15 02:04:02.713707",""
240,"done","2026-05-15 02:04:02.713707",""
241,"done","2026-05-15 02:04:02.713707",""
242,"done","2026-05-15 02:04:02.713707",""
243,"done","2026-05-15 02:04:02.713707",""
244,"done","2026-05-15 02:04:02.713707",""
245,"done","2026-05-15 02:04:02.713707",""
246,"done","2026-05-15 02:04:02.713707",""
247,"done","2026-05-15 02:04:02.713707",""
248,"done","2026-05-15 02:04:02.713707",""
249,"done","2026-05-15 02:04:02.713707",""
250,"done","2026-05-15 02:04:02.713707",""
251,"done","2026-05-15 02:04:02.713707",""
252,"done","2026-05-15 02:04:02.713707",""
253,"done","2026-05-15 02:04:02.713707",""
254,"done","2026-05-15 02:04:02.713707",""
255,"done","2026-05-15 02:04:02.713707",""
256,"done","2026-05-15 02:04:02.713707",""
257,"done","2026-05-15 02:04:02.713707",""
258,"done","2026-05-15 02:04:02.713707",""
259,"done","2026-05-15 02:04:02.713707",""
260,"done","2026-05-15 02:04:02.713707",""
261,"done","2026-05-15 02:04:02.713707",""
262,"done","2026-05-15 02:04:02.713707",""
263,"done","2026-05-15 02:04:02.713707",""
264,"done","2026-05-15 02:04:02.713707",""
265,"done","2026-05-15 02:04:02.713707",""
266,"done","2026-05-15 02:04:02.713707",""
267,"done","2026-05-15 02:04:02.713707",""
268,"done","2026-05-15 02:04:02.713707",""
269,"done","2026-05-15 02:04:02.713707",""
270,"done","2026-05-15 02:04:02.713707",""
271,"done","2026-05-15 02:04:02.713707",""
272,"done","2026-05-15 02:04:02.713707",""
273,"done","2026-05-15 02:04:02.713707",""
274,"done","2026-05-15 02:04:02.713707",""
275,"done","2026-05-15 02:04:02.713707",""
276,"done","2026-05-15 02:04:02.713707",""
277,"done","2026-05-15 02:04:02.713707",""
278,"done","2026-05-15 02:04:02.713707",""
279,"done","2026-05-15 02:04:02.713707",""
280,"done","2026-05-15 02:04:02.713707",""
281,"done","2026-05-15 02:04:02.713707",""
