"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
1,47.5107004972525,-2.48929950274751,4.58292099533364,-0.566281731954327,48.0769822292068,38.5283404024061,56.4930605920989,39.0946221343604,57.0593423240532,1,1,0,1,612.233340978622,614.681807994843,1,"bart"
2,47.0604312709091,-2.93956872909094,4.68210155156947,0.463674743738558,46.5967565271705,37.8836808578738,56.2371816839443,37.4200061141352,55.7735069402058,1,1,0,1,598.869738101959,601.250191926956,1,"bart"
3,45.4194114399254,-4.58058856007463,4.69903226314357,-0.801141562885981,46.2205530028114,36.2094774419722,54.6293454378785,37.0106190048582,55.4304870007645,1,1,0,1,607.206146001816,609.594549179077,1,"bart"
4,42.4081436265093,-7.59185637349072,4.75640819794654,-0.123330541260579,42.5314741677699,33.085754862763,51.7305323902556,33.2090854040236,51.8538629315161,1,1,0,1,610.751030921936,613.131578922272,1,"bart"
5,51.9699369413674,1.96993694136738,5.01753981887812,-1.03061715698628,53.0005540983537,42.1357396053706,61.8041342773641,43.1663567623569,62.8347514343504,1,1,0,1,602.350815057755,604.70227098465,1,"bart"
6,43.584532616714,-6.41546738328599,4.73510856583328,-0.77965150603552,44.3641841227495,34.3038903647937,52.8651748686344,35.0835418708292,53.6448263746699,1,1,0,1,619.637011051178,622.480693101883,1,"bart"
7,46.3758307479753,-3.62416925202473,5.1789436848781,-0.229663723408017,46.6054944713833,36.225287647653,56.5263738482975,36.4549513710611,56.7560375717055,1,1,0,1,610.685788869858,613.108618021011,1,"bart"
8,47.9233836542801,-2.07661634571988,5.00103593555683,-0.154947720526337,48.0783313748065,38.1215333351982,57.7252339733621,38.2764810557245,57.8801816938884,1,1,0,1,619.453971862793,621.915256023407,1,"bart"
9,51.266325292553,1.26632529255305,4.92434220686655,0.474509560516722,50.7918157320363,41.6147919195441,60.917858665562,41.1402823590274,60.4433491050453,1,1,0,1,608.242709875107,610.640129089355,1,"bart"
10,50.2161181042464,0.216118104246448,5.440828139556,0.470768571162274,49.7453495330842,39.5522909046446,60.8799453038483,39.0815223334824,60.409176732686,1,1,0,1,609.797590017319,612.159955978394,1,"bart"
11,48.3411123233023,-1.65888767669768,5.93757169159292,0.349575125499868,47.9915371978025,36.7036856521556,59.978538994449,36.3541105266558,59.6289638689491,1,1,0,1,617.822765827179,620.246361017227,1,"bart"
12,41.7983210678745,-8.20167893212547,5.40473038129203,1.00630675367463,40.7920143141999,31.2052441743927,52.3913979613563,30.1989374207181,51.3850912076817,1,1,0,1,622.068748950958,624.494991064072,1,"bart"
13,48.5395079480126,-1.46049205198738,4.86138325702402,0.137976651490959,48.4015312965217,39.0113718491995,58.0676440468257,38.8733951977086,57.9296673953348,1,1,0,1,612.41573214531,614.838572025299,1,"bart"
14,46.0862019175177,-3.91379808248228,4.6142303361762,0.955748597057976,45.1304533204597,37.0424766422402,55.1299271927952,36.0867280451822,54.1741785957372,1,1,0,1,615.242083072662,617.648257017136,1,"bart"
15,54.4722141960717,4.47221419607173,5.48278103295746,0.768701582124415,53.7035126139473,43.7261608363558,65.2182675557877,42.9574592542314,64.4495659736632,1,1,0,1,603.580289125443,605.964215040207,1,"bart"
16,51.7788972938306,1.77889729383056,5.33393411002287,0.895448973727177,50.8834483201034,41.324578542276,62.2332160453851,40.4291295685489,61.3377670716579,1,1,0,1,613.750528812408,616.136604070663,1,"bart"
