"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
1,46.0449866616396,-3.95501333836044,4.28811788929068,-0.518100924061166,46.5630875857007,37.6404300371679,54.4495432861112,38.1585309612291,54.9676442101724,1,1,0,1,1.50720286369324,1.51653218269348,1,"correct_model"
2,47.97922866207,-2.02077133793004,5.06741629314842,0.0958201174969417,47.883408544573,38.0472752328276,57.9111820913123,37.9514551153307,57.8153619738154,1,1,0,1,1.58901405334473,1.59435081481934,1,"correct_model"
3,45.0420571572819,-4.95794284271808,4.44234467634719,-0.763548065790118,45.805605223072,36.3352215847282,53.7488927298357,37.0987696505183,54.5124407956258,1,1,0,1,1.40471696853638,1.41016292572021,1,"correct_model"
4,43.6171850108291,-6.38281498917091,4.77585758446678,0.168431882713165,43.4487531281159,34.2566761499818,52.9776938716764,34.0882442672686,52.8092619889633,1,1,0,1,1.39631104469299,1.40150809288025,1,"correct_model"
5,52.837751776849,2.83775177684898,5.0801452337362,-0.499756648816579,53.3375084256656,42.8808500824932,62.7946534712047,43.3806067313098,63.2944101200213,1,1,0,1,1.40322399139404,1.40843296051025,1,"correct_model"
6,44.2249390301769,-5.77506096982314,4.29380868361909,-0.116362833539341,44.3413018637162,35.8092286537781,52.6406494065756,35.9255914873174,52.7570122401149,1,1,0,1,1.41209483146667,1.41728210449219,1,"correct_model"
7,46.3403574873585,-3.65964251264148,4.73039142721734,0.233039897635038,46.1073175897235,37.0689606572355,55.6117543174815,36.8359207596005,55.3787144198465,1,1,0,1,1.4232759475708,1.42851209640503,1,"correct_model"
8,47.8501516645296,-2.1498483354704,4.4369989988817,0.541128681340489,47.3090229831891,39.1537934272812,56.546509901778,38.6126647459407,56.0053812204375,1,1,0,1,1.40960907936096,1.41481804847717,1,"correct_model"
9,52.9665931731287,2.96659317312873,4.88896627838143,-0.333319688886021,53.2999128620148,43.3843953458703,62.5487910003872,43.7177150347563,62.8821106892732,1,1,0,1,1.43024110794067,1.43560695648193,1,"correct_model"
10,52.7851802997376,2.7851802997376,5.93752804143687,-0.39164320827846,53.1768235080161,41.1478391813247,64.4225214181505,41.5394823896032,64.814164626429,1,1,0,1,1.41568112373352,1.42092108726501,1,"correct_model"
11,49.0763183435263,-0.923681656473676,5.35485545778884,0.300962919054854,48.7753554244715,38.5809945038425,59.5716421832102,38.2800315847876,59.2706792641553,1,1,0,1,1.41917300224304,1.42446684837341,1,"correct_model"
12,40.3615457022676,-9.63845429773241,4.95857146432711,0.479484107296834,39.8820615949708,30.6429242174184,50.0801671871168,30.1634401101216,49.6006830798199,1,0,0,1,1.5173659324646,1.52261686325073,1,"correct_model"
13,50.1089367402389,0.10893674023886,4.79202824557863,0.174488272651011,49.9344484675878,40.7167339660061,59.5011395144716,40.5422456933551,59.3266512418206,1,1,0,1,1.40163087844849,1.40696001052856,1,"correct_model"
14,48.5773195601114,-1.42268043988862,4.90550307277127,0.0434503199290504,48.5338692401823,38.9627102114291,58.1919289087936,38.9192598915001,58.1484785888646,1,1,0,1,1.4013819694519,1.40656805038452,1,"correct_model"
15,55.9369918519047,5.93699185190468,5.33001292778603,-0.237994995212517,56.1749868471172,45.4903584763112,66.3836252274982,45.7283534715237,66.6216202227107,1,1,0,1,1.41523718833923,1.42047691345215,1,"correct_model"
16,52.969684505576,2.96968450557598,5.41643751892452,0.272347812623671,52.6973366929523,42.3536620439724,63.5857069671795,42.0813142313488,63.3133591545559,1,1,0,1,1.41469693183899,1.42012500762939,1,"correct_model"
