"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
1,47.8186295975681,-2.18137040243187,4.44484480022671,-0.808047708387555,48.6266773059557,39.1068938722537,56.5303653228826,39.9149415806412,57.3384130312702,1,1,0,1,1.43801403045654,1.44652009010315,1,"lm_interact"
2,47.8762332497844,-2.1237667502156,5.18377571775612,-0.207050584222578,48.083283834007,37.7162195390491,58.0362469605197,37.9232701232717,58.2432975447422,1,1,0,1,1.45073699951172,1.4560329914093,1,"lm_interact"
3,46.7906878731428,-3.20931212685723,4.50636510814953,-1.13278950416045,47.9234773773032,37.9583745599817,55.6230011863038,39.0911640641422,56.7557906904642,1,1,0,1,1.44059991836548,1.44591999053955,1,"lm_interact"
4,42.541685541392,-7.45831445860804,4.9367719560848,-0.292237810551548,42.8339233519435,32.8657903075784,52.2175807752055,33.15802811813,52.5098185857571,1,1,0,1,1.43844604492188,1.44377899169922,1,"lm_interact"
5,49.0744251920196,-0.925574807980354,5.18006799165194,1.10062415644301,47.9738010355766,38.9216784909131,59.2271718931262,37.8210543344701,58.1265477366832,1,1,0,1,1.4269061088562,1.43221092224121,1,"lm_interact"
6,43.7430725772368,-6.2569274227632,4.30756030549676,0.123707909897263,43.6193646673395,35.3004095172288,52.1857356372448,35.1767016073315,52.0620277273475,1,1,0,1,1.43219494819641,1.4375901222229,1,"lm_interact"
7,44.7024527844698,-5.29754721553024,4.92206166361798,0.866573152194064,43.8358796322757,35.0553891940932,54.3495163748463,34.1888160418992,53.4829432226522,1,1,0,1,1.44390201568604,1.44925379753113,1,"lm_interact"
8,48.6052647833095,-1.39473521669048,4.59478286111232,0.0830706166949113,48.5221941666146,39.5996558587475,57.6108737078716,39.5165852420525,57.5278030911767,1,1,0,1,1.52466607093811,1.53000593185425,1,"lm_interact"
9,52.6718772308253,2.67187723082528,5.00632542130346,-0.418410714042913,53.0902879448682,42.8596597101832,62.4840947514674,43.2780704242261,62.9025054655103,1,1,0,1,1.41965007781982,1.42501616477966,1,"lm_interact"
10,50.8209960729633,0.820996072963297,6.33007044358367,-1.80957588794651,52.6305719609098,38.4142859839378,63.2277061619888,40.2238618718843,65.0372820499353,1,1,0,1,1.44032907485962,1.44559121131897,1,"lm_interact"
11,49.4878767191048,-0.512123280895153,5.5925889920601,-0.0891937904208149,49.5770705095257,38.5266037143319,60.4491497238778,38.6157975047527,60.5383435142986,1,1,0,1,1.43860721588135,1.44397020339966,1,"lm_interact"
12,40.1366251995572,-9.86337480044279,5.15448634476864,1.09491389353177,39.0417113060254,30.0340176050072,50.2392327941072,28.9391037114754,49.1443189005755,1,0,0,1,1.44502997398376,1.45040512084961,1,"lm_interact"
13,48.3726138027719,-1.62738619722814,4.8632561700995,0.723022791261634,47.6495910115102,38.8408068617846,57.9044207437591,38.117784070523,57.1813979524974,1,1,0,1,1.45096397399902,1.45635986328125,1,"lm_interact"
14,46.9899208739987,-3.01007912600127,5.13513816017116,-0.257744559975592,47.2476654339743,36.925235024426,57.0546067235715,37.1829795844016,57.3123512835471,1,1,0,1,1.43221282958984,1.43755507469177,1,"lm_interact"
