"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"lm",47.3189565328553,-2.68104346714465,4.42876837495936,-0.436555265134402,47.7555117979897,38.638730022065,55.9991830436457,39.0752852871994,56.4357383087801,1,1,0,1,2.98698902130127,3.06073904037476,1
2,"lm",47.6272872284565,-2.37271277154345,5.21294293773397,0.222443262929346,47.4048439655272,37.4101068170355,57.8444676398775,37.1876635541062,57.6220243769482,1,1,0,1,3.02699613571167,3.10021209716797,1
3,"lm",46.5471138648741,-3.4528861351259,4.44351006096867,-0.818756767888921,47.365870632763,37.8379941804341,55.2562335493141,38.656750948323,56.074990317203,1,1,0,1,2.88328790664673,2.95384907722473,1
4,"lm",42.2989724828703,-7.70102751712967,4.95756668584014,-0.0931266594172087,42.3920991422875,32.5823203276681,52.0156246380726,32.6754469870853,52.1087512974898,1,1,0,1,2.79821491241455,2.86869215965271,1
5,"lm",50.2439080356348,0.243908035634767,5.17188456623593,-0.00179489981400138,50.2457029354488,40.1072005536138,60.3806155176557,40.1089954534278,60.3824104174697,1,1,0,1,3.02287793159485,3.08994507789612,1
6,"lm",43.8965260459995,-6.1034739540005,4.32855524742622,-0.0155640658938623,43.9120901118934,35.4127136559523,52.3803384360467,35.4282777218461,52.3959025019406,1,1,0,1,3.02633190155029,3.09215784072876,1
7,"lm",45.4479553268022,-4.55204467319783,4.80543375771495,0.113885933608088,45.3340693931941,36.0294782315879,54.8664324220165,35.9155922979798,54.7525464884084,1,1,0,1,2.84374189376831,2.90705490112305,1
8,"lm",48.2824888858889,-1.71751111411114,4.5257355331102,0.428780810042227,47.8537080758466,39.4122102374397,57.152767534338,38.9834294273975,56.7239867242958,1,1,0,1,3.02913594245911,3.08934783935547,1
9,"lm",51.9979022403548,1.99790224035477,4.93403187852907,0.13002728333278,51.867874957022,42.3273774598653,61.6684270208442,42.1973501765325,61.5383997375115,1,1,0,1,2.9526379108429,3.01305508613586,1
10,"lm",49.8861686679802,-0.113831332019814,6.23991032898039,-0.736194116392213,50.6223627843724,37.6561691564191,62.1161681795412,38.3923632728114,62.8523622959334,1,1,0,1,2.98491406440735,3.05388402938843,1
11,"lm",50.1302799431675,0.130279943167544,5.59504013570348,-0.754316343743916,50.8845962869115,39.1642027851326,61.0963571012025,39.9185191288765,61.8506734449464,1,1,0,1,2.98058390617371,3.04358386993408,1
12,"lm",41.2698027512935,-8.7301972487065,5.03539889125527,-0.0490392321167903,41.3188419834103,31.4006022766403,51.1390032259467,31.4496415087571,51.1880424580635,1,1,0,1,2.72638607025146,2.73980593681335,1
13,"lm",49.1983960830924,-0.801603916907624,4.83714887705381,-0.150883536898192,49.3492796199906,39.7177584962085,58.6790336699762,39.8686420331067,58.8299172068744,1,1,0,1,2.89754700660706,2.9177029132843,1
14,"lm",46.1083406354576,-3.89165936454244,5.11125984484931,0.60637275555657,45.501967879901,36.0904554239271,56.126225846988,35.4840826683706,55.5198530914314,1,1,0,1,2.05605006217957,2.07045292854309,1
15,"lm",55.5527520330042,5.55275203300422,5.44167010653087,-0.343629625750353,55.8963816587546,44.8872746084555,66.218229457553,45.2309042342058,66.5618590833033,1,1,0,1,2.0043740272522,2.01818895339966,1
16,"lm",53.155576917522,3.15557691752198,5.48362400811577,0.436839593368674,52.7187373241533,42.4078713568559,63.9032824781881,41.9710317634872,63.4664428848194,1,1,0,1,2.7470600605011,2.76070690155029,1
