"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"rf",39.4539082397954,-10.5460917602046,5.59447818430792,-0.633173076508577,40.0870813163039,28.4889324862568,50.4188839933339,29.1221055627654,51.0520570698425,1,1,0,1,106.390827894211,106.885365962982,1
2,"rf",44.4677075472336,-5.53229245276639,5.72794047221272,-4.85282692688777,49.3205344741214,33.2411505161073,55.6942645783599,38.0939774429951,60.5470915052477,1,1,0,1,106.97394990921,107.489462137222,1
3,"rf",39.6912580442805,-10.3087419557195,5.51594857162296,-2.51883705376461,42.2100950980451,28.8801975033243,50.5023185852366,31.3990345570889,53.0211556390012,1,1,0,1,106.43793797493,106.962471961975,1
4,"rf",34.8861290103289,-15.1138709896711,5.29569706214847,-2.02427261926345,36.9104016295923,24.5067534954833,45.2655045251744,26.5310261147467,47.2897771444379,0,0,1,1,105.511538982391,105.998984098434,1
5,"rf",45.5294368538234,-4.47056314617662,5.8881584282471,-1.14866809457069,46.6781049483941,33.9888583991931,57.0700153084537,35.1375264937638,58.2186834030244,1,1,0,1,107.442362070084,107.957755804062,1
6,"rf",36.3737693111723,-13.6262306888277,5.56184959304926,-0.292611536286643,36.6663808474589,25.472744421367,47.2747942009776,25.7653559576536,47.5674057372642,0,0,1,1,106.010819196701,106.504775047302,1
7,"rf",41.2943856339784,-8.70561436602163,6.28823257923289,-2.60628468063017,43.9006703146085,28.9696762522705,53.6190950156862,31.5759609329007,56.2253796963164,1,1,0,1,106.336607933044,106.858412027359,1
8,"rf",43.2574833512452,-6.74251664875484,5.26410896904401,-1.72703442821962,44.9845177794648,32.9400193612246,53.5749473412657,34.6670537894442,55.3019817694853,1,1,0,1,106.291709899902,106.789489030838,1
9,"rf",44.5380858575844,-5.46191414241562,5.25924929377261,1.33379098417751,43.2042948734069,34.2301466560723,54.8460250590964,32.8963556718948,53.5122340749189,1,1,0,1,106.91042304039,107.429539203644,1
10,"rf",43.0288164147069,-6.97118358529305,6.55227040673523,-1.96112122555499,44.9899376402619,30.1866024005383,55.8710304288756,32.1477236260933,57.8321516544306,1,1,0,1,107.103670835495,107.631452083588,1
11,"rf",39.966077726148,-10.033922273852,6.75629340489236,-1.52882386114906,41.494901587297,26.7239859835735,53.2081694687225,28.2528098447225,54.7369933298716,1,1,0,1,106.754030942917,107.248644113541,1
12,"rf",33.8007903211101,-16.1992096788899,6.08071780691299,-0.279625959254552,34.0804162803647,21.8828024194093,45.7187782228109,22.1624283786638,45.9984041820655,0,0,1,1,109.963748931885,110.500460147858,1
13,"rf",42.5546901562997,-7.44530984370031,6.28188348804502,-0.0360818347966259,42.5907719910963,30.2424247646546,54.8669555479448,30.2785065994512,54.9030373827414,1,1,0,1,109.949218988419,110.390627145767,1
14,"rf",39.3433519177276,-10.6566480822724,5.53022337867329,-0.502265978372442,39.8456178961,28.5043132690666,50.1823905663887,29.006579247439,50.6846565447611,1,1,0,1,110.360525846481,110.837551116943,1
15,"rf",49.1980844013353,-0.801915598664685,7.06534357634366,-2.85562636979397,52.0537107711293,35.3502654533003,63.0459033493703,38.2058918230943,65.9015297191643,1,1,0,1,108.625000953674,109.063356876373,1
16,"rf",44.357892786128,-5.64210721387203,6.52736064595731,-0.346490154695481,44.7043829408235,31.5645010059475,57.1512845663084,31.910991160643,57.4977747210039,1,1,0,1,108.814150810242,109.258296012878,1
17,"rf",42.0938792307764,-7.9061207692236,5.99012824095898,-2.52912298931039,44.6230022200868,30.3534436157205,53.8343148458323,32.8825666050309,56.3634378351427,1,1,0,1,108.399883031845,108.886677026749,1
18,"rf",45.0282212982968,-4.97177870170324,6.50064891952616,-1.29688492817766,46.3251062264744,32.2871835398863,57.7692590567072,33.5840684680639,59.0661439848849,1,1,0,1,108.155411958694,108.585963964462,1
19,"rf",41.4483905178087,-8.5516094821913,5.70437133019176,-3.09457874926509,44.5429692670738,30.26802815619,52.6287528794274,33.3626069054551,55.7233316286925,1,1,0,1,110.088019132614,110.549456834793,1
20,"rf",37.0556191500697,-12.9443808499303,6.05138699991075,-0.607070961432285,37.662690111502,25.1951185737308,48.9161197264087,25.8021895351631,49.523190687841,0,0,1,1,108.809228181839,109.260298013687,1
21,"rf",36.5371679877729,-13.4628320122271,5.55291134065391,0.662041529970345,35.8751264578026,25.6536617507472,47.4206742247986,24.9916202207769,46.7586326948282,0,0,1,1,109.299666166306,109.732304096222,1
22,"rf",38.1857410611633,-11.8142589388367,5.88998859224747,-3.10466039329146,41.2904014544547,26.6415755510065,49.7299065713201,29.7462359442979,52.8345669646115,0,1,1,1,109.485074043274,109.886173009872,1
23,"rf",44.7202676774784,-5.27973232252157,5.59050603337972,0.418156538031518,44.3021111394469,33.7630771967003,55.6774581582566,33.3449206586688,55.259301620225,1,1,0,1,104.284003019333,104.731018066406,1
24,"rf",37.0489054737068,-12.9510945262932,5.94552778153666,-3.72628353174309,40.7751890054499,25.3958851528126,48.701925794601,29.1221686845557,52.4282093263441,0,1,1,1,103.240191936493,103.638490915298,1
25,"rf",58.9824826033292,8.9824826033292,6.54721792199628,-2.35568981598328,61.3381724193125,46.1501712772813,71.8147939293771,48.5058610932646,74.1704837453604,1,1,0,1,101.979846954346,102.470564126968,0
26,"rf",37.2158707466186,-12.7841292533814,5.68929605965606,-0.491666387149834,37.7075371337684,26.0650553723071,48.3666861209301,26.5567217594569,48.8583525080799,0,0,1,1,101.770458936691,102.198937892914,1
27,"rf",41.4956202941061,-8.50437970589389,6.60200296979467,-0.839909951657617,42.3355302457637,28.5559322474821,54.4353083407301,29.3958421991397,55.2752182923878,1,1,0,1,103.601936817169,104.089132070541,1
28,"rf",45.8743848459824,-4.12561515401761,6.05615024734936,0.485943556770941,45.3884412892114,34.0045484762143,57.7442212157505,33.5186049194434,57.2582776589795,1,1,0,1,103.156014204025,103.635376930237,1
29,"rf",37.0789461314062,-12.9210538685938,7.03960319610349,-2.99688930924722,40.0758354406535,23.2815774015904,50.8763148612221,26.2784667108376,53.8732041704694,1,1,0,1,102.853677034378,103.344074010849,1
30,"rf",46.6357457841234,-3.36425421587663,5.59242604690733,-0.45582059471085,47.0915663788342,35.6747921459813,57.5966994222655,36.1306127406921,58.0525200169763,1,1,0,1,102.073069095612,102.514091014862,1
31,"rf",41.7712384239762,-8.22876157602381,6.67055431314264,-1.06171813026506,42.8329565542412,28.6971922132983,54.8452846346541,29.7589103435634,55.9070027649191,1,1,0,1,102.839132070541,103.309787988663,1
32,"rf",42.8025216319401,-7.19747836805988,6.25282746325666,-5.9506815553819,48.753203187322,30.5472050024141,55.0578382614661,36.497886557796,61.008519816848,1,1,0,1,102.888962030411,103.321162939072,1
33,"rf",40.1322154650451,-9.86778453495494,6.44966072086778,-0.943676092395926,41.075891557441,27.4911127396416,52.7733181904486,28.4347888320375,53.7169942828445,1,1,0,1,102.491833925247,102.895955085754,1
34,"rf",38.4582073331481,-11.5417926668519,5.385773640778,-1.76763600901984,40.2258433421679,27.902284968338,49.0141296979581,29.6699209773579,50.781765706978,0,1,1,1,103.889095067978,104.340358972549,1
35,"rf",37.4657572648109,-12.5342427351891,5.80016068276418,-2.40643222113295,39.8721894859439,26.0976512220479,48.833863307574,28.5040834431808,51.2402955287069,0,1,1,1,103.552968025208,104.150903940201,1
36,"rf",42.6981804854236,-7.30181951457644,6.13742029828969,0.509280723948656,42.1888997614749,30.6690577427907,54.7273032280564,30.159777018842,54.2180225041078,1,1,0,1,103.244641065598,103.673872947693,1
37,"rf",34.6060131767824,-15.3939868232176,6.46008082131898,-1.14836593747844,35.7543791142608,21.9444874297793,47.2675389237855,23.0928533672577,48.415904861264,0,0,1,1,103.883821964264,104.322112083435,1
38,"rf",52.5806393316289,2.58063933162885,6.55504504608347,-2.36380270241114,54.94444203404,39.7329871242676,65.4282915389902,42.0967898266787,67.7920942414013,1,1,0,1,103.117040157318,103.715451955795,1
39,"rf",41.2219002247919,-8.77809977520807,5.85962285055541,-1.71892499917729,42.9408252239692,29.7372504747154,52.7065499748685,31.4561754738927,54.4254749740457,1,1,0,1,103.808502912521,104.21844291687,1
40,"rf",43.9838910254919,-6.01610897450814,5.81790795110909,0.675880315593446,43.3080107098984,32.5810009759488,55.3867810750349,31.9051206603554,54.7109007594414,1,1,0,1,103.744903087616,104.20726108551,1
41,"rf",45.2841137704364,-4.71588622956362,6.06667568355132,-0.0169847525449498,45.3010985229813,33.3936479247909,57.1745796160819,33.4106326773358,57.1915643686268,1,1,0,1,103.45049405098,103.986245155334,1
42,"rf",41.5803540495862,-8.41964595041375,5.46540841357666,-1.29185632164038,42.8722103712266,30.8683503981738,52.2923577009987,32.1602067198142,53.5842140226391,1,1,0,1,103.397467851639,103.89186000824,1
43,"rf",51.5238358940708,1.52383589407079,6.07058031963826,-2.29927586283954,53.8231117569103,39.6257171023221,63.4219546858194,41.9249929651617,65.721230548659,1,1,0,1,104.071444034576,104.531718015671,1
44,"rf",40.3919218780026,-9.60807812199738,6.14926653434413,-1.38035955610916,41.7722814341118,28.3395809393507,52.4442628166546,29.7199404954598,53.8246223727637,1,1,0,1,104.055862188339,104.474897861481,1
45,"rf",48.4959992468351,-1.50400075316488,5.85995528224146,-0.847903790546873,49.343903037382,37.0106979426266,59.9813005510436,37.8586017331735,60.8292043415905,1,1,0,1,103.498622894287,103.970146894455,1
46,"rf",39.2153238236505,-10.7846761763495,6.11087194142658,-3.50107309303923,42.7163969166897,27.238234904318,51.192412742983,30.7393079973573,54.6934858360222,1,1,0,1,103.291012048721,103.706747055054,1
47,"rf",39.5615006206971,-10.4384993793029,6.87085307427847,-1.60435931009696,41.1658599307941,26.094876052045,53.0281251893492,27.699235362142,54.6324844994462,1,1,0,1,105.094336986542,105.53036403656,1
48,"rf",46.4274187462194,-3.57258125378063,5.80398195447946,-0.840416249678427,47.2678349958978,35.0518231485192,57.8030143439195,35.8922393981977,58.6434305935979,1,1,0,1,104.31716799736,104.909595012665,1
49,"rf",45.7579327452436,-4.24206725475641,6.23930085379086,-2.01768825801912,47.7756210032627,33.5291277831035,57.9867377073837,35.5468160411226,60.0044259654028,1,1,0,1,106.591562986374,107.051312923431,1
50,"rf",38.9876258736197,-11.0123741263803,6.25147628207762,-0.0748945073515372,39.0625203809713,26.7349575105412,51.2402942366982,26.8098520178928,51.3151887440497,1,1,0,1,104.967099905014,105.505252838135,1
51,"rf",35.0720144243326,-14.9279855756674,5.7115907428973,-2.57966076524509,37.6516751895777,23.8775022738215,46.2665265748437,26.4571630390666,48.8461873400887,0,0,1,1,103.766856908798,104.277719020844,1
52,"rf",44.1116344650917,-5.88836553490834,5.70552031042016,-0.195552251145692,44.3071867162374,32.9290201436064,55.294248786577,33.124572394752,55.4898010377227,1,1,0,1,104.244326114655,104.713179111481,1
53,"rf",55.8999329756847,5.89993297568474,6.35251391580201,-3.08773087037214,58.9876638460569,43.4492344894233,68.3506314619462,46.5369653597954,71.4383623323183,1,1,0,1,105.179980993271,105.783169984818,0
54,"rf",43.477694886372,-6.52230511362804,6.22000576791147,-1.38095343322447,44.8586483195964,31.2867075976341,55.6686821751099,32.6676610308585,57.0496356083343,1,1,0,1,104.718526124954,105.162063121796,1
55,"rf",54.5784005278555,4.57840052785554,7.0051038366069,-2.74695533105496,57.3253558589105,40.8486493001427,68.3081517555684,43.5956046311976,71.0551070866234,1,1,0,1,105.227010011673,105.675786018372,1
