"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"super",46.883774757108,-3.11622524289205,5.42941321969496,-7.20316265788015,54.0869374149881,36.2423203893202,57.5252291248957,43.4454830472003,64.7283917827759,1,1,0,1,1586.78965902328,1593.16322612762,1
2,"super",47.5194313411223,-2.48056865887771,5.63358930444195,-6.2431353500219,53.7625666911442,36.477799200726,58.5610634815186,42.7209345507479,64.8041988315405,1,1,0,1,1705.67731809616,1712.16948199272,1
3,"super",44.3536214789526,-5.64637852104735,5.61836676817397,-5.76143919334247,50.1150606722951,33.341824961395,55.3654179965103,39.1032641547374,61.1268571898528,1,1,0,1,1629.7428650856,1636.21891093254,1
4,"super",41.5660987788065,-8.43390122119348,5.74817791899877,-6.92986679832203,48.4959655771286,30.2998770808405,52.8323204767725,37.2297438791626,59.7621872750945,1,1,0,1,1543.52337408066,1549.96922802925,1
5,"super",50.6236736198947,0.623673619894724,5.44982333491942,-5.10745308527434,55.7311267051691,39.9422161613467,61.3051310784428,45.049669246621,66.4125841637171,1,1,0,1,1649.50995612144,1656.01740884781,1
6,"super",40.8185310673389,-9.18146893266107,5.10330728822428,-3.14477644476169,43.9633075121006,30.8162325803786,50.8208295542993,33.9610090251403,53.965605999061,1,1,0,1,1621.34533691406,1628.04493308067,1
7,"super",44.8545399845477,-5.14546001545232,5.96762418539271,-4.87316767472927,49.727707659277,33.1582115079078,56.5508684611876,38.0313791826371,61.4240361359168,1,1,0,1,1684.94134306908,1691.21485090256,1
8,"super",47.7479211841781,-2.25207881582192,5.34649533244545,-4.93624003390826,52.6841612180863,37.2689828890735,58.2268594792827,42.2052229229818,63.1630995131909,1,1,0,1,1550.18776798248,1556.67144107819,1
9,"super",51.71041108529,1.71041108529,5.33398265708376,-4.72729896579204,56.437710051082,41.2559971832446,62.1648249873354,45.9832961490366,66.8921239531275,1,1,0,1,1631.08018898964,1637.76629805565,1
10,"super",48.2889472689185,-1.71105273108153,7.19086973680924,-6.15281600271664,54.4417632716351,34.1951015672533,62.3827929705836,40.34791756997,68.5356089733002,1,1,0,1,1593.91915297508,1600.49109601974,1
