"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"xgboost",42.6922167625427,-7.30778323745728,5.74944666716561,-4.64894001362371,47.3411567761664,31.4235083638643,53.9609251612212,36.072448377488,58.6098651748449,1,1,0,1,9.771733045578,9.89225697517395,1
2,"xgboost",43.5664478569031,-6.43355214309693,6.18924115133995,-2.8950170526235,46.4614649095266,31.4357581086435,55.6971376051626,34.330775161267,58.5921546577861,1,1,0,1,9.72386789321899,9.85678505897522,1
3,"xgboost",39.6051513595581,-10.3948486404419,5.46075917651862,-1.69482938380811,41.2999807433662,28.902260045335,50.3080426737812,30.5970894291431,52.0028720575893,1,1,0,1,9.66983699798584,9.79174995422363,1
4,"xgboost",34.0865536270142,-15.9134463729858,5.34599590705704,0.214713910030831,33.8718397169833,23.6085941876838,44.5645130663445,23.393880277653,44.3497991563137,0,0,1,1,9.75251293182373,9.87497997283936,1
5,"xgboost",41.1287373771667,-8.87126262283326,6.38791108610451,2.91289852432645,38.2158388528403,28.6086617119578,53.6488130423757,25.6957631876313,50.7359145180493,1,1,0,1,9.71155619621277,9.83375000953674,1
6,"xgboost",38.975328453064,-11.024671546936,5.76034024718581,-2.16437022395324,41.1396986770172,27.6852690298832,50.2653878762447,29.8496392538365,52.4297581001979,1,1,0,1,9.65220999717712,9.77401804924011,1
7,"xgboost",45.6202734565735,-4.37972654342652,5.93742706989571,-6.35188422689866,51.9721576834721,33.9831302387447,57.2574166744022,40.3350144656434,63.6093009013009,1,1,0,1,9.64472508430481,9.76574611663818,1
8,"xgboost",41.9801212615967,-8.0198787384033,6.04477678966178,0.506126672895412,41.4739945887013,30.132576459276,53.8276660639174,29.6264497863805,53.321539391022,1,1,0,1,9.6879358291626,9.81773495674133,1
9,"xgboost",51.3922859649658,1.39228596496582,6.21595510285188,-5.19647494929886,56.5887609142647,39.2092378338582,63.5753340960735,44.405712783157,68.7718090453723,1,1,0,1,9.73550391197205,9.8589940071106,1
10,"xgboost",40.2960508785248,-9.70394912147522,7.05416426300925,1.76751149023378,38.528539388291,26.4701429819971,54.1219587750524,24.7026314917633,52.3544472848187,1,1,0,1,9.72352385520935,9.84433603286743,1
11,"xgboost",37.3617879371643,-12.6382120628357,7.0734056114453,3.35009118373799,34.0116967534263,23.498167690688,51.2254081836406,20.14807650695,47.8753169999026,1,0,0,1,9.66457605361938,9.79105710983276,1
12,"xgboost",36.4973918991089,-13.5026081008911,5.87860865514208,-1.88365124450112,38.38104314361,24.975530655825,48.0192531423928,26.8591819003261,49.9029043868939,0,0,1,1,12.3803629875183,12.4221041202545,1
13,"xgboost",45.8413687820435,-4.15863121795653,5.76757603467401,-2.76235356887056,48.603722350914,34.5371274759861,57.1456100881009,37.2994810448566,59.9079636569714,1,1,0,1,10.0703880786896,10.1238121986389,1
14,"xgboost",41.8405138053894,-8.15948619461059,5.95896233862692,-2.11448849012996,43.9550022955194,30.1611622364501,53.5198653743287,32.27565072658,55.6343538644587,1,1,0,1,10.1682920455933,10.2124168872833,1
15,"xgboost",49.5236532287598,-0.476346771240216,6.4545032720152,-3.00237468950607,52.5260279182659,36.8730592775141,62.1742471800055,39.8754339670201,65.1766218695116,1,1,0,1,10.2070939540863,10.2604448795319,1
16,"xgboost",39.6662939834595,-10.3337060165405,6.96691508532171,5.37039079571272,34.2959031877468,26.0113913328801,53.3211966340388,20.6410005371674,47.9508058383261,1,0,0,1,12.7561690807343,12.8041570186615,1
17,"xgboost",40.1401749725342,-9.85982502746581,6.30333365524779,0.309734266723858,39.8304407058103,27.7858680257093,52.4944819193591,27.4761337589854,52.1847476526352,1,1,0,1,10.3626019954681,10.4107868671417,1
18,"xgboost",50.2311955604553,0.231195560455348,6.62899526478756,-5.32846217543497,55.5596577358903,37.2386035877852,63.2237875331255,42.5670657632202,68.5522497085605,1,1,0,1,10.2363488674164,10.2911298274994,1
19,"xgboost",36.2509628372192,-13.7490371627808,5.64142079932798,2.09597281145955,34.1549900257597,25.1939812489012,47.3079444255372,23.0980084374417,45.2119716140777,0,0,1,1,10.1440351009369,10.1816539764404,1
20,"xgboost",38.977651008606,-11.022348991394,5.84546411867658,-2.24750817091417,41.2251591795201,27.5207518630787,50.4345501541332,29.7682600339929,52.6820583250474,1,1,0,1,10.1517848968506,10.202024936676,1
21,"xgboost",37.5205000228882,-12.4794999771118,5.90537905015117,0.476359395689975,37.0441406271982,25.9461697695345,49.0948302762418,25.4698103738446,48.6184708805518,0,0,1,1,13.0071759223938,13.0582439899445,1
22,"xgboost",36.3415891265869,-13.6584108734131,5.7559817597071,0.372484808830251,35.9691043177567,25.0600721818915,47.6231060712823,24.6875873730613,47.2506212624521,0,0,1,1,10.2049279212952,10.2577059268951,1
23,"xgboost",42.2709740638733,-7.72902593612671,6.56342227394176,2.25264378304911,40.0183302808242,29.4069027916195,55.1350453361271,27.1542590085704,52.882401553078,1,1,0,1,13.7004799842834,13.7578670978546,1
24,"xgboost",35.6443022575378,-14.3556977424622,5.82474368470112,-0.442053092297719,36.0863553498356,24.2280144163465,47.0605900987292,24.6700675086442,47.5026431910269,0,0,1,1,9.50387597084045,9.5405261516571,1
25,"xgboost",58.7075893745422,8.70758937454222,6.60229931979859,-0.390241496894468,59.0978308714367,45.7673204925837,71.6478582565008,46.1575619894782,72.0380997533952,1,1,0,1,9.51221799850464,9.55029392242432,0
26,"xgboost",37.767776134491,-12.232223865509,5.74949034037133,-0.679800946848381,38.4475770813393,26.4989821379022,49.0365701310797,27.1787830847506,49.7163710779281,0,0,1,1,9.65733599662781,9.69724416732788,1
27,"xgboost",41.7826923913956,-8.21730760860444,6.73034065352321,-0.543316874853893,42.3260092662495,28.5914671068043,54.9739176759868,29.1347839816582,55.5172345508407,1,1,0,1,13.5634989738464,13.6177878379822,1
28,"xgboost",51.5780798482895,1.5780798482895,5.87467029176023,-3.56083348544337,55.1389133337329,40.063937655392,63.092222041187,43.6247711408354,66.6530555266303,1,1,0,1,9.40418219566345,9.43666386604309,1
29,"xgboost",36.7562378559113,-13.2437621440887,6.87842693126964,-0.624486693559447,37.3807245494707,23.2747688003324,50.2377069114902,23.8992554938919,50.8621936050496,1,1,0,1,9.62199282646179,9.6590838432312,1
30,"xgboost",44.5710398817062,-5.42896011829377,5.23164438807199,2.99754465874124,41.573495222965,34.317205301164,54.8248744622484,31.3196606424228,51.8273298035072,1,1,0,1,9.52184104919434,9.55980587005615,1
31,"xgboost",41.5383126220703,-8.46168737792968,6.28767318831885,-0.275355875873935,41.8136684979443,29.2146996264073,53.8619256177334,29.4900555022812,54.1372814936073,1,1,0,1,9.48718500137329,9.52785205841064,1
32,"xgboost",43.8546408920288,-6.14535910797117,6.31264633826284,-5.8657044123316,49.7203453043604,31.482081421895,56.2272003621626,37.3477858342266,62.0929047744942,1,1,0,1,13.6512169837952,13.7013201713562,1
33,"xgboost",39.6383530082703,-10.3616469917297,6.15941995875773,1.10115512546349,38.5371978828068,27.5661117234479,51.7105942930926,26.4649565979844,50.6094391676291,1,1,0,1,9.55911993980408,9.60671997070312,1
34,"xgboost",35.4676181221008,-14.5323818778992,5.27233597745935,1.43811353281021,34.0295045892906,25.1340294918857,45.801206752316,23.6959159590755,44.3630932195057,0,0,1,1,12.8921241760254,12.9770669937134,1
35,"xgboost",35.9438342285156,-14.0561657714844,5.94234772101409,-0.322745989732979,36.2665802182486,24.2970467117143,47.5906217453169,24.6197927014473,47.9133677350499,0,0,1,1,9.63739013671875,9.674565076828,1
36,"xgboost",43.0057605361938,-6.99423946380616,6.61505855123912,1.81814574178434,41.1876147944095,30.0404840201415,55.9710370522462,28.2223382783571,54.1528913104619,1,1,0,1,9.57325601577759,9.61132097244263,1
37,"xgboost",36.8318292160034,-13.1681707839966,5.73162087427452,-1.69129310926962,38.523122325273,25.5980587293874,48.0655997026195,27.289351838657,49.7568928118891,0,0,1,1,9.49840307235718,9.53166699409485,1
38,"xgboost",53.6083394241333,3.60833942413331,6.65981852283398,-1.65342411364652,55.2617635377798,40.555334975806,66.6613438724606,42.2087590894525,68.3147679861072,1,1,0,1,12.9879510402679,13.0519070625305,1
39,"xgboost",43.212538898468,-6.78746110153197,6.09531747424426,-1.99674539812244,45.2092842965905,31.2659361746116,55.1591416223244,33.2626815727341,57.1558870204469,1,1,0,1,9.65998482704163,9.69445013999939,1
40,"xgboost",45.531904499054,-4.46809550094605,5.95156428161594,-0.27071996827447,45.8026244673284,33.8670528554117,57.1967561426962,34.1377728236862,57.4674761109707,1,1,0,1,9.65082502365112,9.69853806495667,1
41,"xgboost",52.3697047691345,2.36970476913453,6.40904589832067,-6.46385535923124,58.8335601283658,39.8082056331619,64.9312039051072,46.2720609923931,71.3950592643384,1,1,0,1,9.49281597137451,9.52815413475037,1
42,"xgboost",43.1544639205933,-6.84553607940673,5.55420817852299,-2.71776477280046,45.8722286933937,32.2684159280504,54.0405119131362,34.9861807008509,56.7582766859366,1,1,0,1,9.5983419418335,9.64189696311951,1
43,"xgboost",47.3808234367371,-2.61917656326293,6.05011477944494,1.12030941348672,46.2605140232504,35.5228163666915,59.2388305067826,34.4025069532048,58.1185210932959,1,1,0,1,12.7444951534271,12.8081741333008,1
44,"xgboost",37.1415119476318,-12.8584880523682,6.46536822734062,2.06119285632443,35.0803190913074,24.4696230752547,49.813400820009,22.4084302189302,47.7522079636846,0,0,1,1,9.6024169921875,9.63717412948608,1
45,"xgboost",48.099276424408,-1.90072357559205,6.24228137938694,0.0876352490842365,48.0116411753237,35.8646297394445,60.3339231093714,35.7769944903603,60.2462878602871,1,1,0,1,10.1883749961853,10.2201189994812,1
46,"xgboost",37.3476080093384,-12.6523919906616,6.51755774338925,0.3634247176022,36.9841832917362,24.5734295651353,50.1217864535415,24.2100048475331,49.7583617359393,1,0,0,1,9.95391488075256,9.99592399597168,1
47,"xgboost",42.3937050590515,-7.60629494094849,6.69765875250662,-3.49388587642597,45.8875909354775,29.2665351233991,55.5208749947039,32.760420999825,59.0147608711299,1,1,0,1,9.9215099811554,9.96224308013916,1
48,"xgboost",47.5823751296997,-2.41762487030029,6.09192434455348,-1.00038585381675,48.5827609835165,35.6424228178321,59.5223274415673,36.6428086716489,60.5227132953841,1,1,0,1,9.89888906478882,9.93407320976257,1
49,"xgboost",45.4480212173462,-4.55197878265381,6.16327739546779,-2.8539980769695,48.3020192943157,33.3682194954995,57.5278229391929,36.222217572469,60.3818210161624,1,1,0,1,9.83448696136475,9.87897396087646,1
50,"xgboost",40.2697886962891,-9.73021130371095,6.70336620365659,-0.830883168706407,41.1006718649955,27.1314323619392,53.408145030639,27.9623155306456,54.2390281993454,1,1,0,1,10.1628348827362,10.1953499317169,1
51,"xgboost",33.4737857284546,-16.5262142715454,5.93049745550007,-1.1909912882287,34.6647770166833,21.850224305268,45.0973471516412,23.0412155934967,46.2883384398699,0,0,1,1,9.98432993888855,10.0232927799225,1
52,"xgboost",48.25118359375,-1.74881640625001,5.90020110327437,-2.7522981708412,51.0034817645912,36.6870019297887,59.8153652577112,39.4393001006299,62.5676634285524,1,1,0,1,9.93249702453613,9.98548698425293,1
53,"xgboost",56.2877409820556,6.2877409820556,6.91275010089116,-3.06811951039499,59.3558604924506,42.7389997501833,69.8364822139279,45.8071192605783,72.9046017243229,1,1,0,1,9.92715811729431,9.95878505706787,1
54,"xgboost",43.0642381744385,-6.93576182556154,6.34397560882652,-0.939374699672683,44.0036128741111,30.6302744623379,55.498201886539,31.5696491620106,56.4375765862117,1,1,0,1,10.0814230442047,10.1317300796509,1
