"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"correct_model",45.8582910544382,-4.1417089455618,2.91134708228804,-0.0642079507423432,45.9224990051805,40.1521556266579,51.5644264822185,40.2163635774002,51.6286344329609,1,1,0,1,5.47053694725037,5.57140588760376,1
2,"correct_model",44.1742901591942,-5.82570984080581,2.71002110904774,-0.121985388847982,44.2962755480422,38.8627463881173,49.485833930271,38.9847317769653,49.607819319119,0,0,1,1,4.89261913299561,4.99639201164246,0
3,"correct_model",48.0664464553698,-1.93355354463021,2.89325544804605,-0.187505860412422,48.2539523157822,42.3957699791252,53.7371229316144,42.5832758395376,53.9246287920268,1,1,0,1,5.30882382392883,5.41782093048096,1
4,"correct_model",50.4488450582614,0.448845058261355,3.32213846446514,0.226553403997052,50.2222916542643,43.9375733162545,56.9601168002682,43.7110199122574,56.7335633962712,1,1,0,1,5.48360800743103,5.58198094367981,1
5,"correct_model",49.0065358773403,-0.993464122659731,2.74648395422035,-0.214083687889371,49.2206195652296,43.6235262429512,54.3895455117293,43.8376099308406,54.6036291996187,1,1,0,1,6.20350503921509,6.31237101554871,1
6,"correct_model",51.7093019178482,1.70930191784822,2.63059848206544,0.0896944179226438,51.6196074999256,46.5534236352142,56.8651802004822,46.4637292172916,56.7754857825596,1,1,0,1,5.99146103858948,6.10036587715149,1
7,"correct_model",50.7353371168245,0.735337116824539,3.17835691260844,-0.34265527173396,51.0779923885585,44.5058720380981,56.964802195551,44.848527309832,57.307457467285,1,1,0,1,5.24662685394287,5.35022401809692,1
8,"correct_model",53.9562146650157,3.95621466501568,3.27562039657161,0.099815971672669,53.856398693343,47.5361166607105,60.3763126693208,47.4363006890378,60.2764966976482,1,1,0,1,5.7151370048523,5.82344007492065,1
9,"correct_model",45.9082039451622,-4.0917960548378,2.7032811918323,-0.13298658569569,46.0411905308579,40.6098701690864,51.206537721238,40.7428567547821,51.3395243069337,1,1,0,1,6.19813203811646,6.29344296455383,1
10,"correct_model",49.5884704159202,-0.411529584079801,3.10451748879906,0.000318316005746055,49.5881520999145,43.5037279484993,55.6732128833411,43.5034096324936,55.6728945673353,1,1,0,1,5.54500102996826,5.63559889793396,1
