"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"lm_interact",45.4502956738932,-4.54970432610679,3.20146500338354,-0.148458893553546,45.5987545674468,39.1755395694961,51.7250517782903,39.3239984630496,51.8735106718439,1,1,0,1,2.36456394195557,2.42315483093262,1
2,"lm_interact",43.6559069105584,-6.34409308944159,2.90824570718555,-0.159396079083308,43.8153029896417,37.9558500662815,49.3559637548353,38.1152461453648,49.5153598339186,0,0,1,1,2.32636713981628,2.37931990623474,0
3,"lm_interact",49.9525565143234,-0.0474434856765811,3.30571171974045,-0.948155512696765,50.9007120270202,43.4734806003602,56.4316324282867,44.4216361130569,57.3797879409834,1,1,0,1,2.40043592453003,2.45060706138611,1
4,"lm_interact",48.2469952398254,-1.75300476017458,3.6512636234957,0.134746030680304,48.1122492091451,41.0906500397126,55.4033404399382,40.9559040090323,55.2685944092579,1,1,0,1,2.40456104278564,2.46823191642761,1
5,"lm_interact",50.17160664049,0.17160664049004,2.82902157210811,-0.0392601384233728,50.2108667789134,44.6268262476713,55.7163870333088,44.6660863860946,55.7556471717322,1,1,0,1,2.42467188835144,2.47240805625916,1
6,"lm_interact",52.3997154830773,2.39971548307731,2.71735872655345,-0.225565866641283,52.6252813497186,47.0737902459569,57.7256407201977,47.2993561125982,57.951206586839,1,1,0,1,2.33844089508057,2.39727807044983,1
7,"lm_interact",50.4477779808441,0.447777980844108,3.24714652220255,-0.690378319120612,51.1381562999647,44.0834877448026,56.8120682168856,44.7738660639232,57.5024465360062,1,1,0,1,2.41272211074829,2.46825194358826,1
8,"lm_interact",53.9621840059048,3.96218400590482,3.44056027760507,-0.346103154082535,54.3082871599874,47.2188097751597,60.7055582366499,47.5649129292423,61.0516613907324,1,1,0,1,2.30865502357483,2.35904788970947,1
9,"lm_interact",46.3480431196858,-3.6519568803142,2.96046420845229,-0.536187009164891,46.8842301288507,40.5456398935994,52.1504463457722,41.0818269027643,52.686633354937,1,1,0,1,2.36115598678589,2.41746306419373,1
10,"lm_interact",52.9960827924059,2.99608279240591,3.17146477452723,-0.520828076956974,53.5169108693629,46.7801260560951,59.2120395287167,47.3009541330521,59.7328676056737,1,1,0,1,2.33849692344666,2.37928104400635,1
11,"lm_interact",43.4334312334106,-6.56656876658944,3.10006677622465,0.13825745509731,43.2951737783132,37.3574120023411,49.5094504644801,37.2191545472437,49.3711930093828,0,0,1,1,2.37489891052246,2.42839884757996,0
