"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
1,45.3777871184224,-4.62221288157764,3.13554669218919,-0.0752127577401609,45.4529998761625,39.2322285298878,51.5233457069569,39.307441287628,51.598558464697,1,1,0,1,1.4359610080719,1.44439911842346,1,"lm"
2,43.9989224135854,-6.00107758641456,2.87949508677931,-0.416106505280993,44.4150289188664,38.355215749838,49.6426290773329,38.771322255119,50.0587355826139,0,1,1,1,1.41244792938232,1.41768789291382,0,"lm"
3,49.3780683039107,-0.621931696089277,3.24370957892411,-0.334918042133609,49.7129863460443,43.0205143529119,55.7356222549096,43.3554323950455,56.0705402970432,1,1,0,1,1.41975593566895,1.42498898506165,1,"lm"
4,48.3880700989109,-1.61192990108906,3.63332294212397,0.0200980969170601,48.3679720019939,41.2668879881448,55.509252209677,41.2467898912278,55.48915411276,1,1,0,1,1.4250500202179,1.43020486831665,1,"lm"
5,50.1623276896572,0.162327689657161,2.88042703725093,-0.0623866844074144,50.2247143740646,44.5167944365499,55.8078609427644,44.5791811209574,55.8702476271718,1,1,0,1,1.39989590644836,1.40520286560059,1,"lm"
6,52.6839429605696,2.68394296056956,2.71722339333155,-0.517061245738482,53.201004206308,47.35828297169,58.0096029494491,47.8753442174285,58.5266641951876,1,1,0,1,1.48874497413635,1.49401497840881,1,"lm"
7,50.270081897781,0.270081897780962,3.21409801610532,-0.527321958207196,50.7974038559882,43.9705655434329,56.569598252129,44.4978875016401,57.0969202103362,1,1,0,1,1.41352891921997,1.41864395141602,1,"lm"
8,53.7574951345741,3.75749513457406,3.40585309572724,-0.175477665473053,53.9329728000471,47.0821457303144,60.4328445388337,47.2576233957875,60.6083222043067,1,1,0,1,1.4053111076355,1.41055607795715,1,"lm"
9,46.3152570022728,-3.68474299772717,2.92746639042464,-0.51434695920306,46.8296039614759,40.5775283110891,52.0529856934566,41.0918752702921,52.5673326526597,1,1,0,1,1.40203404426575,1.40733408927917,1,"lm"
10,52.114071682662,2.11407168266196,3.17311124139152,0.347210357435245,51.7668613252267,45.8948879305954,58.3332554347285,45.5476775731602,57.9860450772933,1,1,0,1,1.44799089431763,1.45419001579285,1,"lm"
