"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec"
1,"rf",38.1136188569744,-11.8863811430256,3.88868769807613,0.33618813064195,37.7774307263325,30.4919310216213,45.7353066923276,30.1557428909793,45.3991185616857,0,0,1,1,103.439373016357,104.014831066132
10,"rf",47.5207792733288,-2.47922072667122,3.89143675014788,-1.9632139349861,49.4839932083149,39.8937033949234,55.1478551517342,41.8569173299095,57.1110690867203,1,1,0,1,98.3162779808044,98.8374469280243
11,"rf",39.9346532748948,-10.0653467251052,3.62425137670576,-2.67802749857637,42.6126807734711,32.8312511056318,47.0380554441578,35.5092786042081,49.7160829427341,0,0,1,1,99.5647518634796,100.092664003372
12,"rf",45.2672857702578,-4.73271422974216,3.43559630153707,-1.26981964336821,46.537105413626,38.5336407538262,52.0009307866895,39.8034603971944,53.2707504300577,1,1,0,1,106.982294082642,107.516149997711
13,"rf",45.550407480245,-4.44959251975503,3.65361599821521,-0.858186104031326,46.4085935842763,38.3894517104038,52.7113632500861,39.2476378144351,53.5695493541175,1,1,0,1,101.327003002167,101.761832952499
14,"rf",47.8452396052176,-2.15476039478236,3.26205700142568,-1.27322477508667,49.1184643803043,41.4517253669066,54.2387538435287,42.7249501419932,55.5119786186154,1,1,0,1,101.463757038116,101.986167907715
15,"rf",43.9646858882377,-6.03531411176233,3.98325120104059,-2.91173840143057,46.8764242896682,36.1576569928222,51.7717147836531,39.0693953942528,54.6834531850837,1,1,0,1,105.64036488533,106.253625869751
16,"rf",51.0928971783426,1.09289717834265,3.85124249592951,-1.44542953493723,52.5383267132799,43.5446005905907,58.6411937660946,44.9900301255279,60.0866233010319,1,1,0,1,106.146636962891,106.717199087143
17,"rf",46.4431448695334,-3.55685513046655,4.1624204425651,-1.87032990243224,48.3134747719657,38.2849507135926,54.6013390254743,40.1552806160248,56.4716689279065,1,1,0,1,99.1292150020599,99.520427942276
18,"rf",44.8159345129328,-5.18406548706716,3.39503992068519,-0.0297032788705707,44.8456377918034,38.1617785423141,51.4700904835515,38.1914818211847,51.4997937624221,1,1,0,1,102.191760063171,102.646764993668
19,"rf",47.4394496672346,-2.56055033276538,4.12818547706208,-0.573951878730703,48.0134015459653,39.3483548106917,55.5305445237776,39.9223066894224,56.1044964025083,1,1,0,1,101.891963005066,102.361147880554
2,"rf",37.3233114250368,-12.6766885749632,3.48962771705015,-0.37451895178922,37.697830376826,30.4837667801658,44.1628560699078,30.858285731955,44.537375021697,0,0,1,1,98.2500691413879,98.8105161190033
20,"rf",40.0751591883049,-9.92484081169512,3.67948114951256,0.194329553289357,39.8808296350155,32.8635086534662,47.2868097231435,32.6691791001769,47.0924801698542,0,0,1,1,104.979604959488,105.414124011993
21,"rf",43.1709322075933,-6.82906779240668,3.18137661257932,0.469037558834351,42.701894648759,36.9355486256798,49.4063157895068,36.4665110668455,48.9372782306725,0,0,1,1,102.277544021606,102.650620937347
22,"rf",42.5748344222287,-7.42516557777135,3.86833082339499,-1.57384470932561,44.1486791315543,34.9930453280883,50.156623516369,36.5668900374139,51.7304682256946,1,1,0,1,101.527677059174,101.951807022095
