"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
1,41.8568419894286,-8.1431580105714,3.55953266245436,0.155381542917802,41.7014604465108,34.8802861692241,48.8333978096331,34.7249046263063,48.6780162667153,0,0,1,1,0.0706138610839844,0.0708909034729004,0,"unadj"
2,45.083414208181,-4.91658579181905,3.37840487959399,-0.047349452736718,45.1307636609177,38.4618623189824,51.7049660973795,38.5092117717191,51.7523155501163,1,1,0,1,0.0770390033721924,0.0772349834442139,1,"unadj"
3,51.5452055757717,1.54520557577166,3.71085043662482,0.0601701912709132,51.4850353845007,44.2720723679723,58.818338783571,44.2119021767014,58.7581685923001,1,1,0,1,0.068122148513794,0.0683069229125977,1,"unadj"
4,51.6248049143576,1.62480491435758,3.8468568857146,0.140873839069933,51.4839310752877,44.0851039646771,59.1645058640381,43.9442301256071,59.0236320249682,1,1,0,1,0.0696609020233154,0.0698580741882324,1,"unadj"
5,49.4784628037704,-0.521537196229559,3.63706364702786,0.133765480817949,49.3446973229525,42.3499490461159,56.606976561425,42.216183565298,56.473211080607,1,1,0,1,0.083625078201294,0.0838460922241211,1,"unadj"
6,51.2189283328331,1.21892833283309,3.54196461553513,-0.288768085085138,51.5076964179182,44.276805251869,58.1610514137972,44.5655733369541,58.4498194988823,1,1,0,1,0.0689418315887451,0.0691559314727783,1,"unadj"
7,49.6072289901041,-0.392771009895881,4.25984457165446,0.248050497029624,49.3591784930745,41.2580870499229,57.9563709302853,41.0100365528933,57.7083204332557,1,1,0,1,0.0770769119262695,0.0772879123687744,1,"unadj"
8,54.5285903018588,4.5285903018588,4.13731219943511,-0.164769298020381,54.6933595998792,46.4196073981678,62.6375732055498,46.5843766961882,62.8023425035702,1,1,0,1,0.067918062210083,0.0681099891662598,1,"unadj"
9,49.4505116681673,-0.549488331832691,3.16026806326691,-0.204573099184145,49.6550847673515,43.256500082672,55.6445232536626,43.4610731818562,55.8490963528467,1,1,0,1,0.0692901611328125,0.0694971084594727,1,"unadj"
10,53.2896706157757,3.28967061577575,3.97427132372492,-0.712852766554441,54.0025233823302,45.5002419564846,61.0790992750669,46.213094723039,61.7919520416214,1,1,0,1,0.0751650333404541,0.0753579139709473,1,"unadj"
11,42.0529532432292,-7.94704675677079,3.46025427637202,0.354387069141488,41.6985661740877,35.2709794841894,48.8349270022691,34.9165924150479,48.4805399331276,0,0,1,1,0.0693159103393555,0.0695171356201172,0,"unadj"
12,51.5497783242778,1.54977832427784,3.92880733717087,-0.649404105280482,52.1991824295583,43.8494574412262,59.2500992073295,44.4988615465067,59.89950331261,1,1,0,1,0.0805830955505371,0.080773115158081,1,"unadj"
13,47.4437350780485,-2.55626492195154,3.7390321804154,-0.208004456818372,47.6517395348668,40.115366667398,54.7721034886989,40.3233711242164,54.9801079455173,1,1,0,1,0.0684740543365479,0.0686759948730469,1,"unadj"
14,54.264809058474,4.26480905847404,3.61371723158659,-0.155769038971414,54.4205780974455,47.1820534342525,61.3475646826956,47.3378224732239,61.503333721667,1,1,0,1,0.0690369606018066,0.0692360401153564,1,"unadj"
15,48.0620977029799,-1.93790229702014,3.80779618146529,-0.484791428174184,48.546889131154,40.5989543268388,55.525241079121,41.0837457550129,56.0100325072951,1,1,0,1,0.0776629447937012,0.0778660774230957,1,"unadj"
