"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"lm_interact",46.811542987867,-3.18845701213302,4.49603304614741,0.0223229902378606,46.7892199976291,37.9994801441161,55.6236058316178,37.9771571538783,55.60128284138,1,1,0,1,2.09884691238403,2.1802499294281,1
2,"lm_interact",47.712928248907,-2.28707175109302,5.15131703402993,0.170468823206576,47.5424594257004,37.6165323892606,57.8093241085533,37.446063566054,57.6388552853468,1,1,0,1,2.73159313201904,2.81856894493103,1
3,"lm_interact",45.4081167120342,-4.5918832879658,4.44715418083877,0.276258558358336,45.1318581536759,36.6918546838935,54.1243787401749,36.4155961255352,53.8481201818166,1,1,0,1,3.12331986427307,3.20923709869385,1
4,"lm_interact",42.0945359507569,-7.90546404924314,4.92847954972584,0.0918355995243374,42.0027003512325,32.434893534752,51.7541783667617,32.3430579352277,51.6623427672373,1,1,0,1,3.21355199813843,3.30990195274353,1
5,"lm_interact",50.4704357590269,0.470435759026934,5.12979151613424,-0.300389588073003,50.7708253470999,40.4162291392047,60.5246423788492,40.7166187272777,60.8250319669222,1,1,0,1,2.17119789123535,2.24744296073914,1
6,"lm_interact",43.2688537259799,-6.73114627402014,4.30552786327111,0.706060183706128,42.5627935422737,34.8301741795348,51.7075332724249,34.1241139958287,51.0014730887188,1,1,0,1,2.71284484863281,2.79621601104736,1
7,"lm_interact",44.9302103700775,-5.06978962992252,4.82479913729467,0.72680298304585,44.2034073870316,35.47377782834,54.3866429118149,34.7469748452941,53.6598399287691,1,1,0,1,2.80929207801819,2.88621187210083,1
8,"lm_interact",48.6410649747585,-1.35893502524154,4.51779654789982,0.0697953579819242,48.5712696167765,39.7863464513954,57.4957834981215,39.7165510934135,57.4259881401396,1,1,0,1,3.25849390029907,3.35291314125061,1
9,"lm_interact",52.4363212766266,2.43632127662662,4.96440579133219,-0.174092248256493,52.6104135248831,42.7062647209735,62.1663778322798,42.88035696923,62.3404700805363,1,1,0,1,2.12434911727905,2.19696712493896,1
10,"lm_interact",49.859163655843,-0.14083634415698,6.22217857808828,-0.657681171748578,50.5168448275916,37.6639177374133,62.0544095742727,38.3215989091619,62.7120907460213,1,1,0,1,2.03082799911499,2.10772299766541,1
11,"lm_interact",49.0159383249873,-0.984061675012718,5.52560408886668,0.494732455333185,48.5212058696541,38.1859533179813,59.8459233319932,37.6912208626481,59.35119087666,1,1,0,1,2.8446409702301,2.9378170967102,1
12,"lm_interact",40.7543474735886,-9.24565252641141,5.02030688254106,0.485303413503587,40.269044060085,30.9147267924696,50.5939681547076,30.429423378966,50.108664741204,1,1,0,1,2.51731991767883,2.52468109130859,1
13,"lm_interact",48.7379439537249,-1.26205604627508,4.89975040988803,0.160689460744322,48.5772544929806,39.134609617109,58.3412782903408,38.9739201563647,58.1805888295965,1,1,0,1,2.49705004692078,2.5054018497467,1
14,"lm_interact",46.9318271562099,-3.06817284379007,5.11116058900888,-0.437529589286854,47.3693567454968,36.914136482552,56.9495178298679,37.3516660718388,57.3870474191547,1,1,0,1,2.562824010849,2.57850813865662,1
15,"lm_interact",55.3255852339145,5.32558523391447,5.52245710058645,-0.18275492151048,55.5083401554249,44.5017682105975,66.1494022572314,44.684523132108,66.3321571787419,1,1,0,1,3.84238791465759,3.86945104598999,1
16,"lm_interact",53.4569194584136,3.45691945841356,5.50701866559321,0.0139758587412615,53.4429435996723,42.663361211661,64.2504777051661,42.6493853529198,64.2365018464248,1,1,0,1,2.44085788726807,2.44846796989441,1
17,"lm_interact",47.8745509334837,-2.12544906651627,5.12650938439661,-0.242265601078763,48.1168165345625,37.8267771736598,57.9223246933077,38.0690427747385,58.1645902943865,1,1,0,1,2.5335431098938,2.54034900665283,1
18,"lm_interact",52.8274223753081,2.82742237530812,5.62756746782446,-0.268985524653317,53.0964078999614,41.7975928178029,63.8572519328133,42.0665783424562,64.1262374574666,1,1,0,1,2.55248785018921,2.55954504013062,1
19,"lm_interact",48.0169692218526,-1.98303077814738,5.13415072918687,-0.577483972715861,48.5944531945685,37.9542187014463,58.079719742259,38.5317026741622,58.6572037149748,1,1,0,1,3.91332697868347,3.933109998703,1
20,"lm_interact",44.0668234098032,-5.93317659019677,4.89809769398316,0.0705370827288974,43.9962863270743,34.4667283368376,53.6669184827689,34.3961912541087,53.59638140004,1,1,0,1,2.57631301879883,2.58344888687134,1
21,"lm_interact",45.3403275656537,-4.6596724343463,5.02722912938164,-0.470011864864823,45.8103394305185,35.487139530035,55.1935156012724,35.9571513948999,55.6635274661372,1,1,0,1,2.43965888023376,2.44811701774597,1
22,"lm_interact",45.8509517299632,-4.14904827003684,4.85952421632902,0.105174767777264,45.7457769621859,36.326459283958,55.3754441759683,36.2212845161808,55.270269408191,1,1,0,1,2.47977805137634,2.48669004440308,1
23,"lm_interact",50.4741744165229,0.474174416522942,5.09075250476206,0.00229127466492685,50.471883141858,40.4964828529822,60.4518659800637,40.4941915783173,60.4495747053987,1,1,0,1,2.24497199058533,2.25181698799133,1
24,"lm_interact",43.4259491218139,-6.5740508781861,5.04629814307802,0.663171247388995,42.7627778744249,33.5353865061296,53.3165117374982,32.8722152587406,52.6533404901092,1,1,0,1,2.15156078338623,2.15930008888245,1
25,"lm_interact",65.6422961891962,15.6422961891962,5.42660372856743,0.354327969322441,65.2879682198737,55.0063483228332,76.2782440555591,54.6520203535108,75.9239160862367,0,0,1,1,2.17657804489136,2.18545508384705,0
26,"lm_interact",46.0232913819203,-3.9767086180797,4.83908842620124,0.306123982781259,45.717167399139,36.5388523485612,55.5077304152793,36.23272836578,55.2016064324981,1,1,0,1,3.38157200813293,3.39841389656067,1
27,"lm_interact",49.1421183397614,-0.857881660238618,5.46124869644155,-0.45581675383378,49.5979350935952,38.4382675841196,59.8459690954031,38.8940843379534,60.3017858492369,1,1,0,1,2.28815293312073,2.29888296127319,1
28,"lm_interact",54.0627286902739,4.06272869027393,5.15556090154577,-0.583843174302679,54.6465718645766,43.9580150031414,64.1674423774065,44.5418581774441,64.7512855517092,1,1,0,1,2.20643901824951,2.21363401412964,1
29,"lm_interact",44.2176551133043,-5.78234488669572,5.89625721639426,-0.710219783719573,44.9278748970238,32.6612033255871,55.7741069010214,33.3714231093067,56.484326684741,1,1,0,1,2.28181314468384,2.28900289535522,1
30,"lm_interact",51.9210796440868,1.92107964408677,4.42557267367804,-0.31881734676243,52.2398969908492,43.2471165927132,60.5950426954604,43.5659339394756,60.9138600422228,1,1,0,1,3.5548300743103,3.57136702537537,1
31,"lm_interact",50.127592141232,0.127592141231972,5.41677816685449,0.358280868984352,49.7693112722476,39.5109020219543,60.7442822605097,39.1526211529699,60.3860013915253,1,1,0,1,2.23621392250061,2.24574089050293,1
32,"lm_interact",47.0297221264137,-2.97027787358627,5.36951475692111,0.220822848322797,46.8088992780909,36.505666588392,57.5537776644355,36.2848437400692,57.3329548161127,1,1,0,1,2.21058797836304,2.21721792221069,1
33,"lm_interact",48.214316308285,-1.78568369171496,5.26577076667349,0.343066557545413,47.8712497507396,37.8935952547611,58.535037361809,37.5505286972157,58.1919708042635,1,1,0,1,2.17072892189026,2.17722392082214,1
