"replicate","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95","Estimator"
1,47.0620398572997,-2.93796014270031,4.49745598814958,-0.255684886841088,47.3177247441408,38.2471880984725,55.8768916161269,38.5028729853136,56.132576502968,1,1,0,1,4.21631407737732,4.52282500267029,1,"lm"
2,47.2290687083662,-2.77093129163383,5.14374035598776,0.630810860142994,46.5982578482232,37.1475228648049,57.3106145519274,36.5167120046619,56.6798036917844,1,1,0,1,3.70097088813782,3.71621298789978,1,"lm"
3,45.4818616206727,-4.51813837932727,4.42762463547539,0.20417270626163,45.2776889144111,36.8038767980787,54.1598464432668,36.5997040918171,53.9556737370051,1,1,0,1,3.7343590259552,3.75402617454529,1,"lm"
4,42.2596747217805,-7.74032527821952,4.92754018679596,-0.0974064770708125,42.3570811988513,32.6018734232866,51.9174760202743,32.6992799003574,52.0148824973451,1,1,0,1,4.23169302940369,4.25475716590881,1,"lm"
5,50.9922867404,0.992286740400012,5.0992680875828,-0.792014281881372,51.7843010222814,40.9979049412233,60.9866685395767,41.7899192231047,61.7786828214581,1,1,0,1,3.80964207649231,3.83232092857361,1,"lm"
6,43.6473490208805,-6.35265097911953,4.3301175539074,0.329854548298243,43.3174944725822,35.1604745663973,52.1342234753636,34.8306200180991,51.8043689270654,1,1,0,1,3.89950394630432,3.9309229850769,1,"lm"
7,45.4408238434244,-4.5591761565756,4.81436139119213,0.167004030102468,45.2738198133219,36.0048489081277,54.8767987787211,35.8378448780252,54.7097947486187,1,1,0,1,3.94316506385803,3.96843194961548,1,"lm"
8,48.798900352809,-1.20109964719101,4.55897423481609,-0.0595270411287032,48.8584273939377,39.8634750461234,57.7343256594946,39.9230020872521,57.7938527006233,1,1,0,1,3.76355886459351,3.79157996177673,1,"lm"
9,52.5697352057256,2.56973520572558,4.94394413483575,-0.359582752966276,52.9293179586919,42.8797827598695,62.2596876515817,43.2393655128357,62.619270404548,1,1,0,1,3.72847199440002,3.75480508804321,1,"lm"
10,49.6209741919201,-0.37902580807993,6.25767717382608,-0.401456320800094,50.0224305127202,37.3561523043426,61.8857960794976,37.7576086251427,62.2872524002977,1,1,0,1,4.21680998802185,4.24412298202515,1,"lm"
11,49.0561748085048,-0.943825191495222,5.55184522902207,0.431191102859366,48.6249837056454,38.174758111881,59.9375915051286,37.7435670090216,59.5064004022692,1,1,0,1,4.89489793777466,4.92733120918274,1,"lm"
12,41.0010648294037,-8.99893517059628,5.02912798446034,0.223851022563856,40.7772138068399,31.144155106219,50.8579745525885,30.9203040836551,50.6341235300246,1,1,0,1,3.95537304878235,3.96838092803955,1,"lm"
13,49.0201886677708,-0.979811332229161,4.83779011657353,-0.125143097636155,49.145331765407,39.5382942745229,58.5020830610188,39.6634373721591,58.6272261586549,1,1,0,1,4.63748216629028,4.65521597862244,1,"lm"
14,46.719478177325,-3.28052182267497,5.10060163006306,-0.228690333307419,46.9481685106324,36.7224826829151,56.7164736717349,36.9511730162226,56.9451640050423,1,1,0,1,4.42385482788086,4.44032502174377,1,"lm"
15,55.6423467250484,5.6423467250484,5.48492059352133,-0.44613756680819,56.0884842918566,44.8920999036845,66.3925935464123,45.3382374704927,66.8387311132204,1,1,0,1,4.46392011642456,4.49942684173584,1,"lm"
16,52.6987518848481,2.69875188484806,5.46778666214782,0.781753714741619,51.9169981701064,41.9820869518899,63.4154168178063,41.2003332371482,62.6336631030647,1,1,0,1,4.73472785949707,4.7479510307312,1,"lm"
17,47.3163782296467,-2.68362177035326,5.12510102714448,0.329723550303562,46.9866546793432,37.2713647993143,57.3613916599792,36.9416412490108,57.0316681096756,1,1,0,1,4.79258608818054,4.81622409820557,1,"lm"
18,52.3743876911946,2.37438769119461,5.70175844327094,0.21594441449281,52.1584432767018,41.1991464938364,63.5496288885528,40.9832020793436,63.33368447406,1,1,0,1,4.49783301353455,4.52472519874573,1,"lm"
19,48.1021699939863,-1.89783000601368,5.16012609258134,-0.660998699695277,48.7631686936816,37.9885086968415,58.2158312911311,38.6495073965368,58.8768299908264,1,1,0,1,4.30539107322693,4.31799006462097,1,"lm"
20,44.4630692205954,-5.53693077940463,4.87379577151416,-0.310048178031572,44.7731173986269,34.910605040424,54.0155334007667,35.2206532184556,54.3255815787983,1,1,0,1,4.28466010093689,4.30668807029724,1,"lm"
21,45.0093784148018,-4.99062158519818,4.99464646816968,-0.117027418566686,45.1264058333685,35.2200512216791,54.7987056079246,35.3370786402458,54.9157330264912,1,1,0,1,4.3076171875,4.324462890625,1,"lm"
22,46.0171927380782,-3.98280726192183,4.84568331990862,-0.0265258214515995,46.0437185595298,36.5198279505708,55.5145575255855,36.5463537720224,55.5410833470371,1,1,0,1,4.43302011489868,4.45095610618591,1,"lm"
23,50.9174826318045,0.917482631804454,5.0831965217331,-0.47327690223517,51.3907595340396,40.9546005228683,60.8803647407406,41.4278774251035,61.3536416429758,1,1,0,1,3.98487615585327,4.00431799888611,1,"lm"
24,44.8080065678933,-5.19199343210673,5.04391566533957,-0.662793528429454,45.4708000963227,34.9221135227703,54.6938996130162,35.5849070511998,55.3566931414457,1,1,0,1,4.2518470287323,4.27474999427795,1,"lm"
25,65.3051277503338,15.3051277503338,5.45447766001538,0.654616145596563,64.6505116047372,54.6145479822253,75.9957075184422,53.9599318366288,75.3410913728457,0,0,1,1,4.34342908859253,4.36603713035583,0,"lm"
