"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec"
1,"rf",47.2517905237385,-2.74820947626147,4.6955100070402,-2.71904106126052,49.970831584999,38.0487600208923,56.4548210265847,40.7678010821529,59.1738620878452,1,1,0,1,102.516256809235,103.062383890152
2,"rf",49.2694072788768,-0.730592721123223,4.56288762443723,-4.17386879506224,53.443276073939,40.3263118694763,58.2125026882773,44.5001806645385,62.3863714833395,1,1,0,1,99.0566008090973,99.6079380512238
3,"rf",44.9371516350228,-5.0628483649772,4.47206905781618,-2.03572022189228,46.9728718569151,36.1720573453271,53.7022459247185,38.2077775672194,55.7379661466108,1,1,0,1,98.8409218788147,99.3923208713531
4,"rf",42.1097986825258,-7.89020131747419,4.47952353948291,-1.89025165623453,44.0000503387603,33.3300938772399,50.8895034878117,35.2203455334744,52.7797551440462,1,1,0,1,99.2894389629364,99.8480370044708
5,"rf",49.8827912687548,-0.117208731245228,4.59558612498575,-0.116322337474315,49.9991136062291,40.8756079759307,58.8899745615788,40.991930313405,59.0062968990532,1,1,0,1,99.0404350757599,99.5931348800659
6,"rf",43.4003682134705,-6.59963178652945,4.48443447506684,-2.2568876976006,45.6572559110711,34.6110381513098,52.1896982756313,36.8679258489104,54.4465859732319,1,1,0,1,99.0065169334412,99.5755920410156
7,"rf",48.1165092651205,-1.88349073487953,4.8969470298123,-3.19170018796,51.3082094530805,38.518669452488,57.714349077753,41.710369640448,60.906049265713,1,1,0,1,101.507335186005,102.060786008835
8,"rf",49.4398810340869,-0.560118965913112,4.29038328226501,-3.06814007395003,52.5080211080369,41.0308843209747,57.848877747199,44.0990243949248,60.9170178211491,1,1,0,1,98.1533908843994,98.7178649902344
9,"rf",53.2476791996968,3.24767919969677,4.3745504757129,-2.50376548848137,55.7514446881781,44.6737178187469,61.8216405806466,47.1774833072283,64.325406069128,1,1,0,1,97.9383361339569,98.5162270069122
10,"rf",50.443085011709,0.443085011709051,5.6083940411486,-1.22680705167668,51.6698920633857,39.4508346799487,61.4353353434694,40.6776417316254,62.662142395146,1,1,0,1,102.116008996964,102.658691883087
11,"rf",50.6666530626292,0.666653062629194,5.59916695592335,-4.0699824051659,54.7366354677951,39.6924874855927,61.6408186396657,43.7624698907586,65.7108010448316,1,1,0,1,102.286553859711,102.831738233566
