"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"lm",45.4005917652558,-4.59940823474419,3.13095839808723,-0.0245151312417065,45.4251068964975,39.2640260679116,51.5371574626,39.2885411991533,51.5616725938417,1,1,0,1,2.31256103515625,2.37845206260681,1
2,"lm",43.7585838604335,-6.24141613956652,2.94503427622573,-0.138745285165456,43.8973291455989,37.9864227457951,49.5307449750719,38.1251680309605,49.6694902602373,0,0,1,1,2.34261012077332,2.40839600563049,0
3,"lm",49.8410391979984,-0.158960802001552,3.24357749742134,-0.745771088376912,50.5868102863754,43.4837441219881,56.1983342740088,44.229515210365,56.9441053623857,1,1,0,1,2.39216709136963,2.4576358795166,1
4,"lm",48.0867684666096,-1.91323153339044,3.63128153234194,0.442981199209136,47.6437872674004,40.9695874454939,55.2039494877252,40.5266062462848,54.760968288516,1,1,0,1,2.26922106742859,2.33046698570251,1
5,"lm",49.8485343341161,-0.151465665883869,2.90941972658513,0.303784967076091,49.54474936704,44.1461764540989,55.5508922141334,43.8423914870228,55.2471072470573,1,1,0,1,2.34367203712463,2.41038703918457,1
6,"lm",52.3212498989545,2.32124989895454,2.69504344356215,-0.184759135661842,52.5060090346164,47.0390618128019,57.6034379851072,47.2238209484638,57.788197120769,1,1,0,1,2.43465495109558,2.50192785263062,1
7,"lm",49.8516316959277,-0.148368304072285,3.20573952227307,-0.124476381593041,49.9761080775208,43.5684976884559,56.1347657033996,43.6929740700489,56.2592420849926,1,1,0,1,2.26267194747925,2.32947301864624,1
8,"lm",53.510542781214,3.51054278121395,3.36398687308539,-0.0140330747488662,53.5245758559628,46.9172496655011,60.1038358969268,46.93128274025,60.1178689716757,1,1,0,1,2.23229479789734,2.29034399986267,1
9,"lm",46.3766557837348,-3.62334421626524,2.93999052890508,-0.465300874052417,46.8419566577872,40.6143802321919,52.1389313352776,41.0796811062444,52.60423220933,1,1,0,1,2.33367800712585,2.38779282569885,1
10,"lm",52.2528635091609,2.25286350916085,3.18830857219468,0.195796100998336,52.0570674081625,46.003893536059,58.5018334822627,45.8080974350606,58.3060373812644,1,1,0,1,2.35976910591125,2.41307806968689,1
11,"lm",43.5537307269602,-6.44626927303982,3.07611716543489,-0.100643759721741,43.6543744866819,37.5246518704823,49.582809583438,37.6252956302041,49.6834533431597,0,0,1,1,2.43104600906372,2.4847629070282,0
12,"lm",50.1617778332244,0.161777833224384,3.22454620181117,-0.77186057578146,50.9336384090058,43.8417834111891,56.4817722552597,44.6136439869705,57.2536328310412,1,1,0,1,3.13468289375305,3.14819002151489,1
13,"lm",49.7215558460685,-0.27844415393151,2.98134373121423,0.0904080942073406,49.6311477518611,43.8782295073543,55.5648821847826,43.787821413147,55.4744740905753,1,1,0,1,3.1038670539856,3.11222004890442,1
14,"lm",52.5889456144081,2.58894561440807,3.3116945936434,0.177213270259372,52.4117323441487,46.098143483071,59.0797477457451,45.9209302128116,58.9025344754858,1,1,0,1,3.00563192367554,3.01231002807617,1
