"replicate","Estimator","estimate","bias","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec"
1,"lm_interact",52.3141048683128,2.3141048683128,2.12641066876161,-0.232677732608096,52.5467826009209,48.1464165411983,56.4817931954273,48.3790942738064,56.7144709280354,1,1,0,1,3.96707201004028,4.02187895774841
10,"lm_interact",51.6987491807451,1.69874918074512,2.1843794320315,-0.212542344741109,51.9112915254862,47.4174441653933,55.9800541960969,47.6299865101344,56.192596540838,1,1,0,1,3.91388416290283,3.97150087356567
100,"lm_interact",51.3663362300107,1.36633623001072,2.25022269003432,-0.0422917190493877,51.4086279490601,46.9559808003486,55.7766916596728,46.998272519398,55.8189833787222,1,1,0,1,2.81890892982483,2.82602405548096
101,"lm_interact",47.044352194622,-2.95564780537804,1.93062232919349,0.195679193976076,46.8486730006459,43.2604019616539,50.82830242759,43.0647227676778,50.632623233614,1,1,0,1,2.90298986434937,2.91025495529175
102,"lm_interact",53.614239748174,3.61423974817404,2.21562286849311,-0.166753390598032,53.7809931387721,49.2716987226042,57.9567807737439,49.4384521132022,58.1235341643419,1,1,0,1,2.81375908851624,2.82103705406189
103,"lm_interact",47.2007895969555,-2.79921040304452,2.025219705487,-0.107106220485853,47.3078958174413,43.2314319134201,51.1701472804908,43.338538133906,51.2772535009767,1,1,0,1,3.86770415306091,3.88489294052124
104,"lm_interact",52.4045267293776,2.40452672937762,2.2050640525428,-0.307962211963407,52.712488941341,48.0826806027898,56.7263728559654,48.3906428147532,57.0343350679289,1,1,0,1,2.81143498420715,2.82043600082397
105,"lm_interact",50.7288017147441,0.728801714744115,2.3213913493008,-0.126651119445661,50.8554528341898,46.1789582760917,55.2786451533965,46.3056093955374,55.4052962728422,1,1,0,1,2.89148712158203,2.90385794639587
106,"lm_interact",57.7062486129811,7.70624861298106,2.43211078883231,-0.0032267836565012,57.7094753966376,52.9393990604584,62.4730981655037,52.9426258441149,62.4763249491602,0,0,1,1,2.93390488624573,2.94303894042969
107,"lm_interact",52.3395773826031,2.33957738260313,2.30957797153085,0.345517596916046,51.9940597856871,47.8128877389156,56.8662670262907,47.4673701419995,56.5207494293746,1,1,0,1,2.79532599449158,2.81045508384705
108,"lm_interact",56.9272172655201,6.9272172655201,2.39520429789368,0.208141841421849,56.7190754240982,52.2327031060329,61.6217314250073,52.0245612646111,61.4135895835854,0,0,1,1,2.82542777061462,2.83248996734619
109,"lm_interact",48.4515765077935,-1.54842349220652,2.02221809936164,0.263680340742901,48.1878961670506,44.4881018641596,52.4150511514273,44.2244215234167,52.1513708106844,1,1,0,1,2.75214004516602,2.76462197303772
11,"lm_interact",48.9677458120805,-1.03225418791952,1.99696846310209,0.053745516119946,48.9140002959605,45.0537595461381,52.8817320780229,45.0000140300181,52.8279865619029,1,1,0,1,3.95035314559937,3.99323487281799
110,"lm_interact",46.7312134911998,-3.26878650880015,2.18451517973206,0.0134828736416921,46.7177306175582,42.449642415244,51.0127845671557,42.4361595416023,50.999301693514,1,1,0,1,2.77266001701355,2.77935099601746
111,"lm_interact",54.0910558899174,4.09105588991741,2.22244280797476,0.467157370526934,53.6238985193905,49.7351480285868,58.446963751248,49.2679906580599,57.9798063807211,1,1,0,1,2.40747213363647,2.44001197814941
112,"lm_interact",51.3483904619091,1.3483904619091,2.06611277361279,0.209090970718904,51.1392994911902,47.2988838376299,55.3978970861883,47.089792866911,55.1888061154694,1,1,0,1,2.41973805427551,2.4370539188385
113,"lm_interact",49.7978606299272,-0.202139370072793,2.26650569908577,-0.255820401275976,50.0536810312032,45.3555910889643,54.2401301708901,45.6114114902403,54.4959505721661,1,1,0,1,2.38358497619629,2.39099407196045
114,"lm_interact",52.4441821868128,2.44418218681282,2.29093222777417,-0.00281225398163087,52.4469944407944,47.9540375293533,56.9343268442723,47.956849783335,56.9371390982539,1,1,0,1,3.30633091926575,3.31396293640137
115,"lm_interact",51.7028813759797,1.70288137597965,2.17909745950978,-0.18811457049523,51.8909959464749,47.4319288365378,55.9738339154215,47.620043407033,56.1619484859168,1,1,0,1,2.42082619667053,2.45032405853271
116,"lm_interact",49.5157532048033,-0.484246795196661,2.02899769764151,-0.130367987959843,49.6461211927632,45.5389907927113,53.4925156168954,45.6693587806711,53.6228836048552,1,1,0,1,2.31826996803284,2.32593894004822
117,"lm_interact",51.5093281998755,1.50932819987553,2.17456748210771,0.139078295007735,51.3702499048678,47.2472542529925,55.7714021467586,47.1081759579847,55.6323238517509,1,1,0,1,2.28520488739014,2.2951819896698
118,"lm_interact",47.0677487007961,-2.93225129920386,2.08215150803453,0.36017518098096,46.7075735198152,42.9868067346927,51.1486906668996,42.6266315537117,50.7885154859186,1,1,0,1,2.43177199363708,2.44194984436035
119,"lm_interact",49.4807027828208,-0.519297217179215,2.15854908055795,-0.0602448984713462,49.5409476812921,45.2500243260652,53.7113812395764,45.3102692245365,53.7716261380478,1,1,0,1,2.77211093902588,2.79607009887695
12,"lm_interact",48.6072869787391,-1.39271302126093,2.16046989499615,-0.0133730254113402,48.6206600041504,44.3728437948636,52.8417301626146,44.3862168202749,52.8551031880259,1,1,0,1,2.46714520454407,2.48650097846985
120,"lm_interact",52.1681764087264,2.16817640872643,2.09991856000799,-0.133916044978939,52.3020924537054,48.0524116606436,56.2839411568093,48.1863277056225,56.4178572017882,1,1,0,1,2.50811791419983,2.51541686058044
121,"lm_interact",48.9638445008994,-1.03615549910058,2.02370716608923,-0.0135970836529751,48.9774415845524,44.9974513401089,52.9302376616899,45.0110484237619,52.9438347453429,1,1,0,1,2.35639214515686,2.3664059638977
122,"lm_interact",46.4448320630131,-3.55516793698687,2.07834214911562,0.0545848053646978,46.3902472576484,42.3713563031949,50.5183078228313,42.3167714978302,50.4637230174666,1,1,0,1,2.39389801025391,2.40085506439209
123,"lm_interact",50.3432498907569,0.343249890756915,2.12039811882797,0.0486689959804849,50.2945808947764,46.1873459449676,54.4991538365462,46.1386769489871,54.4504848405657,1,1,0,1,2.42984318733215,2.43730306625366
124,"lm_interact",46.7927888820965,-3.20721111790346,2.34806969296453,-0.0399552436430426,46.8327441257396,42.190656850696,51.394920913497,42.2306120943391,51.4348761571401,1,1,0,1,2.34386587142944,2.35761499404907
126,"lm_interact",51.1876579496819,1.18765794968189,2.03226167122132,0.547142823663485,50.6405151260184,47.2044982669269,55.1708176324369,46.6573554432634,54.6236748087734,1,1,0,1,2.38560485839844,2.39369702339172
127,"lm_interact",49.3185859068008,-0.681414093199201,2.33614175194862,-0.144058045821296,49.4626439526221,44.7398322102012,53.8973396034004,44.8838902560225,54.0413976492217,1,1,0,1,2.38073301315308,2.38771915435791
128,"lm_interact",48.4703114798811,-1.52968852011894,2.16881762499692,-0.271892835662683,48.7422043155437,44.2195070458514,52.7211159139107,44.4913998815141,52.9930087495734,1,1,0,1,2.49587178230286,2.50587606430054
129,"lm_interact",48.0887692883215,-1.91123071167849,1.97679179857158,0.00746582254952699,48.081303465772,44.2143285581871,51.963210018456,44.2068627356375,51.9557441959064,1,1,0,1,2.34830689430237,2.36022806167603
13,"lm_interact",49.8043969306212,-0.195603069378805,2.24661332572365,-0.102388902585666,49.9067858332069,45.4011157250151,54.2076781362273,45.5035046276007,54.310067038813,1,1,0,1,2.44364309310913,2.46279311180115
130,"lm_interact",48.1709747630725,-1.82902523692748,2.0450230902182,-0.407537042616241,48.5785118056888,44.162803158692,52.179146367453,44.5703402013083,52.5866834100692,1,1,0,1,2.37821292877197,2.38821911811829
131,"lm_interact",52.5395080137909,2.53950801379088,2.06032538859068,0.0748039059289809,52.4647041078619,48.5013444557197,56.5776715718621,48.4265405497907,56.5028676659331,1,1,0,1,2.37555599212646,2.38267803192139
132,"lm_interact",52.3560038721555,2.3560038721555,1.82978906919677,0.328335747626902,52.0276681245286,48.7696831972248,55.9423245470862,48.4413474495979,55.6139887994593,1,1,0,1,2.39805912971497,2.40619397163391
133,"lm_interact",48.5806788764805,-1.41932112351952,2.16291747444445,0.24934525180074,48.3313336246797,44.341438525037,52.8199192279239,44.0920932732363,52.5705739761232,1,1,0,1,2.6159188747406,2.6250901222229
