"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","sd_estimate","std_bias"
1000,0.2,0.200000000000002,81.3451627705242,"setting_one","bart","single_stage","m1",50.1729222719303,0.172922271930256,499.637,7.88676214168736,0.0219256354919383
1000,0.2,0.200000000000002,81.3451627705242,"setting_one","correct_model","single_stage","m1",50.6817562155892,0.681756215589224,499.637,7.54865588969662,0.0903149150724664
1000,0.2,0.200000000000002,81.3451627705242,"setting_one","lm_interact","single_stage","m1",50.6693070740651,0.669307074065116,499.637,8.95892170787618,0.0747084410255197
1000,0.2,0.200000000000002,81.3451627705242,"setting_one","lm","single_stage","m1",50.6748402211558,0.674840221155783,499.637,7.63128525328739,0.0884307424971536
1000,0.2,0.200000000000002,81.3451627705242,"setting_one","rf","single_stage","m1",42.9003640096452,-7.09963599035481,499.637,9.27305788971401,-0.765619720570274
1000,0.2,0.200000000000002,81.3451627705242,"setting_one","super","single_stage","m1",49.732444457506,-0.26755554249397,499.637,7.86205074434949,-0.0340312662935003
1000,0.2,0.200000000000002,81.3451627705242,"setting_one","unadj","single_stage","m1",50.649367880889,0.649367880889049,499.637,8.08929083246644,0.0802750073322628
1000,0.2,0.200000000000002,81.3451627705242,"setting_one","xgboost","single_stage","m1",47.2973457634822,-2.70265423651783,499.637,9.56229405077547,-0.282636595587505
1000,0.4,0.400000000000003,47.4198108708167,"setting_one","bart","single_stage","m1",49.4531581305254,-0.546841869474629,499.391,4.75142878794012,-0.115089985324541
1000,0.4,0.400000000000003,47.4198108708167,"setting_one","correct_model","single_stage","m1",49.8207405371884,-0.179259462811562,499.391,4.33775898224125,-0.0413253625997777
1000,0.4,0.400000000000003,47.4198108708167,"setting_one","lm_interact","single_stage","m1",49.7794829580699,-0.220517041930064,499.391,5.43524294074439,-0.0405716992476996
1000,0.4,0.400000000000003,47.4198108708167,"setting_one","lm","single_stage","m1",49.8277818885951,-0.172218111404913,499.391,4.54834788659474,-0.0378638828205046
1000,0.4,0.400000000000003,47.4198108708167,"setting_one","rf","single_stage","m1",44.933923824271,-5.06607617572898,499.391,5.42496542843541,-0.933844877457599
1000,0.4,0.400000000000003,47.4198108708167,"setting_one","super","single_stage","m1",48.903717203616,-1.09628279638396,499.391,4.76960162537023,-0.229847874621785
1000,0.4,0.400000000000003,47.4198108708167,"setting_one","unadj","single_stage","m1",49.9901841218404,-0.00981587815958195,499.391,5.34279500822232,-0.00183721781286307
1000,0.4,0.400000000000003,47.4198108708167,"setting_one","xgboost","single_stage","m1",48.0721515260062,-1.92784847399378,499.391,5.80721598377072,-0.331974646608889
1000,0.6,0.600000000000006,29.1080841882502,"setting_one","bart","single_stage","m1",49.7852377536293,-0.21476224637068,500.498,2.94089417595416,-0.0730261728309219
1000,0.6,0.600000000000006,29.1080841882502,"setting_one","correct_model","single_stage","m1",50.0317855706062,0.0317855706062274,500.498,2.64897349760369,0.0119992029497393
1000,0.6,0.600000000000006,29.1080841882502,"setting_one","lm_interact","single_stage","m1",50.0240866100442,0.0240866100442307,500.498,3.76403634167698,0.00639914385988617
1000,0.6,0.600000000000006,29.1080841882502,"setting_one","lm","single_stage","m1",50.0440130539944,0.0440130539944368,500.498,2.94430106550969,0.0149485575745012
1000,0.6,0.600000000000006,29.1080841882502,"setting_one","rf","single_stage","m1",46.438197963674,-3.56180203632598,500.498,3.27354794778332,-1.08805555719379
1000,0.6,0.600000000000006,29.1080841882502,"setting_one","super","single_stage","m1",49.5109498295498,-0.489050170450175,500.498,2.95678188896794,-0.165399474433631
1000,0.6,0.600000000000006,29.1080841882502,"setting_one","unadj","single_stage","m1",50.3521292536717,0.352129253671743,500.498,4.04138159888764,0.087130909332755
1000,0.6,0.600000000000006,29.1080841882502,"setting_one","xgboost","single_stage","m1",48.9003114008751,-1.09968859912491,500.498,3.46281679298619,-0.317570540073701
1000,0.8,0.800000000000002,11.8809853346246,"setting_one","bart","single_stage","m1",49.9050256911325,-0.0949743088674892,500.012,1.4599308772368,-0.0650539764233538
1000,0.8,0.800000000000002,11.8809853346246,"setting_one","correct_model","single_stage","m1",50.0204710958422,0.0204710958422154,500.012,1.11411171714241,0.0183743654493841
1000,0.8,0.800000000000002,11.8809853346246,"setting_one","lm_interact","single_stage","m1",49.9725054674568,-0.027494532543148,500.012,2.46806344193832,-0.0111401239027935
1000,0.8,0.800000000000002,11.8809853346246,"setting_one","lm","single_stage","m1",49.9842359314881,-0.0157640685118895,500.012,1.66964698234982,-0.0094415578134388
1000,0.8,0.800000000000002,11.8809853346246,"setting_one","rf","single_stage","m1",46.9671525307511,-3.03284746924893,500.012,1.87177348692762,-1.6203068856516
1000,0.8,0.800000000000002,11.8809853346246,"setting_one","super","single_stage","m1",49.8190439584761,-0.180956041523923,500.012,1.4575292506713,-0.124152596896824
1000,0.8,0.800000000000002,11.8809853346246,"setting_one","unadj","single_stage","m1",50.0415297448344,0.0415297448343961,500.012,3.27985001806763,0.0126620865605507
1000,0.8,0.800000000000002,11.8809853346246,"setting_one","xgboost","single_stage","m1",49.4004157208824,-0.599584279117584,500.012,1.91218513949862,-0.31355974206284
10000,0.2,0.199999999999996,79.8755712622579,"setting_one","bart","single_stage","m1",50.016196980647,0.0161969806470362,5001.595,2.48278712214134,0.00652370898116576
10000,0.2,0.199999999999996,79.8755712622579,"setting_one","correct_model","single_stage","m1",50.0629571266224,0.0629571266223543,5001.595,2.23894359182991,0.0281191213803198
10000,0.2,0.199999999999996,79.8755712622579,"setting_one","lm_interact","single_stage","m1",50.0055064329387,0.00550643293867124,5001.595,2.68688094362171,0.00204937734652619
10000,0.2,0.199999999999996,79.8755712622579,"setting_one","lm","single_stage","m1",50.045463601134,0.0454636011339724,5001.595,2.29068127046612,0.0198471964302223
10000,0.2,0.199999999999996,79.8755712622579,"setting_one","rf","single_stage","m1",49.040098164423,-0.959901835577035,5001.595,2.73819190336443,-0.350560468167917
10000,0.2,0.199999999999996,79.8755712622579,"setting_one","super","single_stage","m1",49.9662010522265,-0.0337989477735117,5001.595,2.39567825127425,-0.0141083001256676
10000,0.2,0.199999999999996,79.8755712622579,"setting_one","unadj","single_stage","m1",50.0530326890099,0.0530326890098783,5001.595,2.46479919596436,0.0215160282008811
10000,0.2,0.199999999999996,79.8755712622579,"setting_one","xgboost","single_stage","m1",49.5187736849212,-0.481226315078828,5001.595,2.84352865372968,-0.16923561309911
10000,0.4,0.4,47.0879927349736,"setting_one","bart","single_stage","m1",49.9467342998174,-0.0532657001825878,4999.938,1.4290650733664,-0.0372731103539685
10000,0.4,0.4,47.0879927349736,"setting_one","correct_model","single_stage","m1",49.957610842047,-0.042389157953004,4999.938,1.3066802493624,-0.0324403448920943
10000,0.4,0.4,47.0879927349736,"setting_one","lm_interact","single_stage","m1",49.9913284817308,-0.00867151826918662,4999.938,1.64362008050781,-0.00527586537304138
10000,0.4,0.4,47.0879927349736,"setting_one","lm","single_stage","m1",49.9707141867558,-0.0292858132441674,4999.938,1.3648318711624,-0.0214574511798477
10000,0.4,0.4,47.0879927349736,"setting_one","rf","single_stage","m1",49.2012195114582,-0.798780488541768,4999.938,1.56142159659572,-0.511572588904434
10000,0.4,0.4,47.0879927349736,"setting_one","super","single_stage","m1",49.8764523433766,-0.123547656623371,4999.938,1.41054820707662,-0.087588397194467
10000,0.4,0.4,47.0879927349736,"setting_one","unadj","single_stage","m1",49.9370737983506,-0.0629262016494371,4999.938,1.6162586611181,-0.0389332494626236
10000,0.4,0.4,47.0879927349736,"setting_one","xgboost","single_stage","m1",49.6230580309215,-0.376941969078461,4999.938,1.65484155424962,-0.227781305171168
10000,0.6,0.599999999999997,28.8302459631883,"setting_one","bart","single_stage","m1",49.9859799274596,-0.0140200725404127,5001.684,0.907138032082914,-0.0154552802821205
10000,0.6,0.599999999999997,28.8302459631883,"setting_one","correct_model","single_stage","m1",49.9873325411766,-0.012667458823408,5001.684,0.823437335392371,-0.0153836342839276
10000,0.6,0.599999999999997,28.8302459631883,"setting_one","lm_interact","single_stage","m1",50.0027421087606,0.00274210876055624,5001.684,1.16225973964943,0.00235929084266771
10000,0.6,0.599999999999997,28.8302459631883,"setting_one","lm","single_stage","m1",49.9781847912461,-0.021815208753857,5001.684,0.920849312355035,-0.0236903133456933
10000,0.6,0.599999999999997,28.8302459631883,"setting_one","rf","single_stage","m1",49.3940237168019,-0.605976283198087,5001.684,0.994738963358798,-0.609181207853738
10000,0.6,0.599999999999997,28.8302459631883,"setting_one","super","single_stage","m1",49.9117066367399,-0.0882933632601225,5001.684,0.903926377948068,-0.0976776045196848
10000,0.6,0.599999999999997,28.8302459631883,"setting_one","unadj","single_stage","m1",49.9938084130878,-0.00619158691217725,5001.684,1.29228943484992,-0.00479117660889668
10000,0.6,0.599999999999997,28.8302459631883,"setting_one","xgboost","single_stage","m1",49.7949893952075,-0.205010604792547,5001.684,1.04631807931128,-0.195935259885303
