"n","target_r2","achieved_r2_raw","ss","setting","Estimator","Procedure","ModelSpec","mean_estimate","mean_bias","mean_n_obs","mc_sd_estimate","mc_var_estimate","mc_se_estimate","sd_estimate","var_estimate","mean_bootstrap_se","sd_bootstrap_se","mean_bootstrap_bias","mean_eif_se","mean_eif_var","coverage_95","coverage_95_mc_mean","coverage_95_bc","reject_h0_effect_prob","reject_h0_null_prob","mean_ci_lower","mean_ci_upper","mean_bc_ci_lower","mean_bc_ci_upper","mean_bootstrap_time_sec","mean_replicate_time_sec","std_bias"
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","bart","single_stage_drml","m1",50.3919920965936,0.391992096593611,512,NA,NA,NA,NA,NA,NA,NA,NA,3.96886472674875,15751.8872192305,1,1,NA,0,1,42.6131601726547,58.1708240205326,NA,NA,NA,2.36385488510132,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","correct_model","single_stage_drml","m1",52.0100338513737,2.01003385137368,512,NA,NA,NA,NA,NA,NA,NA,NA,3.65061953268289,13327.0229724058,1,1,NA,0,1,44.8549510460568,59.1651166566906,NA,NA,NA,0.0106101036071777,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm_interact","single_stage_drml","m1",55.2803652700436,5.28036527004364,512,NA,NA,NA,NA,NA,NA,NA,NA,3.72487708729204,13874.7093154332,1,1,NA,0,1,47.9797403321128,62.5809902079745,NA,NA,NA,0.00919008255004883,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm","single_stage_drml","m1",53.6319065402063,3.63190654020632,512,NA,NA,NA,NA,NA,NA,NA,NA,3.62393372380243,13132.8956345126,1,1,NA,0,1,46.5291269591934,60.7346861212192,NA,NA,NA,0.0573101043701172,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","rf","single_stage_drml","m1",44.6923602587286,-5.30763974127139,512,NA,NA,NA,NA,NA,NA,NA,NA,3.73257290868275,13932.1005186324,1,1,NA,0,1,37.3766517880405,52.0080687294167,NA,NA,NA,0.194868087768555,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","bart","single_stage_drml","m1",53.695814718419,3.69581471841903,512,NA,NA,NA,NA,NA,NA,NA,NA,3.76675191524639,14188.4199910124,1,1,NA,0,1,46.3131166258388,61.0785128109992,NA,NA,NA,2.33158206939697,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","correct_model","single_stage_drml","m1",51.1607894294669,1.16078942946694,512,NA,NA,NA,NA,NA,NA,NA,NA,3.55756214013963,12656.2483809549,1,1,NA,0,1,44.18809576203,58.1334830969039,NA,NA,NA,0.0106189250946045,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm_interact","single_stage_drml","m1",55.3882285371382,5.38822853713821,512,NA,NA,NA,NA,NA,NA,NA,NA,3.63396962000581,13205.7351991252,1,1,NA,0,1,48.2657789610141,62.5106781132623,NA,NA,NA,0.0104880332946777,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm","single_stage_drml","m1",54.5080375311691,4.50803753116914,512,NA,NA,NA,NA,NA,NA,NA,NA,3.59948178509893,12956.269121259,1,1,NA,0,1,47.4531828693673,61.562892192971,NA,NA,NA,0.0619099140167236,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","rf","single_stage_drml","m1",47.3007333865819,-2.69926661341812,512,NA,NA,NA,NA,NA,NA,NA,NA,3.88437055475772,15088.3346066688,1,1,NA,0,1,39.6875069966489,54.9139597765149,NA,NA,NA,0.195356130599976,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","bart","single_stage_drml","m1",52.2230386826361,2.22303868263612,512,NA,NA,NA,NA,NA,NA,NA,NA,3.64599684551336,13293.2929974934,1,1,NA,0,1,45.0770161776833,59.369061187589,NA,NA,NA,2.29192090034485,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","correct_model","single_stage_drml","m1",51.6103563210943,1.61035632109426,512,NA,NA,NA,NA,NA,NA,NA,NA,3.57972775953896,12814.4508324138,1,1,NA,0,1,44.5942188379396,58.6264938042489,NA,NA,NA,0.0097811222076416,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm_interact","single_stage_drml","m1",52.4990385335945,2.4990385335945,512,NA,NA,NA,NA,NA,NA,NA,NA,3.73870392658317,13977.9070506484,1,1,NA,0,1,45.171313488633,59.826763578556,NA,NA,NA,0.00917696952819824,NA
1000,0.2,0.199999999999999,76.8812679205191,"setting_one","lm","single_stage_drml","m1",53.4812591843507,3.48125918435075,512,NA,NA,NA,NA,NA,NA,NA,NA,3.71603533746517,13808.9186292898,1,1,NA,0,1,46.1979637576409,60.7645546110606,NA,NA,NA,0.0197207927703857,NA
