"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"bart","single_stage","m1",619,50.5608985397663,0.560898539766278,NA,NA,6.5224589955704,-0.115312506500999,50.6762110462673,37.777113817809,63.3446832617235,37.89242632431,63.4599957682245,1,1,0,1,2842.62650966644,2854.17493343353,NA
2,"bart","single_stage","m1",612,49.7265304532539,-0.273469546746114,NA,NA,7.22653473903534,-0.125527908779247,49.8520583620331,35.5627826317171,63.8902782747907,35.6883105404963,64.01580618357,1,1,0,1,5303.16829061508,5319.27329277992,NA
3,"bart","single_stage","m1",603,47.7039036703976,-2.29609632960237,NA,NA,6.53377789806297,1.72543517063697,45.9784684997607,34.8979343072104,60.5098730335849,33.1724991365734,58.7844378629479,1,1,0,1,4087.41988396645,4101.19841551781,NA
4,"bart","single_stage","m1",617,47.2135422382958,-2.78645776170421,NA,NA,6.43776893556027,-0.231393173512302,47.4449354118081,34.5957469838069,59.8313374927847,34.8271401573192,60.062730666297,1,1,0,1,5318.81999492645,5328.45865225792,NA
5,"bart","single_stage","m1",611,43.5245835224062,-6.47541647759377,NA,NA,6.06215023212094,-0.220393197608288,43.7449767200145,31.6429873985781,55.4061796462344,31.8633805961864,55.6265728438427,1,1,0,1,5728.69207549095,5744.87974572182,NA
6,"bart","single_stage","m1",611,45.7579063938533,-4.24209360614672,NA,NA,7.1256593675172,-1.48332549900552,47.2412318928588,31.7918706674191,59.7239421202874,33.2751961664246,61.207267619293,1,1,0,1,4876.99879574776,4886.10993003845,NA
7,"bart","single_stage","m1",611,47.1795046475108,-2.82049535248922,NA,NA,7.00153273606627,-1.82556019584282,49.0050648433536,33.4567526482427,60.9022566467788,35.2823128440855,62.7278168426217,1,1,0,1,5459.05349063873,5469.89640188217,NA
8,"bart","single_stage","m1",613,66.9344855368422,16.9344855368422,NA,NA,7.54515657243368,-3.6945164329224,70.6290019697646,52.1462503971565,81.7227206765279,55.8407668300789,85.4172371094503,0,0,1,1,5137.71957063675,5152.5823237896,NA
9,"bart","single_stage","m1",603,59.2151041968713,9.2151041968713,NA,NA,7.12492434215663,-0.682204213686006,59.8973084105573,45.2505090936716,73.179699300071,45.9327133073576,73.861903513757,1,1,0,1,5387.33872365952,5401.8077878952,NA
10,"bart","single_stage","m1",621,53.0582187319816,3.0582187319816,NA,NA,5.93001159469715,-0.043472200632074,53.1016909326137,41.4356095784703,64.6808278854929,41.4790817791023,64.724300086125,1,1,0,1,5454.21167516708,5461.79639840126,NA
11,"bart","single_stage","m1",610,45.5630186639263,-4.43698133607371,NA,NA,6.42496320308362,2.06789086162173,43.4951278023046,32.9703221838873,58.1557151439653,30.9024313222656,56.0878242823435,1,1,0,1,4887.59986877441,4902.82486414909,NA
12,"bart","single_stage","m1",603,50.80782307338,0.807823073379971,NA,NA,7.57972699747466,-1.09521731799618,51.9030403913762,35.9518311456837,65.6638150010762,37.0470484636799,66.7590323190724,1,1,0,1,4839.59492325783,4862.99576187134,NA
13,"bart","single_stage","m1",598,57.1130638981733,7.11306389817325,NA,NA,6.7916692460876,0.170287735553877,56.9427761626194,43.8016367809333,70.4244910154133,43.6313490453794,70.2542032798594,1,1,0,1,5535.74963355064,5549.04108381271,NA
14,"bart","single_stage","m1",578,49.8086444553416,-0.191355544658407,NA,NA,7.15000328628032,-0.668687314692626,50.4773317700342,35.7948955248891,63.8223933857941,36.4635828395818,64.4910807004867,1,1,0,1,5153.05634379387,5163.60644626617,NA
15,"bart","single_stage","m1",601,47.7399078173018,-2.26009218269822,NA,NA,6.49817008872485,-0.136216123910017,47.8761239412118,35.0037284779856,60.4760871566179,35.1399446018957,60.6123032805279,1,1,0,1,5485.37858986855,5506.82730555534,NA
16,"bart","single_stage","m1",611,59.0979268437612,9.09792684376117,NA,NA,6.63714126663747,0.333644702432395,58.7642821413288,46.0893690008472,72.1064846866751,45.7557242984148,71.7728399842428,1,1,0,1,1544.77297925949,1552.62452983856,NA
17,"bart","single_stage","m1",618,56.2800721296749,6.28007212967491,NA,NA,6.63876528821741,1.28639991838797,54.9936722112869,43.2683312629541,69.2918129963957,41.9819313445661,68.0054130780077,1,1,0,1,4954.81304693222,4968.91350197792,NA
18,"bart","single_stage","m1",615,61.9937277833494,11.9937277833494,NA,NA,7.17296777937981,1.43817085379647,60.5555569295529,47.9349692734987,76.0524862932,46.4967984197022,74.6143154394036,1,1,0,1,5442.97844362259,5455.51251506805,NA
19,"bart","single_stage","m1",611,45.8519449720106,-4.14805502798942,NA,NA,6.64822629467236,-0.0489362226818884,45.9008811946925,32.8216608733806,58.8822290706406,32.8705970960625,58.9311652933225,1,1,0,1,5834.88904547691,5853.20438814163,NA
20,"bart","single_stage","m1",613,51.1288192116208,1.1288192116208,NA,NA,5.94323694190605,2.11560345487392,49.0132157567469,39.480288853897,62.7773495693446,37.3646853990231,60.6617461144707,1,1,0,1,5131.23104143143,5161.28214812279,NA
21,"bart","single_stage","m1",631,48.9288761129903,-1.07112388700968,NA,NA,6.96665189798083,-0.976321858292771,49.9051979712831,35.2744893001203,62.5832629258604,36.2508111584131,63.5595847841531,1,1,0,1,3220.54748463631,3237.77237439156,NA
22,"bart","single_stage","m1",574,46.1147975724386,-3.88520242756139,NA,NA,6.92884128191147,0.798224136881672,45.3165734355569,32.5345182052978,59.6950769395794,31.7362940684161,58.8968528026978,1,1,0,1,5246.03235435486,5262.91707015038,NA
23,"bart","single_stage","m1",593,50.2268151802688,0.226815180268794,NA,NA,6.91820661975906,2.49384201963307,47.7329731606357,36.6673793679345,63.7862509926031,34.1735373483014,61.2924089729701,1,1,0,1,5284.0888543129,5314.56916260719,NA
