"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"lm","single_stage","m1",619,49.9829400801019,-0.0170599198981378,NA,NA,6.80562529787187,-0.369189411163397,50.3521294912653,36.6441596039983,63.3217205562054,37.0133490151617,63.6909099673688,1,1,0,1,1.30883407592773,1.34652209281921,NA
2,"lm","single_stage","m1",612,51.32458034675,1.32458034675004,NA,NA,6.7456209689944,-1.12824154848207,52.4528218952321,38.1034061941629,64.5457544993372,39.2316477426449,65.6739960478193,1,1,0,1,1.21145796775818,1.2432849407196,NA
3,"lm","single_stage","m1",603,48.2478027470483,-1.75219725295167,NA,NA,6.31501810524133,1.21461080628271,47.0331919407656,35.8705946990569,60.6250107950397,34.6559838927742,59.410399988757,1,1,0,1,1.31102800369263,1.3408989906311,NA
4,"lm","single_stage","m1",617,46.546207702486,-3.45379229751395,NA,NA,7.13338275342257,1.17185662564695,45.3743510768391,32.5650344178387,60.5273809871334,31.3931777921917,59.3555243614865,1,1,0,1,1.25978207588196,1.29344010353088,NA
5,"lm","single_stage","m1",611,41.9977860093471,-8.00221399065291,NA,NA,6.64535775825619,-0.0575955292163357,42.0553815385634,28.9731241387811,55.022447879913,29.0307196679975,55.0800434091294,1,1,0,1,1.13494300842285,1.16570615768433,NA
6,"lm","single_stage","m1",611,43.140472985377,-6.85952701462304,NA,NA,7.02646064959197,-0.320852294625283,43.4613252800022,29.3688631733888,56.9120827973651,29.6897154680141,57.2329350919904,1,1,0,1,1.25755000114441,1.28860282897949,NA
7,"lm","single_stage","m1",611,46.6296201572057,-3.37037984279431,NA,NA,7.50129966270905,0.339376329666138,46.2902438275396,31.9273429810535,61.3318973333579,31.5879666513874,60.9925210036917,1,1,0,1,1.05471205711365,1.08929896354675,NA
8,"lm","single_stage","m1",613,65.3718248122568,15.3718248122568,NA,NA,8.14237237530595,0.379628586808408,64.9921962254484,49.4130682079433,81.3305814165703,49.0334396211349,80.9509528297619,1,1,0,1,1.25963616371155,1.29240298271179,NA
9,"lm","single_stage","m1",603,57.0381218446734,7.03812184467336,NA,NA,7.14855246182024,1.51854705283765,55.5195747918357,43.0272164779105,71.0490272114362,41.5086694250729,69.5304801585985,1,1,0,1,1.29509806632996,1.32895612716675,NA
10,"lm","single_stage","m1",621,52.452188454468,2.45218845446795,NA,NA,6.12980872727033,-0.570897544148153,53.0230859986161,40.4379841168988,64.4663927920371,41.008881661047,65.0372903361853,1,1,0,1,1.31006717681885,1.35067892074585,NA
