"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"rf","single_stage","m1",619,41.5418950211893,-8.45810497881067,NA,NA,7.72096283573169,0.0215238959410868,41.5203711252482,26.409085937183,56.6747041051957,26.3875620412419,56.6531802092546,1,1,0,1,449.330458879471,451.2971098423,NA
2,"rf","single_stage","m1",612,41.2135985667043,-8.78640143329565,NA,NA,7.21674797396775,-0.944967511277348,42.1585660779817,27.0690324522252,55.3581646811835,28.0139999635025,56.3031321924609,1,1,0,1,441.940262556076,443.767968177795,NA
3,"rf","single_stage","m1",603,41.6541183466612,-8.34588165333881,NA,NA,7.11788905636795,-2.32205155621373,43.9761699028749,27.7033121502282,55.6049245430942,30.0253637064419,57.9269760993079,1,1,0,1,442.781801939011,444.697324991226,NA
4,"rf","single_stage","m1",617,39.0317267618163,-10.9682732381837,NA,NA,7.76101990476694,0.328109140317665,38.7036176214987,23.8204072651747,54.243046258458,23.492298124857,53.9149371181403,1,1,0,1,450.885582208633,453.073018550873,NA
5,"rf","single_stage","m1",611,35.2238394579905,-14.7761605420095,NA,NA,7.53819277039327,-1.89649029372708,37.1203297517176,20.4492531194995,49.9984257964816,22.3457434132266,51.8949160902086,0,1,1,1,451.783646583557,453.715763092041,NA
6,"rf","single_stage","m1",611,35.5149086677366,-14.4850913322634,NA,NA,7.68315567780669,-1.23611429884722,36.7510229665838,20.456200251621,50.5736170838521,21.6923145504682,51.8097313826993,1,1,0,1,449.255601406097,451.397835493088,NA
7,"rf","single_stage","m1",611,37.8043535174537,-12.1956464825463,NA,NA,7.45808987536235,-0.629210852314003,38.4335643697677,23.1867659682806,52.4219410666267,23.8159768205946,53.0511519189407,1,1,0,1,449.971825361252,451.956115722656,NA
8,"rf","single_stage","m1",613,54.5028023967454,4.50280239674538,NA,NA,9.02579201342364,0.478845228220131,54.0239571685252,36.8125751184858,72.193029675005,36.3337298902657,71.7141844467848,1,1,0,1,450.371907949448,452.375784635544,NA
9,"rf","single_stage","m1",603,50.0049325317053,0.00493253170532171,NA,NA,7.71165286206361,-0.742317789112782,50.7472503208181,34.8903706607854,65.1194944026252,35.6326884498982,65.861812191738,1,1,0,1,442.070064783096,444.135992288589,NA
10,"rf","single_stage","m1",621,45.6192660546874,-4.38073394531259,NA,NA,7.12854170718278,-0.591348866947136,46.2106149216345,31.6475810463175,59.5909510630573,32.2389299132646,60.1822999300045,1,1,0,1,455.089349985123,457.146768093109,NA
11,"rf","single_stage","m1",610,36.0284966784672,-13.9715033215328,NA,NA,7.48456145487724,0.361843538750122,35.6666531397171,21.3590257868311,50.6979675701033,20.997182248081,50.3361240313532,1,1,0,1,449.027392148972,451.087885856628,NA
12,"rf","single_stage","m1",603,40.122837554416,-9.87716244558404,NA,NA,7.74676579798927,-0.406574062911758,40.5294116173277,24.9394555936903,55.3062195151416,25.3460296566021,55.7127935780534,1,1,0,1,442.390798568726,444.435021162033,NA
13,"rf","single_stage","m1",598,45.9597873570347,-4.04021264296532,NA,NA,6.94827367171658,4.33687221719073,41.6229151398439,32.3414212057423,59.578153508327,28.0045489885516,55.2412812911363,1,1,0,1,440.919997215271,443.111850261688,NA
