"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"unadj","single_stage","m1",619,61.7272340278999,11.7272340278999,NA,NA,7.08643194476364,0.144098222966427,61.5831358049334,47.838082637269,75.6163854185307,47.6939844143026,75.4722871955643,1,1,0,1,0.488033056259155,0.488970041275024,NA
2,"unadj","single_stage","m1",612,62.1468029951211,12.1468029951211,NA,NA,7.05682256427414,0.235275169727672,61.9115278253935,48.3156849238542,75.977921066388,48.0804097541266,75.7426458966603,1,1,0,1,0.46763801574707,0.468700885772705,NA
3,"unadj","single_stage","m1",603,55.6719148992402,5.67191489924025,NA,NA,7.12630304032517,0.0786010942676754,55.5933138049726,41.7046175972846,69.6392122011959,41.626016503017,69.5606111069282,1,1,0,1,0.489963054656982,0.491005182266235,NA
4,"unadj","single_stage","m1",617,51.7244074232054,1.72440742320538,NA,NA,7.14102432386673,0.599111122614374,51.125296300591,37.7282569357021,65.7205579107086,37.1291458130877,65.1214467880943,1,1,0,1,0.529307126998901,0.532323837280273,NA
5,"unadj","single_stage","m1",611,52.3040349540363,2.3040349540363,NA,NA,7.21670169861943,-0.345686095160161,52.6497210491965,38.1595595375732,66.4485103704994,38.5052456327333,66.7941964656596,1,1,0,1,0.490817070007324,0.493973970413208,NA
6,"unadj","single_stage","m1",611,54.7237512728974,4.72375127289743,NA,NA,7.55653246084235,-0.246464164219418,54.9702154371168,39.9132198016386,69.5342827441563,40.159683965858,69.7807469083757,1,1,0,1,0.491939067840576,0.492722034454346,NA
7,"unadj","single_stage","m1",611,59.0494213597583,9.04942135975833,NA,NA,7.192344075442,1.13846484446658,57.9109565152917,44.952686007472,73.1461567120447,43.8142211630054,72.0076918675781,1,1,0,1,0.475615978240967,0.476596832275391,NA
8,"unadj","single_stage","m1",613,76.9102999799999,26.9102999799999,NA,NA,7.96332537562902,-0.551507131988686,77.4618071119886,61.3024690465931,92.5181309134067,61.8539761785818,93.0696380453954,0,0,1,1,0.479020833969116,0.479840040206909,NA
9,"unadj","single_stage","m1",603,66.2166878826598,16.2166878826598,NA,NA,7.60305440511909,0.5650719054007,65.651615977259,51.3149750761277,81.1184006891918,50.749903170727,80.5533287837911,0,0,1,1,0.48295783996582,0.484852075576782,NA
10,"unadj","single_stage","m1",621,64.0188198865397,14.0188198865397,NA,NA,6.75590203880752,-0.0705810808499407,64.0894009673897,50.7774952073963,77.2601445656832,50.8480762882462,77.3307256465331,0,0,1,1,0.434638023376465,0.436146974563599,NA
11,"unadj","single_stage","m1",610,52.7805451585632,2.78054515856317,NA,NA,6.94371712845132,0.749012599404139,52.031532559159,39.1711096679647,66.3899806491616,38.4220970685606,65.6409680497575,1,1,0,1,0.456418991088867,0.457255125045776,NA
12,"unadj","single_stage","m1",603,65.6765871006271,15.6765871006271,NA,NA,8.2117712867509,-0.593660430214882,66.270247530842,49.5818111293152,81.771363071939,50.1754715595301,82.3650235021539,1,0,0,1,0.13080906867981,0.131134986877441,NA
13,"unadj","single_stage","m1",598,65.969524753702,15.969524753702,NA,NA,6.49426285113553,1.02752328825699,64.942001465445,53.24100345934,78.6980460480641,52.213480171083,77.6705227598071,0,0,1,1,0.140920877456665,0.141108989715576,NA
14,"unadj","single_stage","m1",578,59.860318360569,9.86031836056904,NA,NA,7.53558660253076,0.196381757137246,59.6639366034318,45.0908400172262,74.6297967039119,44.894458260089,74.4334149467746,1,1,0,1,0.263062953948975,0.263259887695312,NA
15,"unadj","single_stage","m1",601,54.5337092792411,4.53370927924109,NA,NA,6.97338879165457,-0.534643272803443,55.0683525520445,40.8661183974029,68.2013001610793,41.4007616702063,68.7359434338828,1,1,0,1,0.125165939331055,0.125410079956055,NA
16,"unadj","single_stage","m1",611,68.6693278599015,18.6693278599015,NA,NA,7.74174788484579,-0.0538256874507397,68.7231535473522,53.4957808282146,83.8428748915884,53.5496065156654,83.8967005790391,0,0,1,1,0.123433828353882,0.123682022094727,NA
17,"unadj","single_stage","m1",618,67.4259665225152,17.4259665225152,NA,NA,7.39758809477012,-0.143733148135524,67.5696996706507,52.9269602843035,81.9249727607269,53.070693432439,82.0687059088625,0,0,1,1,0.112736940383911,0.113077163696289,NA
18,"unadj","single_stage","m1",615,74.6950353080672,24.6950353080672,NA,NA,7.62566229403158,0.618733475143969,74.0763018329233,59.7490118535003,89.6410587626342,59.1302783783563,89.0223252874903,0,0,1,1,0.137984037399292,0.138207197189331,NA
19,"unadj","single_stage","m1",611,51.8393170317323,1.83931703173235,NA,NA,6.68040389585355,-0.103178569742894,51.9424956014752,38.7459659936783,64.9326680697864,38.8491445634212,65.0358466395293,1,1,0,1,0.14340615272522,0.143589019775391,NA
20,"unadj","single_stage","m1",613,60.9469575739973,10.9469575739973,NA,NA,6.66336934471052,-0.576439650306483,61.5233972243038,47.8869936426765,74.0069215053182,48.4634332929829,74.5833611556247,1,1,0,1,0.134229898452759,0.134666919708252,NA
21,"unadj","single_stage","m1",631,54.7939885576879,4.79398855768792,NA,NA,7.56546366274698,-0.312785544207792,55.1067741018957,39.9659522523574,69.6220248630185,40.2787377965652,69.9348104072263,1,1,0,1,0.147588968276978,0.148009061813354,NA
22,"unadj","single_stage","m1",574,57.5383774621602,7.53837746216024,NA,NA,7.43225262465245,0.18864397728516,57.3497334848751,42.9714299938382,72.1053249304823,42.782786016553,71.9166809531972,1,1,0,1,0.128779172897339,0.129022121429443,NA
23,"unadj","single_stage","m1",593,58.5054920459832,8.50549204598323,NA,NA,7.61852477302949,0.609933323236589,57.8955587227466,43.5734578755192,73.4375262164472,42.9635245522827,72.8275928932106,1,1,0,1,0.274091005325317,0.274263858795166,NA
24,"unadj","single_stage","m1",595,50.188098523297,0.188098523297043,NA,NA,7.03347421730392,-0.923176123509698,51.1112746468067,36.4027423711903,63.9734546754038,37.3259184947,64.8966307989135,1,1,0,1,0.117808103561401,0.117993116378784,NA
25,"unadj","single_stage","m1",617,50.8019924723916,0.801992472391646,NA,NA,7.15505016223825,0.661043797099495,50.1409486752922,36.7783518468272,64.8256330979561,36.1173080497277,64.1645893008566,1,1,0,1,0.110939025878906,0.111136198043823,NA
26,"unadj","single_stage","m1",616,65.4323954472307,15.4323954472307,NA,NA,7.61247410410541,-0.181088953536801,65.6134844007675,50.5122203699403,80.3525705245211,50.6933093234771,80.5336594780579,0,0,1,1,0.102346181869507,0.102526903152466,NA
27,"unadj","single_stage","m1",613,51.7677683293894,1.76776832938941,NA,NA,7.12577895236354,-0.466715282092537,52.234483611482,37.8014982209633,65.7340384378155,38.2682135030558,66.200753719908,1,1,0,1,0.124355792999268,0.124541997909546,NA
28,"unadj","single_stage","m1",607,60.1992334757477,10.1992334757477,NA,NA,7.63486141140003,0.277915974399654,59.9213175013481,45.235180082449,75.1632868690464,44.9572641080494,74.8853708946468,1,1,0,1,0.119638919830322,0.119997978210449,NA
29,"unadj","single_stage","m1",630,57.5147009146869,7.5147009146869,NA,NA,7.30643172760821,0.407470805338818,57.1072301093481,43.194357873074,71.8350439562998,42.7868870677352,71.4275731509609,1,1,0,1,0.106897115707397,0.107270002365112,NA
30,"unadj","single_stage","m1",608,59.3585575951533,9.35855759515326,NA,NA,6.96760777405148,-0.203903886921324,59.5624614820746,45.7022972996111,73.0148178906954,45.9062011865324,73.2187217776168,1,1,0,1,0.129227876663208,0.129400968551636,NA
31,"unadj","single_stage","m1",594,57.0368262761886,7.03682627618863,NA,NA,7.28237051820781,-0.0307827393341995,57.0676090155228,42.763642338425,71.3100102139522,42.7944250777592,71.3407929532864,1,1,0,1,0.284888029098511,0.285091876983643,NA
32,"unadj","single_stage","m1",623,60.2356708191412,10.2356708191412,NA,NA,6.53976545373105,-0.548951634073909,60.7846224532151,47.4179660624891,73.0533755757933,47.966917696563,73.6023272098672,1,1,0,1,0.103619813919067,0.104060173034668,NA
33,"unadj","single_stage","m1",609,63.3234900349311,13.3234900349311,NA,NA,7.38808031840923,-0.13693459136109,63.4604246262922,48.8431186959598,77.8038613739024,48.9800532873209,77.9407959652635,1,1,0,1,0.145618915557861,0.145784854888916,NA
34,"unadj","single_stage","m1",585,54.5617217062101,4.56172170621011,NA,NA,6.5976328406429,0.0493830490786351,54.5123386571315,41.6305989553313,67.4928444570889,41.5812159062527,67.4434614080102,1,1,0,1,0.133142948150635,0.133327007293701,NA
35,"unadj","single_stage","m1",628,63.8375082398604,13.8375082398604,NA,NA,8.27443574901928,0.59855314762568,63.2389550922347,47.6199121793919,80.0551043003288,47.0213590317662,79.4565511527032,1,1,0,1,0.111823081970215,0.112037181854248,NA
36,"unadj","single_stage","m1",602,64.7767836433257,14.7767836433257,NA,NA,7.28317528214515,0.542501184149899,64.2342824591758,50.5020223972289,79.0515448894226,49.959521213079,78.5090437052727,0,1,1,1,0.129395961761475,0.129592895507812,NA
37,"unadj","single_stage","m1",611,75.2890905986682,25.2890905986682,NA,NA,7.37915855135228,-0.350824036209005,75.6399146348772,60.826205601807,89.7519755955294,61.177029638016,90.1027996317384,0,0,1,1,0.132945775985718,0.133136987686157,NA
38,"unadj","single_stage","m1",568,56.9740870664798,6.97408706647983,NA,NA,7.12884752618455,-0.0357368588804192,57.0098239253602,43.0018026638807,70.946371469079,43.0375395227611,70.9821083279594,1,1,0,1,0.10976505279541,0.109941005706787,NA
