"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"xgboost","single_stage","m1",619,38.4419227142334,-11.5580772857666,NA,NA,8.86709684102807,2.86277413027191,35.5791485839615,21.0627322583895,55.8211131700773,18.1999581281176,52.9583390398054,1,1,0,1,1499.35967612267,1502.6162955761,NA
10,"xgboost","single_stage","m1",621,49.8810358543396,-0.118964145660399,NA,NA,8.1398004579083,-1.41758631147814,51.2986221658177,33.9273201154967,65.8347515931825,35.3449064269748,67.2523379046606,1,1,0,1,1391.41679048538,1393.92216253281,NA
100,"xgboost","single_stage","m1",601,59.1234589221477,9.12345892214775,NA,NA,8.54142020135587,-6.76727267928815,65.8907316014359,42.3825829506674,75.8643348936281,49.1498556299556,82.6316075729163,1,1,0,1,1297.11401724815,1303.90974473953,NA
101,"xgboost","single_stage","m1",615,56.3731942138672,6.37319421386719,NA,NA,9.26564285820511,-6.00999186859858,62.3831860824658,38.2128679181744,74.53352050956,44.222859786773,80.5435123781585,1,1,0,1,2354.76689147949,2363.37167215347,NA
102,"xgboost","single_stage","m1",594,44.2410052261353,-5.75899477386475,NA,NA,8.62240046825748,-2.12984181576859,46.3708470419038,27.3414108480693,61.1405996042012,29.4712526638379,63.2704414199698,1,1,0,1,1352.09116625786,1356.5229074955,NA
103,"xgboost","single_stage","m1",621,47.7177683792114,-2.28223162078857,NA,NA,8.53922380533525,-4.44052703287077,52.1582954120822,30.9811972648273,64.4543394935956,35.421724297698,68.8948665264663,1,1,0,1,2358.16785502434,2367.52189040184,NA
104,"xgboost","single_stage","m1",613,34.4387697601318,-15.5612302398682,NA,NA,7.02850624824892,-0.3467032651658,34.7854730252976,20.6631506484492,48.2143888718145,21.009853913615,48.5610921369803,0,0,1,1,1327.99697446823,1331.93885016441,NA
105,"xgboost","single_stage","m1",610,42.9942874565125,-7.00571254348755,NA,NA,8.05691185204587,-0.704556340573816,43.6988437970863,27.2030303998886,58.7855445131363,27.9075867404625,59.4901008537101,1,1,0,1,2354.21213102341,2362.78077244759,NA
106,"xgboost","single_stage","m1",628,34.4428761634827,-15.5571238365173,NA,NA,8.86065601122312,2.09031611962462,32.352560043858,17.076309502087,51.8094428248783,14.9859933824624,49.7191267052537,1,0,0,1,1276.08399629593,1280.57380723953,NA
107,"xgboost","single_stage","m1",613,39.5966300964355,-10.4033699035645,NA,NA,9.10231970797496,-1.42401120742369,41.0206413038592,21.7564112930355,57.4368488998356,23.1804225004592,58.8608601072593,1,1,0,1,2359.89982056618,2368.77163076401,NA
