"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"bart","single_stage_drml_bc","m1",619,89.6781692382671,39.6781692382671,1593821.96181571,39.9226998312453,NA,NA,NA,11.4311154034231,167.925223073111,NA,NA,1,NA,0,1,NA,4.52957057952881,NA
2,"bart","single_stage_drml_bc","m1",612,45.7772008828772,-4.2227991171228,56231.3072187416,7.49875371103369,NA,NA,NA,31.0799136803151,60.4744880854393,NA,NA,1,NA,0,1,NA,4.40379452705383,NA
3,"bart","single_stage_drml_bc","m1",603,55.206638348215,5.20663834821502,48945.8384300876,6.99613024679269,NA,NA,NA,41.49447503335,68.91880166308,NA,NA,1,NA,0,1,NA,4.45107316970825,NA
4,"bart","single_stage_drml_bc","m1",617,48.7894671950265,-1.21053280497346,45884.8626104305,6.77383662413189,NA,NA,NA,35.5129913745697,62.0659430154834,NA,NA,1,NA,0,1,NA,4.46388363838196,NA
5,"bart","single_stage_drml_bc","m1",611,47.4115079509941,-2.58849204900588,60210.6148725416,7.75954991430183,NA,NA,NA,32.2030695827217,62.6199463192666,NA,NA,1,NA,0,1,NA,4.53324627876282,NA
6,"bart","single_stage_drml_bc","m1",611,51.8578916938136,1.85789169381356,66770.2407212742,8.17130593731958,NA,NA,NA,35.8424263500089,67.8733570376182,NA,NA,1,NA,0,1,NA,4.59835529327393,NA
7,"bart","single_stage_drml_bc","m1",611,44.6129048546003,-5.38709514539968,52594.8404404735,7.25223003223653,NA,NA,NA,30.398795183817,58.8270145253837,NA,NA,1,NA,0,1,NA,4.59651517868042,NA
8,"bart","single_stage_drml_bc","m1",613,67.1708317797041,17.1708317797041,62502.0448041012,7.90582347412976,NA,NA,NA,51.6757025022785,82.6659610571298,NA,NA,0,NA,1,1,NA,4.47387290000916,NA
9,"bart","single_stage_drml_bc","m1",603,57.281060768061,7.28106076806102,63871.0776418898,7.99193829067078,NA,NA,NA,41.6171495516797,72.9449719844423,NA,NA,1,NA,0,1,NA,4.5881621837616,NA
10,"bart","single_stage_drml_bc","m1",621,52.4569713317586,2.45697133175862,47048.6611119476,6.85920265861475,NA,NA,NA,39.0131811582123,65.9007615053049,NA,NA,1,NA,0,1,NA,4.83588433265686,NA
11,"bart","single_stage_drml_bc","m1",610,51.6985473652279,1.69854736522792,49821.1155266454,7.0584074355796,NA,NA,NA,37.8643230032822,65.5327717271737,NA,NA,1,NA,0,1,NA,4.80757641792297,NA
12,"bart","single_stage_drml_bc","m1",603,52.560782195958,2.56078219595801,67854.0578058585,8.23735745283999,NA,NA,NA,36.415858260609,68.705706131307,NA,NA,1,NA,0,1,NA,5.11025643348694,NA
13,"bart","single_stage_drml_bc","m1",598,61.6264493616832,11.6264493616832,90958.1841823394,9.53720001794759,NA,NA,NA,42.9338808131512,80.3190179102153,NA,NA,1,NA,0,1,NA,4.8485860824585,NA
14,"bart","single_stage_drml_bc","m1",578,42.0496722712224,-7.95032772877759,103522.281054133,10.1745899698284,NA,NA,NA,22.1078423728963,61.9915021695485,NA,NA,1,NA,0,1,NA,5.00710678100586,NA
15,"bart","single_stage_drml_bc","m1",601,48.6706935265809,-1.32930647341912,42359.851505379,6.5084446302768,NA,NA,NA,35.9143764558652,61.4270105972965,NA,NA,1,NA,0,1,NA,4.98223948478699,NA
16,"bart","single_stage_drml_bc","m1",611,59.1367776858428,9.13677768584279,60154.3602056247,7.75592420061109,NA,NA,NA,43.9354455858225,74.3381097858631,NA,NA,1,NA,0,1,NA,5.00478029251099,NA
17,"bart","single_stage_drml_bc","m1",618,59.5942127444737,9.59421274447371,50487.3368074136,7.10544416679306,NA,NA,NA,45.6677980833991,73.5206274055483,NA,NA,1,NA,0,1,NA,5.0230975151062,NA
18,"bart","single_stage_drml_bc","m1",615,74.1793058787464,24.1793058787464,108793.199259695,10.4303978476228,NA,NA,NA,53.7361017529815,94.6225100045113,NA,NA,0,NA,1,1,NA,4.97652864456177,NA
19,"bart","single_stage_drml_bc","m1",611,48.0870501910001,-1.91294980899986,58562.7432614804,7.65262982650281,NA,NA,NA,33.0881713440376,63.0859290379626,NA,NA,1,NA,0,1,NA,3.90242171287537,NA
20,"bart","single_stage_drml_bc","m1",613,53.0899036134658,3.08990361346575,45977.7920565703,6.78069259416546,NA,NA,NA,39.799990338664,66.3798168882675,NA,NA,1,NA,0,1,NA,3.92912650108337,NA
21,"bart","single_stage_drml_bc","m1",631,54.3779342367982,4.37793423679823,62596.7030227518,7.91180782266302,NA,NA,NA,38.8710758517764,69.88479262182,NA,NA,1,NA,0,1,NA,4.09268355369568,NA
22,"bart","single_stage_drml_bc","m1",574,51.3767748922142,1.3767748922142,54177.0832499566,7.36050835540295,NA,NA,NA,36.9504436077183,65.8031061767101,NA,NA,1,NA,0,1,NA,4.08337640762329,NA
23,"bart","single_stage_drml_bc","m1",593,51.5330517099597,1.53305170995968,52433.5749603362,7.24110315907295,NA,NA,NA,37.3407503098375,65.7253531100819,NA,NA,1,NA,0,1,NA,4.1015613079071,NA
24,"bart","single_stage_drml_bc","m1",595,54.9589321202454,4.95893212024544,113123.966004698,10.6359750848099,NA,NA,NA,34.1128040135526,75.8050602269383,NA,NA,1,NA,0,1,NA,4.13950228691101,NA
25,"bart","single_stage_drml_bc","m1",617,40.633740893859,-9.36625910614101,46371.6904091339,6.80967623379657,NA,NA,NA,27.2870207292394,53.9804610584786,NA,NA,1,NA,0,1,NA,4.14073824882507,NA
26,"bart","single_stage_drml_bc","m1",616,52.9739774390594,2.97397743905944,57632.1553251558,7.59158450688365,NA,NA,NA,38.0947452199752,67.8532096581437,NA,NA,1,NA,0,1,NA,4.17417669296265,NA
27,"bart","single_stage_drml_bc","m1",613,42.3328290616125,-7.66717093838752,50839.6618854952,7.13019367797924,NA,NA,NA,28.357906249978,56.307751873247,NA,NA,1,NA,0,1,NA,4.11157059669495,NA
28,"bart","single_stage_drml_bc","m1",607,48.3359615295847,-1.66403847041531,92849.847494487,9.63586257137818,NA,NA,NA,29.4500179297059,67.2219051294634,NA,NA,1,NA,0,1,NA,3.91004014015198,NA
