"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"lm","single_stage_drml_bc","m1",619,-7.82396722210004,-57.8239672221,3362829.36325158,57.9899074257891,NA,NA,NA,-121.482097243458,105.834162799258,NA,NA,1,NA,0,0,NA,0.243500709533691,NA
2,"lm","single_stage_drml_bc","m1",612,46.3342973279064,-3.6657026720936,48408.2361822324,6.95760276116942,NA,NA,NA,32.6976464972779,59.9709481585349,NA,NA,1,NA,0,1,NA,0.232446193695068,NA
3,"lm","single_stage_drml_bc","m1",603,53.6769235927581,3.67692359275811,53954.6683507685,7.34538415270219,NA,NA,NA,39.2802352008506,68.0736119846657,NA,NA,1,NA,0,1,NA,0.221200704574585,NA
4,"lm","single_stage_drml_bc","m1",617,48.7567038917273,-1.24329610827265,47723.0035308157,6.90818380841272,NA,NA,NA,35.2169124286557,62.296495354799,NA,NA,1,NA,0,1,NA,0.210044384002686,NA
5,"lm","single_stage_drml_bc","m1",611,43.174159343204,-6.82584065679598,50201.7588428591,7.08531995345723,NA,NA,NA,29.2871874154849,57.0611312709232,NA,NA,1,NA,0,1,NA,0.212907791137695,NA
6,"lm","single_stage_drml_bc","m1",611,42.2577187452267,-7.74228125477331,54168.0183763136,7.35989255195438,NA,NA,NA,27.8325944133115,56.6828430771419,NA,NA,1,NA,0,1,NA,0.21346640586853,NA
7,"lm","single_stage_drml_bc","m1",611,48.0336140691249,-1.96638593087513,54794.8026163755,7.40235115462483,NA,NA,NA,33.5252724051417,62.541955733108,NA,NA,1,NA,0,1,NA,0.213664770126343,NA
8,"lm","single_stage_drml_bc","m1",613,65.8041152807214,15.8041152807214,61805.9995678408,7.86167918245465,NA,NA,NA,50.395507225102,81.2127233363408,NA,NA,0,NA,1,1,NA,0.211792469024658,NA
9,"lm","single_stage_drml_bc","m1",603,57.0676328480186,7.06763284801863,56891.4247757829,7.54264043792245,NA,NA,NA,42.2843292413552,71.850936454682,NA,NA,1,NA,0,1,NA,0.213120460510254,NA
10,"lm","single_stage_drml_bc","m1",621,48.3210252144226,-1.67897478557739,57493.1710614489,7.58242514380781,NA,NA,NA,33.4597450170884,63.1823054117569,NA,NA,1,NA,0,1,NA,0.063201904296875,NA
11,"lm","single_stage_drml_bc","m1",610,47.4578763597579,-2.54212364024205,45905.3607406173,6.77534949213819,NA,NA,NA,34.1784353724953,60.7373173470206,NA,NA,1,NA,0,1,NA,0.0634274482727051,NA
12,"lm","single_stage_drml_bc","m1",603,48.78545127957,-1.21454872042999,63532.5089805211,7.97072825910664,NA,NA,NA,33.1631109611654,64.4077915979747,NA,NA,1,NA,0,1,NA,0.0628960132598877,NA
13,"lm","single_stage_drml_bc","m1",598,55.3906417439851,5.39064174398507,51758.0625474237,7.19430764892798,NA,NA,NA,41.2900578583852,69.4912256295849,NA,NA,1,NA,0,1,NA,0.0628941059112549,NA
14,"lm","single_stage_drml_bc","m1",578,44.3186572458646,-5.6813427541354,90212.9074188234,9.49804755825235,NA,NA,NA,25.7028261082414,62.9344883834878,NA,NA,1,NA,0,1,NA,0.0616843700408936,NA
15,"lm","single_stage_drml_bc","m1",601,45.6576607437342,-4.34233925626578,45608.7302211764,6.75342359260667,NA,NA,NA,32.421193729882,58.8941277575864,NA,NA,1,NA,0,1,NA,0.0625174045562744,NA
16,"lm","single_stage_drml_bc","m1",611,49.6013346062977,-0.39866539370226,57222.2733434528,7.56454052427858,NA,NA,NA,34.775107619118,64.4275615934775,NA,NA,1,NA,0,1,NA,0.062546968460083,NA
17,"lm","single_stage_drml_bc","m1",618,59.5515949333849,9.55159493338493,49775.8289446259,7.05519871758591,NA,NA,NA,45.7236595431434,73.3795303236265,NA,NA,1,NA,0,1,NA,0.0625450611114502,NA
18,"lm","single_stage_drml_bc","m1",615,65.0640105809167,15.0640105809167,65554.782723471,8.09659080869665,NA,NA,NA,49.1949841983133,80.9330369635202,NA,NA,1,NA,0,1,NA,0.0622396469116211,NA
19,"lm","single_stage_drml_bc","m1",611,51.3692143585221,1.36921435852206,60974.1583249309,7.80859515693642,NA,NA,NA,36.0646490810728,66.6737796359713,NA,NA,1,NA,0,1,NA,0.068300724029541,NA
20,"lm","single_stage_drml_bc","m1",613,46.8191330997418,-3.18086690025822,43732.0666579512,6.61302250547745,NA,NA,NA,33.8578471600532,59.7804190394304,NA,NA,1,NA,0,1,NA,0.0685899257659912,NA
21,"lm","single_stage_drml_bc","m1",631,55.3731358552017,5.3731358552017,83800.3822967468,9.15425487392321,NA,NA,NA,37.431125997012,73.3151457133914,NA,NA,1,NA,0,1,NA,0.070392370223999,NA
22,"lm","single_stage_drml_bc","m1",574,53.7032773969056,3.70327739690556,53293.1974995959,7.30021900353653,NA,NA,NA,39.3951110707191,68.011443723092,NA,NA,1,NA,0,1,NA,0.0703334808349609,NA
23,"lm","single_stage_drml_bc","m1",593,50.5635901150961,0.563590115096083,53119.7871123239,7.28833225863942,NA,NA,NA,36.2787213808014,64.8484588493908,NA,NA,1,NA,0,1,NA,0.0686476230621338,NA
24,"lm","single_stage_drml_bc","m1",595,44.68317281587,-5.31682718412997,46604.225569805,6.82672876052689,NA,NA,NA,31.3030303130136,58.0633153187265,NA,NA,1,NA,0,1,NA,0.0706710815429688,NA
25,"lm","single_stage_drml_bc","m1",617,37.1731333744753,-12.8268666255247,49633.6082595648,7.04511236670962,NA,NA,NA,23.3649668686867,50.9812998802639,NA,NA,1,NA,0,1,NA,0.0693454742431641,NA
26,"lm","single_stage_drml_bc","m1",616,54.9858041159678,4.98580411596775,59879.7822160629,7.73820277687674,NA,NA,NA,39.8192053682215,70.152402863714,NA,NA,1,NA,0,1,NA,0.0681905746459961,NA
27,"lm","single_stage_drml_bc","m1",613,38.4095176888747,-11.5904823111253,47492.6455175798,6.89149080515818,NA,NA,NA,24.9024439109757,51.9165914667737,NA,NA,1,NA,0,1,NA,0.0678176879882812,NA
28,"lm","single_stage_drml_bc","m1",607,33.4988148287803,-16.5011851712197,196027.498098834,14.0009820405154,NA,NA,NA,6.05739428117802,60.9402353763825,NA,NA,1,NA,0,1,NA,0.0703690052032471,NA
29,"lm","single_stage_drml_bc","m1",630,44.4965881339463,-5.50341186605369,61539.1172947165,7.84468720184027,NA,NA,NA,29.1212837483571,59.8718925195355,NA,NA,1,NA,0,1,NA,0.0729610919952393,NA
30,"lm","single_stage_drml_bc","m1",608,55.3650492908717,5.36504929087174,48192.6239112627,6.94209074496025,NA,NA,NA,41.7588014533408,68.9712971284027,NA,NA,1,NA,0,1,NA,0.0698311328887939,NA
31,"lm","single_stage_drml_bc","m1",594,38.3518202395798,-11.6481797604202,63785.6108629012,7.98658943873423,NA,NA,NA,22.6983925803527,54.0052478988068,NA,NA,1,NA,0,1,NA,0.0701558589935303,NA
32,"lm","single_stage_drml_bc","m1",623,43.7765810607869,-6.22341893921307,51853.6748457739,7.2009495794495,NA,NA,NA,29.6629792305771,57.8901828909968,NA,NA,1,NA,0,1,NA,0.0723559856414795,NA
33,"lm","single_stage_drml_bc","m1",609,58.4770674703349,8.47706747033487,61681.0714714754,7.85372978090508,NA,NA,NA,43.0840399554513,73.8700949852185,NA,NA,1,NA,0,1,NA,0.07218337059021,NA
34,"lm","single_stage_drml_bc","m1",585,-5.69551795651286,-55.6955179565129,2701454.82882405,51.9755214386932,NA,NA,NA,-107.565668054041,96.1746321410152,NA,NA,1,NA,0,0,NA,0.0727040767669678,NA
35,"lm","single_stage_drml_bc","m1",628,57.7888047284096,7.78880472840963,56988.1561273005,7.54905001488932,NA,NA,NA,42.992938581735,72.5846708750843,NA,NA,1,NA,0,1,NA,0.074000358581543,NA
36,"lm","single_stage_drml_bc","m1",602,39.4747941339947,-10.5252058660053,186318.32076629,13.6498469136577,NA,NA,NA,12.7215857887404,66.2280024792489,NA,NA,1,NA,0,1,NA,0.0773563385009766,NA
37,"lm","single_stage_drml_bc","m1",611,67.5914520314656,17.5914520314656,76583.0134065348,8.75117211615306,NA,NA,NA,50.4394698612945,84.7434342016368,NA,NA,0,NA,1,1,NA,0.0645925998687744,NA
38,"lm","single_stage_drml_bc","m1",568,27.3945533754258,-22.6054466245742,575997.000613518,23.9999375127003,NA,NA,NA,-19.6444597806785,74.4335665315302,NA,NA,1,NA,0,0,NA,0.0599906444549561,NA
39,"lm","single_stage_drml_bc","m1",620,33.6554346661195,-16.3445653338805,65248.3667612009,8.07764611512543,NA,NA,NA,17.8235392006138,49.4873301316252,NA,NA,0,NA,1,1,NA,0.0645585060119629,NA
40,"lm","single_stage_drml_bc","m1",581,55.5880230128416,5.58802301284162,50498.2769686089,7.10621396867621,NA,NA,NA,41.6600995678008,69.5159464578824,NA,NA,1,NA,0,1,NA,0.0623779296875,NA
41,"lm","single_stage_drml_bc","m1",599,65.3524350426544,15.3524350426544,74246.1340970468,8.61661964444566,NA,NA,NA,48.4641708710606,82.2406992142483,NA,NA,1,NA,0,1,NA,0.059791088104248,NA
42,"lm","single_stage_drml_bc","m1",612,51.4192638615599,1.41926386155991,51211.4021303787,7.15621423172746,NA,NA,NA,37.3933417017211,65.4451860213987,NA,NA,1,NA,0,1,NA,0.0596334934234619,NA
43,"lm","single_stage_drml_bc","m1",594,63.1703871463537,13.1703871463537,80150.5942610618,8.95268642704869,NA,NA,NA,45.6234441844577,80.7173301082497,NA,NA,1,NA,0,1,NA,0.0594882965087891,NA
