"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"rf","single_stage_drml_bc","m1",619,57.6521311256824,7.65213112568242,117404.371871204,10.8353297998355,NA,NA,NA,36.4152749573912,78.8889872939737,NA,NA,1,NA,0,1,NA,0.730857610702515,NA
2,"rf","single_stage_drml_bc","m1",612,49.1543958026683,-0.845604197331717,107341.586458397,10.3605784808763,NA,NA,NA,28.84803512115,69.4607564841865,NA,NA,1,NA,0,1,NA,0.733464479446411,NA
3,"rf","single_stage_drml_bc","m1",603,52.2576440307333,2.25764403073331,67295.9557842653,8.20341122852349,NA,NA,NA,36.1792534724558,68.3360345890108,NA,NA,1,NA,0,1,NA,0.703118562698364,NA
4,"rf","single_stage_drml_bc","m1",617,49.9839045148151,-0.0160954851849198,48215.7958243656,6.94375948779662,NA,NA,NA,36.3743860014254,63.5934230282047,NA,NA,1,NA,0,1,NA,0.65204381942749,NA
5,"rf","single_stage_drml_bc","m1",611,49.1403195624333,-0.859680437566738,48479.54482208,6.96272538752463,NA,NA,NA,35.4936285686423,62.7870105562242,NA,NA,1,NA,0,1,NA,0.630311727523804,NA
6,"rf","single_stage_drml_bc","m1",611,58.2953656028566,8.29536560285661,111040.562931268,10.5375786085451,NA,NA,NA,37.6420910458485,78.9486401598647,NA,NA,1,NA,0,1,NA,0.655895471572876,NA
7,"rf","single_stage_drml_bc","m1",611,51.8075781741005,1.80757817410051,53661.3804720892,7.32539285445424,NA,NA,NA,37.4500720067631,66.1650843414379,NA,NA,1,NA,0,1,NA,0.659484148025513,NA
8,"rf","single_stage_drml_bc","m1",613,70.4248509471813,20.4248509471813,68505.6692331992,8.27681516244015,NA,NA,NA,54.2025913221036,86.6471105722591,NA,NA,0,NA,1,1,NA,0.648516416549683,NA
9,"rf","single_stage_drml_bc","m1",603,57.4519952573229,7.45199525732294,65656.6550459272,8.10287942930951,NA,NA,NA,41.5706434048058,73.33334710984,NA,NA,1,NA,0,1,NA,0.658629655838013,NA
10,"rf","single_stage_drml_bc","m1",621,56.2019248922351,6.20192489223514,50442.5332262277,7.10229070274004,NA,NA,NA,42.281690907131,70.1221588773393,NA,NA,1,NA,0,1,NA,0.677353620529175,NA
11,"rf","single_stage_drml_bc","m1",610,65.4601258895648,15.4601258895648,76898.6268077338,8.76918621125893,NA,NA,NA,48.272836741772,82.6474150373575,NA,NA,1,NA,0,1,NA,0.663992643356323,NA
12,"rf","single_stage_drml_bc","m1",603,49.9598446268819,-0.0401553731180968,62694.25684094,7.9179705001307,NA,NA,NA,34.4409076159751,65.4787816377887,NA,NA,1,NA,0,1,NA,0.599254846572876,NA
13,"rf","single_stage_drml_bc","m1",598,60.4263310284736,10.4263310284736,65074.6314851926,8.06688486872055,NA,NA,NA,44.6155272183502,76.237134838597,NA,NA,1,NA,0,1,NA,0.564175605773926,NA
