"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"super","single_stage_drml_bc","m1",619,5.84064063544488,-44.1593593645551,1747958.79945124,41.8085971954482,NA,NA,NA,-76.1027041117759,87.7839853826656,NA,NA,1,NA,0,0,NA,20.4318141937256,NA
2,"super","single_stage_drml_bc","m1",612,42.5899979329418,-7.41000206705822,71895.9031162363,8.4791451878262,NA,NA,NA,25.9711787451163,59.2088171207672,NA,NA,1,NA,0,1,NA,21.7836167812347,NA
3,"super","single_stage_drml_bc","m1",603,51.8689582767026,1.86895827670261,53841.5375567148,7.33767930320717,NA,NA,NA,37.4873711123116,66.2505454410936,NA,NA,1,NA,0,1,NA,23.5490565299988,NA
4,"super","single_stage_drml_bc","m1",617,46.3353040122601,-3.66469598773995,45014.6482760702,6.7092956616973,NA,NA,NA,33.1853261537025,59.4852818708176,NA,NA,1,NA,0,1,NA,17.470244884491,NA
5,"super","single_stage_drml_bc","m1",611,46.2109307330771,-3.78906926692287,56283.265101596,7.50221734566495,NA,NA,NA,31.5068549313822,60.9150065347721,NA,NA,1,NA,0,1,NA,16.6247169971466,NA
6,"super","single_stage_drml_bc","m1",611,44.632765664423,-5.36723433557705,65121.3823476221,8.0697820508129,NA,NA,NA,28.8162834817419,60.449247847104,NA,NA,1,NA,0,1,NA,17.3690130710602,NA
7,"super","single_stage_drml_bc","m1",611,48.9196241857359,-1.08037581426407,68019.6681902557,8.24740372421865,NA,NA,NA,32.7550099203059,65.084238451166,NA,NA,1,NA,0,1,NA,16.8107268810272,NA
8,"super","single_stage_drml_bc","m1",613,66.564073053974,16.564073053974,63286.0778721344,7.9552547333278,NA,NA,NA,50.9720602888098,82.1560858191383,NA,NA,0,NA,1,1,NA,17.2397630214691,NA
9,"super","single_stage_drml_bc","m1",603,56.3617526864253,6.36175268642535,56919.0269925934,7.54446996101074,NA,NA,NA,41.5748632804,71.1486420924507,NA,NA,1,NA,0,1,NA,21.1498513221741,NA
10,"super","single_stage_drml_bc","m1",621,53.485091662882,3.48509166288201,47011.3480470177,6.8564821918399,NA,NA,NA,40.0466335062356,66.9235498195285,NA,NA,1,NA,0,1,NA,18.0217924118042,NA
11,"super","single_stage_drml_bc","m1",610,46.7344024233813,-3.2655975766187,44549.0049232646,6.67450409568116,NA,NA,NA,33.6526147811811,59.8161900655815,NA,NA,1,NA,0,1,NA,25.2829177379608,NA
12,"super","single_stage_drml_bc","m1",603,48.0270195999753,-1.9729804000247,66294.2822704274,8.14213008189058,NA,NA,NA,32.0687378820296,63.985301317921,NA,NA,1,NA,0,1,NA,24.0268185138702,NA
13,"super","single_stage_drml_bc","m1",598,52.3437840701114,2.34378407011142,76293.5203534486,8.73461621099912,NA,NA,NA,35.2242508777734,69.4633172624494,NA,NA,1,NA,0,1,NA,17.9340538978577,NA
14,"super","single_stage_drml_bc","m1",578,37.4069486251994,-12.5930513748006,139228.035250998,11.7994930082185,NA,NA,NA,14.2803672932589,60.5335299571399,NA,NA,1,NA,0,1,NA,17.2668120861053,NA
15,"super","single_stage_drml_bc","m1",601,46.8790333992617,-3.12096660073829,46309.8564299727,6.80513456369326,NA,NA,NA,33.5412147444742,60.2168520540492,NA,NA,1,NA,0,1,NA,18.2099936008453,NA
16,"super","single_stage_drml_bc","m1",611,55.6109112909967,5.61091129099668,53454.495136244,7.31125810898808,NA,NA,NA,41.2811087157036,69.9407138662897,NA,NA,1,NA,0,1,NA,17.8007400035858,NA
17,"super","single_stage_drml_bc","m1",618,59.6171190703398,9.61711907033985,56124.4818094078,7.49162744731796,NA,NA,NA,44.9337990880049,74.3004390526748,NA,NA,1,NA,0,1,NA,19.1379044055939,NA
18,"super","single_stage_drml_bc","m1",615,65.6285588116497,15.6285588116497,68977.3760765447,8.30526195110935,NA,NA,NA,49.3505445053045,81.9065731179949,NA,NA,1,NA,0,1,NA,20.7604024410248,NA
19,"super","single_stage_drml_bc","m1",611,52.2702086705302,2.27020867053018,53420.312437966,7.30892005962344,NA,NA,NA,37.9449885877859,66.5954287532745,NA,NA,1,NA,0,1,NA,16.9908032417297,NA
20,"super","single_stage_drml_bc","m1",613,52.796074529295,2.79607452929501,41274.0502441838,6.4244883254765,NA,NA,NA,40.204308792263,65.387840266327,NA,NA,1,NA,0,1,NA,24.6943693161011,NA
21,"super","single_stage_drml_bc","m1",631,52.308419496662,2.30841949666196,70666.5458978604,8.40633962541726,NA,NA,NA,35.8322965890322,68.7845424042917,NA,NA,1,NA,0,1,NA,22.8350641727448,NA
22,"super","single_stage_drml_bc","m1",574,49.9841253195896,-0.015874680410441,51332.1780554899,7.16464779703021,NA,NA,NA,35.9416736754961,64.026576963683,NA,NA,1,NA,0,1,NA,17.1456146240234,NA
23,"super","single_stage_drml_bc","m1",593,49.7874294947654,-0.212570505234645,53403.7531189193,7.30778715610405,NA,NA,NA,35.464429862117,64.1104291274137,NA,NA,1,NA,0,1,NA,18.5860195159912,NA
24,"super","single_stage_drml_bc","m1",595,52.92121831843,2.92121831842999,63792.7733563615,7.98703783366284,NA,NA,NA,37.266911821292,68.575524815568,NA,NA,1,NA,0,1,NA,16.6447491645813,NA
25,"super","single_stage_drml_bc","m1",617,40.7145946327464,-9.28540536725357,50618.3372204868,7.11465650755444,NA,NA,NA,26.7701241155662,54.6590651499267,NA,NA,1,NA,0,1,NA,17.3832151889801,NA
26,"super","single_stage_drml_bc","m1",616,53.7386115786987,3.73861157869866,64881.7104297956,8.05491839994643,NA,NA,NA,37.9512616163947,69.5259615410027,NA,NA,1,NA,0,1,NA,18.35160779953,NA
27,"super","single_stage_drml_bc","m1",613,41.3268328884306,-8.6731671115694,46875.8810362577,6.84659631030322,NA,NA,NA,27.9077507035515,54.7459150733097,NA,NA,1,NA,0,1,NA,19.2285978794098,NA
28,"super","single_stage_drml_bc","m1",607,43.0286087736869,-6.97139122631305,100575.336554273,10.0287255697956,NA,NA,NA,23.3726678460516,62.6845497013223,NA,NA,1,NA,0,1,NA,17.2573118209839,NA
29,"super","single_stage_drml_bc","m1",630,51.1004218151409,1.10042181514091,74235.6821227081,8.61601312224559,NA,NA,NA,34.2133464052151,67.9874972250668,NA,NA,1,NA,0,1,NA,25.4419538974762,NA
30,"super","single_stage_drml_bc","m1",608,54.8528280103879,4.85282801038786,44903.4618754337,6.70100454226332,NA,NA,NA,41.7191004473124,67.9865555734633,NA,NA,1,NA,0,1,NA,24.0821273326874,NA
31,"super","single_stage_drml_bc","m1",594,40.4904884208882,-9.50951157911182,89977.2544901604,9.48563411112617,NA,NA,NA,21.8989871925563,59.0819896492201,NA,NA,1,NA,0,1,NA,18.2785363197327,NA
32,"super","single_stage_drml_bc","m1",623,49.5313448010983,-0.468655198901708,47816.9245258185,6.91497827370546,NA,NA,NA,35.9782364307586,63.0844531714379,NA,NA,1,NA,0,1,NA,17.9428238868713,NA
33,"super","single_stage_drml_bc","m1",609,59.7786358822701,9.77863588227007,57342.5547904942,7.57248669794106,NA,NA,NA,44.936834680897,74.6204370836432,NA,NA,1,NA,0,1,NA,17.3504366874695,NA
34,"super","single_stage_drml_bc","m1",585,28.1995906928748,-21.8004093071252,312268.472706917,17.6711197355153,NA,NA,NA,-6.43516755523012,62.8343489409797,NA,NA,1,NA,0,0,NA,18.3890798091888,NA
35,"super","single_stage_drml_bc","m1",628,60.0420307758176,10.0420307758176,60819.5645915298,7.79868992790006,NA,NA,NA,44.7568793905383,75.327182161097,NA,NA,1,NA,0,1,NA,16.8608551025391,NA
36,"super","single_stage_drml_bc","m1",602,47.5608266154745,-2.43917338452549,65445.671788351,8.08984992372238,NA,NA,NA,31.7050121246445,63.4166411063045,NA,NA,1,NA,0,1,NA,17.5413355827332,NA
37,"super","single_stage_drml_bc","m1",611,72.7935365342568,22.7935365342568,75006.8506603684,8.6606495518736,NA,NA,NA,55.8189753298616,89.768097738652,NA,NA,0,NA,1,1,NA,16.9976875782013,NA
38,"super","single_stage_drml_bc","m1",568,31.6233514512751,-18.3766485487249,456412.247312798,21.3638069480324,NA,NA,NA,-10.248940739535,73.4956436420852,NA,NA,1,NA,0,0,NA,25.8790128231049,NA
39,"super","single_stage_drml_bc","m1",620,40.5212641615087,-9.47873583849135,46206.8294021628,6.79756054788501,NA,NA,NA,27.1982903049237,53.8442380180936,NA,NA,1,NA,0,1,NA,23.6111726760864,NA
40,"super","single_stage_drml_bc","m1",581,58.2357130246391,8.23571302463908,52541.5514019243,7.24855512512144,NA,NA,NA,44.0288060394478,72.4426200098303,NA,NA,1,NA,0,1,NA,18.1632006168365,NA
41,"super","single_stage_drml_bc","m1",599,61.8586362628686,11.8586362628686,115534.867065045,10.7487146703708,NA,NA,NA,40.7915426288444,82.9257298968927,NA,NA,1,NA,0,1,NA,17.5921921730042,NA
42,"super","single_stage_drml_bc","m1",612,50.7957737596882,0.795773759688217,54865.7124948815,7.40713929225592,NA,NA,NA,36.2780475183951,65.3135000009813,NA,NA,1,NA,0,1,NA,17.1926181316376,NA
43,"super","single_stage_drml_bc","m1",594,66.0206751275439,16.0206751275439,74859.7611194829,8.65215355385484,NA,NA,NA,49.0627657732782,82.9785844818096,NA,NA,1,NA,0,1,NA,17.3468399047852,NA
44,"super","single_stage_drml_bc","m1",591,52.5767770407234,2.57677704072337,51516.1456968063,7.17747488304949,NA,NA,NA,38.5091847700055,66.6443693114412,NA,NA,1,NA,0,1,NA,18.877002954483,NA
45,"super","single_stage_drml_bc","m1",611,53.0582785437995,3.05827854379947,66331.2652459392,8.14440085248382,NA,NA,NA,37.0955461972739,69.0210108903251,NA,NA,1,NA,0,1,NA,17.1035199165344,NA
46,"super","single_stage_drml_bc","m1",599,57.1086490684179,7.10864906841795,50135.8760047426,7.08066917775026,NA,NA,NA,43.2307924935846,70.9865056432513,NA,NA,1,NA,0,1,NA,18.2094926834106,NA
47,"super","single_stage_drml_bc","m1",614,57.2689166183185,7.26891661831849,57700.3783976481,7.59607651341455,NA,NA,NA,42.3808802282154,72.1569530084216,NA,NA,1,NA,0,1,NA,27.5635612010956,NA
48,"super","single_stage_drml_bc","m1",618,38.8217888178714,-11.1782111821286,73643.2462758619,8.58156432568456,NA,NA,NA,22.0022318085159,55.6413458272269,NA,NA,1,NA,0,1,NA,25.5195059776306,NA
49,"super","single_stage_drml_bc","m1",601,47.8591873770661,-2.1408126229339,70030.1696491595,8.36840305250407,NA,NA,NA,31.4574187860431,64.2609559680891,NA,NA,1,NA,0,1,NA,18.0931539535522,NA
50,"super","single_stage_drml_bc","m1",623,48.5916501616917,-1.40834983830825,50788.8997965172,7.12663313188754,NA,NA,NA,34.6237058921623,62.5595944312212,NA,NA,1,NA,0,1,NA,17.4205248355865,NA
51,"super","single_stage_drml_bc","m1",595,30.4026662252284,-19.5973337747716,48469.6834196049,6.96201719472201,NA,NA,NA,16.7573632638247,44.0479691866321,NA,NA,0,NA,1,1,NA,18.1233971118927,NA
52,"super","single_stage_drml_bc","m1",593,49.6962942206553,-0.303705779344682,59060.253802455,7.68506693545703,NA,NA,NA,34.6338398083799,64.7587486329307,NA,NA,1,NA,0,1,NA,18.3553242683411,NA
53,"super","single_stage_drml_bc","m1",603,48.5791249027977,-1.42087509720234,46027.0539476254,6.78432413344361,NA,NA,NA,35.2820939418023,61.876155863793,NA,NA,1,NA,0,1,NA,18.4445130825043,NA
54,"super","single_stage_drml_bc","m1",611,47.6872605071685,-2.31273949283152,66029.3208748327,8.12584277935727,NA,NA,NA,31.7609013155934,63.6136196987436,NA,NA,1,NA,0,1,NA,18.49542760849,NA
55,"super","single_stage_drml_bc","m1",630,62.0348196007475,12.0348196007475,50823.3365537793,7.12904878323744,NA,NA,NA,48.0621407415731,76.007498459922,NA,NA,1,NA,0,1,NA,17.3037397861481,NA
56,"super","single_stage_drml_bc","m1",624,45.504423646924,-4.49557635307604,62026.8281783475,7.87571128078903,NA,NA,NA,30.0683131839417,60.9405341099063,NA,NA,1,NA,0,1,NA,24.4113318920135,NA
57,"super","single_stage_drml_bc","m1",611,20.8478301655274,-29.1521698344726,837507.478778012,28.9397214702908,NA,NA,NA,-35.8729816388631,77.568641969918,NA,NA,1,NA,0,0,NA,25.4136428833008,NA
58,"super","single_stage_drml_bc","m1",633,52.7139602868037,2.71396028680373,51966.0126293964,7.20874556558881,NA,NA,NA,38.5850786045368,66.8428419690706,NA,NA,1,NA,0,1,NA,18.2183854579926,NA
59,"super","single_stage_drml_bc","m1",623,58.9668103817467,8.96681038174675,55921.1768842684,7.47804632803705,NA,NA,NA,44.3101089040721,73.6235118594214,NA,NA,1,NA,0,1,NA,17.2033493518829,NA
60,"super","single_stage_drml_bc","m1",616,62.367597428637,12.367597428637,61692.5531733118,7.85446071817231,NA,NA,NA,46.9731373030346,77.7620575542393,NA,NA,1,NA,0,1,NA,17.9136388301849,NA
61,"super","single_stage_drml_bc","m1",625,43.6753156337289,-6.32468436627111,57406.2853657528,7.57669356419757,NA,NA,NA,28.8252691260052,58.5253621414525,NA,NA,1,NA,0,1,NA,18.4754440784454,NA
62,"super","single_stage_drml_bc","m1",603,51.4165978834245,1.4165978834245,56893.1019693709,7.54275161790251,NA,NA,NA,36.6330763680044,66.2001193988446,NA,NA,1,NA,0,1,NA,16.7880611419678,NA
63,"super","single_stage_drml_bc","m1",601,44.0175796360432,-5.98242036395684,41241.6976131347,6.42196991686622,NA,NA,NA,31.4307498891857,56.6044093829006,NA,NA,1,NA,0,1,NA,17.3409066200256,NA
64,"super","single_stage_drml_bc","m1",594,53.8106607730925,3.81066077309249,52936.35500072,7.27573741972042,NA,NA,NA,39.5504774694701,68.0708440767149,NA,NA,1,NA,0,1,NA,17.8912076950073,NA
65,"super","single_stage_drml_bc","m1",614,55.445529656932,5.44552965693196,52320.3585494738,7.2332813127566,NA,NA,NA,41.2685587938824,69.6225005199815,NA,NA,1,NA,0,1,NA,25.3070678710938,NA
66,"super","single_stage_drml_bc","m1",600,46.8650834503695,-3.13491654963052,40224.1962586554,6.34225482448123,NA,NA,NA,34.4344924136109,59.2956744871281,NA,NA,1,NA,0,1,NA,25.3954682350159,NA
67,"super","single_stage_drml_bc","m1",611,8.71201660444483,-41.2879833955552,1150551.33997994,33.9197780060533,NA,NA,NA,-57.7695266510136,75.1935598599032,NA,NA,1,NA,0,0,NA,16.9316959381104,NA
68,"super","single_stage_drml_bc","m1",630,54.4477336432459,4.44773364324589,76473.5980974839,8.74491841571343,NA,NA,NA,37.3080085007065,71.5874587857853,NA,NA,1,NA,0,1,NA,17.5025141239166,NA
69,"super","single_stage_drml_bc","m1",613,61.1939097309204,11.1939097309204,72439.7924113573,8.51115693730044,NA,NA,NA,44.5123486670433,77.8754707947975,NA,NA,1,NA,0,1,NA,16.4559237957001,NA
70,"super","single_stage_drml_bc","m1",611,61.0396955453368,11.0396955453368,59219.3141067513,7.69540863806149,NA,NA,NA,45.9569717684179,76.1224193222557,NA,NA,1,NA,0,1,NA,18.5078272819519,NA
71,"super","single_stage_drml_bc","m1",599,50.7484255393203,0.748425539320301,57954.6176031704,7.6127930224833,NA,NA,NA,35.8276253934952,65.6692256851454,NA,NA,1,NA,0,1,NA,17.2789900302887,NA
72,"super","single_stage_drml_bc","m1",623,2.32894848965466,-47.6710515103453,1371088.27165616,37.0282091337964,NA,NA,NA,-70.2450078246033,74.9029048039126,NA,NA,1,NA,0,0,NA,18.6310517787933,NA
73,"super","single_stage_drml_bc","m1",601,50.3207754015286,0.320775401528628,66073.1962416245,8.12854207355935,NA,NA,NA,34.3891256905338,66.2524251125235,NA,NA,1,NA,0,1,NA,17.6495702266693,NA
