"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"unadj","single_stage_drml_bc","m1",619,61.7272340278999,11.7272340278999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000986576080322266,NA
2,"unadj","single_stage_drml_bc","m1",612,62.1468029951211,12.1468029951211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000993251800537109,NA
3,"unadj","single_stage_drml_bc","m1",603,55.6719148992402,5.67191489924025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000955581665039062,NA
4,"unadj","single_stage_drml_bc","m1",617,51.7244074232054,1.72440742320538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00101661682128906,NA
5,"unadj","single_stage_drml_bc","m1",611,52.3040349540363,2.3040349540363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00107502937316895,NA
6,"unadj","single_stage_drml_bc","m1",611,54.7237512728974,4.72375127289743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000989198684692383,NA
7,"unadj","single_stage_drml_bc","m1",611,59.0494213597583,9.04942135975833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00100445747375488,NA
8,"unadj","single_stage_drml_bc","m1",613,76.9102999799999,26.9102999799999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00105881690979004,NA
9,"unadj","single_stage_drml_bc","m1",603,66.2166878826598,16.2166878826598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00100207328796387,NA
10,"unadj","single_stage_drml_bc","m1",621,64.0188198865397,14.0188198865397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000636100769042969,NA
11,"unadj","single_stage_drml_bc","m1",610,52.7805451585632,2.78054515856317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000638723373413086,NA
12,"unadj","single_stage_drml_bc","m1",603,65.6765871006271,15.6765871006271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000663042068481445,NA
13,"unadj","single_stage_drml_bc","m1",598,65.969524753702,15.969524753702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000663995742797852,NA
14,"unadj","single_stage_drml_bc","m1",578,59.860318360569,9.86031836056904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000650167465209961,NA
15,"unadj","single_stage_drml_bc","m1",601,54.5337092792411,4.53370927924109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000680685043334961,NA
16,"unadj","single_stage_drml_bc","m1",611,68.6693278599015,18.6693278599015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000670909881591797,NA
17,"unadj","single_stage_drml_bc","m1",618,67.4259665225152,17.4259665225152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000643491744995117,NA
18,"unadj","single_stage_drml_bc","m1",615,74.6950353080672,24.6950353080672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000703334808349609,NA
19,"unadj","single_stage_drml_bc","m1",611,51.8393170317323,1.83931703173235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00055694580078125,NA
20,"unadj","single_stage_drml_bc","m1",613,60.9469575739973,10.9469575739973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000550746917724609,NA
21,"unadj","single_stage_drml_bc","m1",631,54.7939885576879,4.79398855768792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000514984130859375,NA
22,"unadj","single_stage_drml_bc","m1",574,57.5383774621602,7.53837746216024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000500202178955078,NA
23,"unadj","single_stage_drml_bc","m1",593,58.5054920459833,8.50549204598326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000512838363647461,NA
24,"unadj","single_stage_drml_bc","m1",595,50.188098523297,0.188098523297043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000507116317749023,NA
25,"unadj","single_stage_drml_bc","m1",617,50.8019924723916,0.801992472391646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000501394271850586,NA
26,"unadj","single_stage_drml_bc","m1",616,65.4323954472307,15.4323954472307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000542163848876953,NA
27,"unadj","single_stage_drml_bc","m1",613,51.7677683293894,1.76776832938941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000491619110107422,NA
28,"unadj","single_stage_drml_bc","m1",607,60.1992334757477,10.1992334757477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000534772872924805,NA
29,"unadj","single_stage_drml_bc","m1",630,57.5147009146869,7.5147009146869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000534772872924805,NA
30,"unadj","single_stage_drml_bc","m1",608,59.3585575951533,9.35855759515326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000539779663085938,NA
31,"unadj","single_stage_drml_bc","m1",594,57.0368262761886,7.03682627618863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00049281120300293,NA
32,"unadj","single_stage_drml_bc","m1",623,60.2356708191412,10.2356708191412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000529050827026367,NA
33,"unadj","single_stage_drml_bc","m1",609,63.3234900349311,13.3234900349311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000518083572387695,NA
34,"unadj","single_stage_drml_bc","m1",585,54.5617217062101,4.56172170621014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000486850738525391,NA
35,"unadj","single_stage_drml_bc","m1",628,63.8375082398604,13.8375082398604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000515460968017578,NA
36,"unadj","single_stage_drml_bc","m1",602,64.7767836433258,14.7767836433258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000557661056518555,NA
37,"unadj","single_stage_drml_bc","m1",611,75.2890905986682,25.2890905986682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000468730926513672,NA
38,"unadj","single_stage_drml_bc","m1",568,56.9740870664798,6.97408706647983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000482559204101562,NA
39,"unadj","single_stage_drml_bc","m1",620,47.9965735339621,-2.00342646603792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000463008880615234,NA
40,"unadj","single_stage_drml_bc","m1",581,64.083815682344,14.083815682344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000499725341796875,NA
41,"unadj","single_stage_drml_bc","m1",599,77.0114541489155,27.0114541489155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000478982925415039,NA
42,"unadj","single_stage_drml_bc","m1",612,67.0803574183174,17.0803574183174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000456333160400391,NA
