"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"xgboost","single_stage_drml_bc","m1",619,63.8808643080435,13.8808643080435,304351.865796452,17.4456832997866,NA,NA,NA,29.68795335477,98.0737752613171,NA,NA,1,NA,0,1,NA,1.12817001342773,NA
2,"xgboost","single_stage_drml_bc","m1",612,53.362901533848,3.36290153384799,57061.7032398756,7.55391972686205,NA,NA,NA,38.5574909270917,68.1683121406042,NA,NA,1,NA,0,1,NA,3.45476078987122,NA
3,"xgboost","single_stage_drml_bc","m1",603,45.0093438282186,-4.99065617178145,52340.9934223504,7.23470755610414,NA,NA,NA,30.8295775795746,59.1891100768625,NA,NA,1,NA,0,1,NA,1.66099166870117,NA
4,"xgboost","single_stage_drml_bc","m1",617,48.1548435456978,-1.84515645430222,58593.2970897569,7.65462586216707,NA,NA,NA,33.1520525407215,63.1576345506741,NA,NA,1,NA,0,1,NA,1.39513850212097,NA
5,"xgboost","single_stage_drml_bc","m1",611,46.700658299858,-3.29934170014198,58756.6820037767,7.66529073184942,NA,NA,NA,31.6769645344045,61.7243520653116,NA,NA,1,NA,0,1,NA,2.15419745445251,NA
6,"xgboost","single_stage_drml_bc","m1",611,52.8556469056355,2.85564690563553,101687.226441451,10.0840084510799,NA,NA,NA,33.0913535217214,72.6199402895497,NA,NA,1,NA,0,1,NA,1.34534120559692,NA
7,"xgboost","single_stage_drml_bc","m1",611,49.5119049971768,-0.488095002823165,67493.4324626043,8.21543866525728,NA,NA,NA,33.4099410960748,65.6138688982789,NA,NA,1,NA,0,1,NA,1.47752499580383,NA
8,"xgboost","single_stage_drml_bc","m1",613,65.389880222661,15.389880222661,79642.8888248837,8.92428646026582,NA,NA,NA,47.8986001728216,82.8811602725005,NA,NA,1,NA,0,1,NA,1.46335577964783,NA
9,"xgboost","single_stage_drml_bc","m1",603,57.7118499881612,7.7118499881612,140015.390269173,11.8328099059003,NA,NA,NA,34.5199687366878,80.9037312396346,NA,NA,1,NA,0,1,NA,3.81007647514343,NA
10,"xgboost","single_stage_drml_bc","m1",621,56.7894216926343,6.78942169263433,54226.9252204461,7.36389334662351,NA,NA,NA,42.3564559472581,71.2223874380105,NA,NA,1,NA,0,1,NA,0.991416454315186,NA
11,"xgboost","single_stage_drml_bc","m1",610,52.4564063626697,2.45640636266972,57356.2797597357,7.57339288296439,NA,NA,NA,37.6128290712876,67.2999836540519,NA,NA,1,NA,0,1,NA,2.95299458503723,NA
12,"xgboost","single_stage_drml_bc","m1",603,43.1003880467741,-6.89961195322586,80635.5006184939,8.97972720178592,NA,NA,NA,25.5004461402791,60.7003299532692,NA,NA,1,NA,0,1,NA,1.93038868904114,NA
13,"xgboost","single_stage_drml_bc","m1",598,90.1676061920808,40.1676061920808,422611.431545443,20.5575152084449,NA,NA,NA,49.8756167718945,130.459595612267,NA,NA,1,NA,0,1,NA,1.09547853469849,NA
14,"xgboost","single_stage_drml_bc","m1",578,41.4569686295386,-8.54303137046141,72322.6265690342,8.5042710780545,NA,NA,NA,24.7889036017862,58.125033657291,NA,NA,1,NA,0,1,NA,1.10231757164001,NA
15,"xgboost","single_stage_drml_bc","m1",601,44.4610737605795,-5.53892623942051,47813.6073253665,6.9147384133723,NA,NA,NA,30.9084355078541,58.0137120133048,NA,NA,1,NA,0,1,NA,0.980658054351807,NA
