"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"bart","tmle","m1",1242,49.1390764763963,-0.860923523603738,46085.644827558,4.80029399243203,NA,NA,NA,39.7306731360255,58.547479816767,NA,NA,1,NA,0,1,NA,6.42731475830078,NA
2,"bart","tmle","m1",1242,51.592898535864,1.59289853586397,43710.2377010916,4.67494586605512,NA,NA,NA,42.4301730087215,60.7556240630064,NA,NA,1,NA,0,1,NA,6.46563839912415,NA
3,"bart","tmle","m1",1220,48.2094632312389,-1.79053676876111,66668.2949417157,5.77357319784359,NA,NA,NA,36.8934677013597,59.5254587611181,NA,NA,1,NA,0,1,NA,6.27810001373291,NA
4,"bart","tmle","m1",1248,52.4367400176276,2.4367400176276,126676.35074276,7.95852846771186,NA,NA,NA,36.8383108509756,68.0351691842796,NA,NA,1,NA,0,1,NA,6.45459747314453,NA
5,"bart","tmle","m1",1218,52.1023245421096,2.10232454210962,60124.2448225807,5.48289361663076,NA,NA,NA,41.3560505224488,62.8485985617705,NA,NA,1,NA,0,1,NA,6.44192814826965,NA
6,"bart","tmle","m1",1198,53.5130567896112,3.51305678961121,58855.8282511994,5.42475014407113,NA,NA,NA,42.8807418821033,64.1453716971191,NA,NA,1,NA,0,1,NA,6.41038513183594,NA
7,"bart","tmle","m1",1192,48.6843739770987,-1.31562602290132,59370.8638768164,5.44843389777358,NA,NA,NA,38.0056397653153,59.3631081888821,NA,NA,1,NA,0,1,NA,6.46841263771057,NA
8,"bart","tmle","m1",1209,49.0843385616348,-0.915661438365191,56584.9514222604,5.31906718430311,NA,NA,NA,38.6591584490518,59.5095186742178,NA,NA,1,NA,0,1,NA,6.29436826705933,NA
9,"bart","tmle","m1",1209,62.8056288371067,12.8056288371067,61765.4727618487,5.55722380158694,NA,NA,NA,51.9136703319675,73.6975873422458,NA,NA,0,NA,1,1,NA,6.4488844871521,NA
10,"bart","tmle","m1",1211,60.9962332145609,10.9962332145609,57956.948976948,5.38316584255715,NA,NA,NA,50.4454220403427,71.5470443887791,NA,NA,0,NA,1,1,NA,6.56425786018372,NA
11,"bart","tmle","m1",1253,47.1764140137715,-2.82358598622853,38387.5647203493,4.38107091476213,NA,NA,NA,38.5896728071218,55.7631552204212,NA,NA,1,NA,0,1,NA,6.76596784591675,NA
12,"bart","tmle","m1",1229,49.5616503949451,-0.438349605054903,55063.7920217867,5.24708452484743,NA,NA,NA,39.2775537024067,59.8457470874835,NA,NA,1,NA,0,1,NA,6.52011895179749,NA
13,"bart","tmle","m1",1236,52.0485375041771,2.04853750417711,52449.4301649131,5.12100723319705,NA,NA,NA,42.0115477625418,62.0855272458124,NA,NA,1,NA,0,1,NA,6.59210681915283,NA
14,"bart","tmle","m1",1235,45.7105682825034,-4.28943171749663,48522.536480606,4.9255728844778,NA,NA,NA,36.0566228256998,55.3645137393069,NA,NA,1,NA,0,1,NA,6.60151743888855,NA
15,"bart","tmle","m1",1220,52.1807003203887,2.18070032038868,85777.1002251062,6.54893503651953,NA,NA,NA,39.3450235117179,65.0163771290595,NA,NA,1,NA,0,1,NA,6.31934189796448,NA
16,"bart","tmle","m1",1201,54.043646343476,4.04364634347599,100687.491529506,7.09533267470617,NA,NA,NA,40.1370498427217,67.9502428442303,NA,NA,1,NA,0,1,NA,6.55742502212524,NA
17,"bart","tmle","m1",1216,53.7901834534687,3.79018345346869,49199.6694394891,4.95982204516901,NA,NA,NA,44.0691108752096,63.5112560317278,NA,NA,1,NA,0,1,NA,6.53541159629822,NA
18,"bart","tmle","m1",1235,62.0910586477703,12.0910586477703,53467.4039814795,5.17046438830592,NA,NA,NA,51.9571346633437,72.2249826321968,NA,NA,0,NA,1,1,NA,6.58879160881042,NA
19,"bart","tmle","m1",1195,54.8501039981564,4.85010399815641,95306.1147600471,6.90311939488399,NA,NA,NA,41.3202386032039,68.379969393109,NA,NA,1,NA,0,1,NA,6.18313884735107,NA
20,"bart","tmle","m1",1218,45.1411321251738,-4.85886787482621,41427.9635339742,4.55126155774276,NA,NA,NA,36.2208233877763,54.0614408625713,NA,NA,1,NA,0,1,NA,6.15722942352295,NA
21,"bart","tmle","m1",1221,48.9386748631124,-1.06132513688758,46525.6288865569,4.82315399331998,NA,NA,NA,39.4854667443147,58.3918829819101,NA,NA,1,NA,0,1,NA,6.12361359596252,NA
22,"bart","tmle","m1",1194,53.3476001081535,3.34760010815352,44342.6021180816,4.70864110535522,NA,NA,NA,44.1188331255324,62.5763670907746,NA,NA,1,NA,0,1,NA,6.2201886177063,NA
23,"bart","tmle","m1",1214,49.2734933608099,-0.726506639190056,50186.4715640571,5.00931490146393,NA,NA,NA,39.4554165667208,59.091570154899,NA,NA,1,NA,0,1,NA,6.0649790763855,NA
24,"bart","tmle","m1",1237,53.3975958903139,3.39759589031392,87690.0692407604,6.62155832265942,NA,NA,NA,40.41958005637,66.3756117242578,NA,NA,1,NA,0,1,NA,6.15583348274231,NA
25,"bart","tmle","m1",1233,48.4740323918595,-1.52596760814055,47670.3092411043,4.88212603489014,NA,NA,NA,38.9052411954894,58.0428235882295,NA,NA,1,NA,0,1,NA,6.17643976211548,NA
26,"bart","tmle","m1",1216,51.1740607435421,1.17406074354208,54549.1423937483,5.22250621798329,NA,NA,NA,40.9381366472583,61.4099848398258,NA,NA,1,NA,0,1,NA,6.11037349700928,NA
27,"bart","tmle","m1",1224,48.1267098719496,-1.87329012805041,50103.5164035671,5.00517314403644,NA,NA,NA,38.3167507732511,57.9366689706481,NA,NA,1,NA,0,1,NA,6.22803473472595,NA
28,"bart","tmle","m1",1210,45.8002244406593,-4.19977555934066,48827.9583297395,4.94105041108364,NA,NA,NA,36.1159435891386,55.4845052921801,NA,NA,1,NA,0,1,NA,6.45732712745667,NA
29,"bart","tmle","m1",1217,46.2102147709426,-3.78978522905741,48848.248593795,4.94207692138614,NA,NA,NA,36.5239219961992,55.896507545686,NA,NA,1,NA,0,1,NA,6.52335715293884,NA
30,"bart","tmle","m1",1218,50.4917036785165,0.491703678516487,56425.1572260499,5.31155143183467,NA,NA,NA,40.0812541700884,60.9021531869446,NA,NA,1,NA,0,1,NA,6.47031617164612,NA
31,"bart","tmle","m1",1248,46.7893553530663,-3.21064464693365,43876.6380980967,4.6838359331907,NA,NA,NA,37.609205614518,55.9695050916147,NA,NA,1,NA,0,1,NA,6.59565997123718,NA
32,"bart","tmle","m1",1251,54.7361548988148,4.73615489881477,47035.3494058563,4.84950252117969,NA,NA,NA,45.2313046143664,64.2410051832632,NA,NA,1,NA,0,1,NA,6.54836845397949,NA
33,"bart","tmle","m1",1185,46.7730596746083,-3.22694032539173,51974.3004807074,5.09775933527209,NA,NA,NA,36.7816349756221,56.7644843735944,NA,NA,1,NA,0,1,NA,6.49426627159119,NA
34,"bart","tmle","m1",1237,52.9516142409188,2.95161424091881,67269.3762215793,5.79954206043802,NA,NA,NA,41.5847206756351,64.3185078062025,NA,NA,1,NA,0,1,NA,6.52397227287292,NA
35,"bart","tmle","m1",1230,45.2782659656288,-4.7217340343712,49001.2927221908,4.94981276020572,NA,NA,NA,35.5768112254088,54.9797207058488,NA,NA,1,NA,0,1,NA,6.46120190620422,NA
36,"bart","tmle","m1",1244,45.6071488534669,-4.39285114653311,44981.1273715074,4.74242171108324,NA,NA,NA,36.3121731002429,54.9021246066909,NA,NA,1,NA,0,1,NA,6.4634153842926,NA
37,"bart","tmle","m1",1219,45.7390284565004,-4.26097154349957,44560.871074232,4.7202156240066,NA,NA,NA,36.4875758341842,54.9904810788166,NA,NA,1,NA,0,1,NA,6.22912931442261,NA
38,"bart","tmle","m1",1256,46.1656638554097,-3.83433614459033,44968.3219885975,4.74174661852558,NA,NA,NA,36.872011259285,55.4593164515344,NA,NA,1,NA,0,1,NA,6.11336541175842,NA
39,"bart","tmle","m1",1227,53.1076213064971,3.10762130649714,58443.7166960741,5.40572459047231,NA,NA,NA,42.5125957988289,63.7026468141654,NA,NA,1,NA,0,1,NA,6.01904988288879,NA
40,"bart","tmle","m1",1236,57.8177919025899,7.81779190258987,98025.3798995587,7.00090636630568,NA,NA,NA,44.0962675654936,71.5393162396862,NA,NA,1,NA,0,1,NA,5.99869871139526,NA
41,"bart","tmle","m1",1222,52.1160632568866,2.11606325688656,50832.7801037342,5.04146705353383,NA,NA,NA,42.234969402715,61.9971571110581,NA,NA,1,NA,0,1,NA,6.26552534103394,NA
42,"bart","tmle","m1",1271,45.4534899680827,-4.54651003191726,42610.4194059655,4.61575667718552,NA,NA,NA,36.4067731193988,54.5002068167666,NA,NA,1,NA,0,1,NA,6.21775245666504,NA
43,"bart","tmle","m1",1204,52.8910535097955,2.89105350979549,53043.4612726841,5.14992530395753,NA,NA,NA,42.7973853909672,62.9847216286237,NA,NA,1,NA,0,1,NA,6.08064389228821,NA
44,"bart","tmle","m1",1202,52.1125209078996,2.11252090789957,54307.0057988109,5.21090231144333,NA,NA,NA,41.8993400505141,62.325701765285,NA,NA,1,NA,0,1,NA,6.15379667282104,NA
45,"bart","tmle","m1",1227,51.2402864128679,1.24028641286788,52648.7110676258,5.13072660875757,NA,NA,NA,41.1842470451817,61.296325780554,NA,NA,1,NA,0,1,NA,6.13713073730469,NA
46,"bart","tmle","m1",1231,48.5136579380874,-1.48634206191261,49439.5938832787,4.97190073730755,NA,NA,NA,38.7689115582565,58.2584043179183,NA,NA,1,NA,0,1,NA,6.05676603317261,NA
47,"bart","tmle","m1",1239,49.0371398627025,-0.96286013729749,51846.2309124672,5.09147478204828,NA,NA,NA,39.058032661694,59.0162470637111,NA,NA,1,NA,0,1,NA,6.0938708782196,NA
48,"bart","tmle","m1",1214,51.6282721402139,1.62827214021388,48999.2527301325,4.94970972533403,NA,NA,NA,41.9270193446315,61.3295249357962,NA,NA,1,NA,0,1,NA,6.12458777427673,NA
49,"bart","tmle","m1",1212,43.5594916159943,-6.44050838400573,57172.8482124278,5.34662735808415,NA,NA,NA,33.0802945553928,54.0386886765957,NA,NA,1,NA,0,1,NA,6.08956861495972,NA
50,"bart","tmle","m1",1223,53.305526742924,3.30552674292399,66664.8609957366,5.77342450352201,NA,NA,NA,41.9898226485598,64.6212308372882,NA,NA,1,NA,0,1,NA,5.97358679771423,NA
51,"bart","tmle","m1",1205,55.5716804780498,5.57168047804985,61331.4890445598,5.53766598146547,NA,NA,NA,44.7180545959649,66.4253063601348,NA,NA,1,NA,0,1,NA,6.12992095947266,NA
52,"bart","tmle","m1",1232,50.9052469936745,0.905246993674517,53605.413171088,5.17713304692317,NA,NA,NA,40.758252678533,61.052241308816,NA,NA,1,NA,0,1,NA,6.16917276382446,NA
53,"bart","tmle","m1",1215,44.9161995448021,-5.08380045519795,45614.9424272784,4.77571682720397,NA,NA,NA,35.5559665631204,54.2764325264837,NA,NA,1,NA,0,1,NA,6.13982629776001,NA
54,"bart","tmle","m1",1206,51.9594001033765,1.95940010337645,57603.1391664635,5.36670938129053,NA,NA,NA,41.4408430005538,62.4779572061991,NA,NA,1,NA,0,1,NA,6.07852721214294,NA
55,"bart","tmle","m1",1253,46.7841984421631,-3.21580155783694,49328.3327723694,4.96630309044713,NA,NA,NA,37.0504232485767,56.5179736357494,NA,NA,1,NA,0,1,NA,6.15926074981689,NA
56,"bart","tmle","m1",1212,50.7227217824979,0.722721782497949,63440.3664333914,5.63206740164708,NA,NA,NA,39.6840725167676,61.7613710482283,NA,NA,1,NA,0,1,NA,6.13098359107971,NA
57,"bart","tmle","m1",1257,44.9689508746843,-5.03104912531568,46660.4647875024,4.83013792699041,NA,NA,NA,35.5020544974222,54.4358472519465,NA,NA,1,NA,0,1,NA,6.13229632377625,NA
58,"bart","tmle","m1",1247,44.0965713650969,-5.9034286349031,41904.9476562583,4.57738722724319,NA,NA,NA,35.1250572564066,53.0680854737872,NA,NA,1,NA,0,1,NA,6.20804738998413,NA
59,"bart","tmle","m1",1230,55.4516519130959,5.45165191309587,80854.620546493,6.35824742151849,NA,NA,NA,42.989715962125,67.9135878640668,NA,NA,1,NA,0,1,NA,6.39971041679382,NA
60,"bart","tmle","m1",1237,50.6842996729077,0.684299672907727,51135.276513217,5.05644521938174,NA,NA,NA,40.7738491531198,60.5947501926957,NA,NA,1,NA,0,1,NA,6.05452752113342,NA
61,"bart","tmle","m1",1255,61.866485666426,11.866485666426,56151.9658827972,5.29867747097316,NA,NA,NA,51.4812686576248,72.2517026752272,NA,NA,0,NA,1,1,NA,6.00373530387878,NA
62,"bart","tmle","m1",1232,52.3539465048415,2.35394650484147,58112.7433853844,5.3903962463526,NA,NA,NA,41.7889639995905,62.9189290100925,NA,NA,1,NA,0,1,NA,6.11700868606567,NA
63,"bart","tmle","m1",1217,48.1096761696486,-1.89032383035139,598217.752328864,17.2947644148289,NA,NA,NA,14.212560795479,82.0067915438182,NA,NA,1,NA,0,1,NA,5.99739980697632,NA
