"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"unadj","tmle","m1",132,72.2067917768861,22.2067917768861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000695466995239258,NA
2,"unadj","tmle","m1",117,53.176274914611,3.17627491461099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000651359558105469,NA
3,"unadj","tmle","m1",126,52.1250666439394,2.12506664393939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000609159469604492,NA
4,"unadj","tmle","m1",114,67.454827519353,17.454827519353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000579357147216797,NA
5,"unadj","tmle","m1",125,67.7218607169087,17.7218607169087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000685453414916992,NA
6,"unadj","tmle","m1",117,70.0628416588454,20.0628416588454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000610828399658203,NA
7,"unadj","tmle","m1",119,50.6771078185427,0.677107818542709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000666379928588867,NA
8,"unadj","tmle","m1",114,42.5027519373476,-7.49724806265243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000595808029174805,NA
9,"unadj","tmle","m1",117,51.9680022264098,1.96800222640982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000620126724243164,NA
10,"unadj","tmle","m1",110,53.0175075221003,3.01750752210032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000356197357177734,NA
11,"unadj","tmle","m1",124,56.6106596108818,6.61065961088175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000340461730957031,NA
12,"unadj","tmle","m1",127,56.1918488552166,6.19184885521656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000379562377929688,NA
13,"unadj","tmle","m1",123,65.0819582055636,15.0819582055636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000328779220581055,NA
14,"unadj","tmle","m1",120,61.0156270895872,11.0156270895872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000446081161499023,NA
15,"unadj","tmle","m1",123,55.980974953791,5.98097495379102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000306367874145508,NA
16,"unadj","tmle","m1",118,45.6956315256979,-4.30436847430207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000418901443481445,NA
17,"unadj","tmle","m1",134,53.1146494428647,3.11464944286467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000446796417236328,NA
18,"unadj","tmle","m1",114,60.031409379142,10.031409379142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000427722930908203,NA
19,"unadj","tmle","m1",129,56.4621480823843,6.46214808238426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000375986099243164,NA
20,"unadj","tmle","m1",113,62.5891898183267,12.5891898183267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000395774841308594,NA
21,"unadj","tmle","m1",117,54.5906835905802,4.59068359058017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000397682189941406,NA
22,"unadj","tmle","m1",125,55.8127043950041,5.81270439500412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000362873077392578,NA
23,"unadj","tmle","m1",123,72.968028871738,22.968028871738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000397682189941406,NA
24,"unadj","tmle","m1",113,54.1516012248873,4.15160122488734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000377416610717773,NA
25,"unadj","tmle","m1",122,60.6789456808816,10.6789456808816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000356912612915039,NA
