"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"lm_interact","tmle","m1",3113,49.3520166225017,-0.647983377498285,18806.7940945266,1.93942228998878,NA,NA,NA,45.5508187833095,53.1532144616939,NA,NA,1,NA,0,1,NA,0.225716829299927,NA
2,"lm_interact","tmle","m1",3060,55.6657647459867,5.66576474598673,20899.2867023336,2.04446994119912,NA,NA,NA,51.6586772937617,59.6728521982117,NA,NA,0,NA,1,1,NA,0.220996618270874,NA
3,"lm_interact","tmle","m1",3037,51.7147620950678,1.71476209506781,30902.5725696954,2.48606406070702,NA,NA,NA,46.8421660728226,56.587358117313,NA,NA,1,NA,0,1,NA,0.221230030059814,NA
4,"lm_interact","tmle","m1",3033,50.0357608659864,0.0357608659864255,82751.3971948815,4.06820346577901,NA,NA,NA,42.0622285912786,58.0092931406943,NA,NA,1,NA,0,1,NA,0.217285394668579,NA
5,"lm_interact","tmle","m1",3035,48.5003359083833,-1.49966409161667,25348.8685057495,2.25161579785493,NA,NA,NA,44.0872500375662,52.9134217792004,NA,NA,1,NA,0,1,NA,0.216367721557617,NA
6,"lm_interact","tmle","m1",3022,49.2789029305846,-0.72109706941535,20764.6863204474,2.03787567434559,NA,NA,NA,45.284740003897,53.2730658572723,NA,NA,1,NA,0,1,NA,0.216612815856934,NA
7,"lm_interact","tmle","m1",3104,48.3168430108643,-1.68315698913565,19470.9417186614,1.9733697939647,NA,NA,NA,44.4491092865143,52.1845767352144,NA,NA,1,NA,0,1,NA,0.218171358108521,NA
8,"lm_interact","tmle","m1",3094,52.0722204937402,2.07222049374018,22099.193965802,2.10234126467622,NA,NA,NA,47.9517073317624,56.192733655718,NA,NA,1,NA,0,1,NA,0.216998100280762,NA
9,"lm_interact","tmle","m1",3034,51.4439401522048,1.4439401522048,18985.5433231853,1.94861711596636,NA,NA,NA,47.6247207852524,55.2631595191572,NA,NA,1,NA,0,1,NA,0.2169508934021,NA
10,"lm_interact","tmle","m1",3081,48.7511340278913,-1.24886597210865,20663.1024995198,2.03288477290375,NA,NA,NA,44.7667530882801,52.7355149675026,NA,NA,1,NA,0,1,NA,0.108474731445312,NA
11,"lm_interact","tmle","m1",3082,50.5617761907753,0.561776190775262,18474.0802479077,1.92219043010352,NA,NA,NA,46.7943521763448,54.3292002052057,NA,NA,1,NA,0,1,NA,0.108713865280151,NA
12,"lm_interact","tmle","m1",3105,47.8808266162542,-2.11917338374584,22565.9743967,2.12442812995404,NA,NA,NA,43.7170239938005,52.0446292387078,NA,NA,1,NA,0,1,NA,0.108668088912964,NA
13,"lm_interact","tmle","m1",3085,49.4651747752407,-0.534825224759302,18032.2466999064,1.89906538591521,NA,NA,NA,45.7430750145602,53.1872745359212,NA,NA,1,NA,0,1,NA,0.107623815536499,NA
14,"lm_interact","tmle","m1",2979,48.5569294546743,-1.44307054532568,20113.1750869891,2.00565077154469,NA,NA,NA,44.6259261768818,52.4879327324669,NA,NA,1,NA,0,1,NA,0.1067214012146,NA
15,"lm_interact","tmle","m1",3051,46.696687429394,-3.30331257060596,18337.1798870185,1.91505508469174,NA,NA,NA,42.9432484349879,50.4501264238002,NA,NA,1,NA,0,1,NA,0.106334686279297,NA
16,"lm_interact","tmle","m1",3061,51.3916535970486,1.39165359704864,25774.9525077897,2.27046041620592,NA,NA,NA,46.9416329529612,55.8416742411361,NA,NA,1,NA,0,1,NA,0.104832172393799,NA
17,"lm_interact","tmle","m1",3056,51.9944556760324,1.99445567603242,20985.1114493545,2.04866353749729,NA,NA,NA,47.9791489260973,56.0097624259675,NA,NA,1,NA,0,1,NA,0.148404121398926,NA
18,"lm_interact","tmle","m1",3037,49.4277423714386,-0.572257628561424,19661.1623179438,1.98298574467613,NA,NA,NA,45.541161730017,53.3143230128601,NA,NA,1,NA,0,1,NA,0.106381416320801,NA
19,"lm_interact","tmle","m1",3015,46.9461994449519,-3.05380055504809,31307.973242305,2.50231785520165,NA,NA,NA,42.0417465708852,51.8506523190187,NA,NA,1,NA,0,1,NA,0.105941534042358,NA
20,"lm_interact","tmle","m1",3020,49.526009056218,-0.473990943782042,21061.2204388827,2.05237523074523,NA,NA,NA,45.5034275211952,53.5485905912407,NA,NA,1,NA,0,1,NA,0.104678630828857,NA
21,"lm_interact","tmle","m1",3061,50.8309282190984,0.830928219098361,20883.4667903769,2.04369600432045,NA,NA,NA,46.8253576552819,54.8364987829149,NA,NA,1,NA,0,1,NA,0.139011383056641,NA
