"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"xgboost","tmle","m1",3070,52.7170982845774,2.71709828457742,31613.5896637489,2.51450152768889,NA,NA,NA,47.7887658512362,57.6454307179186,NA,NA,1,NA,0,1,NA,2.01459407806396,NA
2,"xgboost","tmle","m1",3057,48.5934890278941,-1.40651097210587,9177.22126194328,1.35478568503976,NA,NA,NA,45.9381578784458,51.2488201773425,NA,NA,1,NA,0,1,NA,1.7956850528717,NA
3,"xgboost","tmle","m1",3044,47.8288423780792,-2.17115762192083,7152.70669170028,1.1960523978238,NA,NA,NA,45.4846227547218,50.1730620014366,NA,NA,1,NA,0,1,NA,1.89370632171631,NA
4,"xgboost","tmle","m1",3065,51.2798631771992,1.2798631771992,7984.10067382691,1.26365348682516,NA,NA,NA,48.8031478540834,53.756578500315,NA,NA,1,NA,0,1,NA,2.12040495872498,NA
5,"xgboost","tmle","m1",3029,50.9803157360442,0.980315736044226,10583.089585336,1.45486010223224,NA,NA,NA,48.1288423331248,53.8317891389637,NA,NA,1,NA,0,1,NA,1.90532231330872,NA
6,"xgboost","tmle","m1",3063,50.2268743264952,0.226874326495235,8465.73591330309,1.30120989185474,NA,NA,NA,47.6765498021327,52.7771988508578,NA,NA,1,NA,0,1,NA,1.76047682762146,NA
7,"xgboost","tmle","m1",3004,49.3275882468129,-0.672411753187134,7982.64269529226,1.26353810352456,NA,NA,NA,46.8510990708107,51.8040774228151,NA,NA,1,NA,0,1,NA,2.08528804779053,NA
8,"xgboost","tmle","m1",3043,49.5400996464225,-0.459900353577474,8286.07397620401,1.28732854984297,NA,NA,NA,47.0169820524601,52.0632172403849,NA,NA,1,NA,0,1,NA,1.93968868255615,NA
9,"xgboost","tmle","m1",2984,49.556127873045,-0.443872126954986,9115.15476139755,1.35019663467197,NA,NA,NA,46.9097910970408,52.2024646490493,NA,NA,1,NA,0,1,NA,2.11360120773315,NA
10,"xgboost","tmle","m1",3022,51.4107994631847,1.41079946318469,8041.11689506978,1.26815747405989,NA,NA,NA,48.925256487302,53.8963424390674,NA,NA,1,NA,0,1,NA,1.66258764266968,NA
11,"xgboost","tmle","m1",3021,52.305533370951,2.30553337095103,8249.45795775686,1.28448105924197,NA,NA,NA,49.7879967560129,54.8230699858891,NA,NA,1,NA,0,1,NA,1.87386584281921,NA
12,"xgboost","tmle","m1",2969,51.8184192594236,1.81841925942362,8332.3352361231,1.29091713414325,NA,NA,NA,49.2882681694772,54.34857034937,NA,NA,1,NA,0,1,NA,1.53236603736877,NA
13,"xgboost","tmle","m1",3095,49.0000188078944,-0.999981192105579,6877.45088147707,1.17281293320607,NA,NA,NA,46.7013476982078,51.2986899175811,NA,NA,1,NA,0,1,NA,1.53411531448364,NA
14,"xgboost","tmle","m1",3079,50.3625737396334,0.362573739633419,8174.13213885747,1.27860331134074,NA,NA,NA,47.8565572988919,52.8685901803749,NA,NA,1,NA,0,1,NA,2.06364870071411,NA
15,"xgboost","tmle","m1",3100,50.779227448559,0.779227448559041,8646.82993340761,1.31505360601062,NA,NA,NA,48.2017697430387,53.3566851540794,NA,NA,1,NA,0,1,NA,1.87430596351624,NA
16,"xgboost","tmle","m1",3010,50.0595496378079,0.0595496378079048,7467.51924196542,1.22208995102369,NA,NA,NA,47.6642973479332,52.4548019276827,NA,NA,1,NA,0,1,NA,1.8418231010437,NA
17,"xgboost","tmle","m1",3078,50.1584346969433,0.158434696943338,7688.798206751,1.24006436984142,NA,NA,NA,47.7279531935428,52.5889162003439,NA,NA,1,NA,0,1,NA,2.01418447494507,NA
18,"xgboost","tmle","m1",3031,49.4483737582187,-0.551626241781264,10951.4460547284,1.47996257079214,NA,NA,NA,46.5477004209988,52.3490470954386,NA,NA,1,NA,0,1,NA,1.46338820457458,NA
19,"xgboost","tmle","m1",2988,50.2963769244706,0.296376924470572,7808.09802664362,1.24964779251144,NA,NA,NA,47.8471122577882,52.745641591153,NA,NA,1,NA,0,1,NA,1.42618107795715,NA
20,"xgboost","tmle","m1",3118,51.5161993875869,1.51619938758687,8154.25216986504,1.27704754569789,NA,NA,NA,49.0132321914737,54.0191665837,NA,NA,1,NA,0,1,NA,1.66793012619019,NA
21,"xgboost","tmle","m1",3041,52.0448332342782,2.0448332342782,9367.92391822314,1.36878953226733,NA,NA,NA,49.3620550486188,54.7276114199376,NA,NA,1,NA,0,1,NA,1.3773148059845,NA
22,"xgboost","tmle","m1",3068,50.2206120158204,0.220612015820357,7667.31030858258,1.23833035241672,NA,NA,NA,47.7935291241208,52.6476949075199,NA,NA,1,NA,0,1,NA,1.70829582214355,NA
23,"xgboost","tmle","m1",3074,48.5904754317894,-1.40952456821059,7340.24053964627,1.21163035119184,NA,NA,NA,46.2157235808778,50.965227282701,NA,NA,1,NA,0,1,NA,1.82878804206848,NA
24,"xgboost","tmle","m1",2994,50.4604874812427,0.460487481242708,8202.94355785404,1.28085468011434,NA,NA,NA,47.950058438789,52.9709165236964,NA,NA,1,NA,0,1,NA,1.78787279129028,NA
25,"xgboost","tmle","m1",3058,51.7438410909097,1.74384109090974,7547.82230652611,1.22864334178199,NA,NA,NA,49.3357443911721,54.1519377906474,NA,NA,1,NA,0,1,NA,1.86195206642151,NA
26,"xgboost","tmle","m1",3053,51.2067471592511,1.20674715925108,6899.19971783048,1.17466588592931,NA,NA,NA,48.9044443289618,53.5090499895404,NA,NA,1,NA,0,1,NA,1.80833101272583,NA
27,"xgboost","tmle","m1",3064,50.0306646807743,0.0306646807742723,6875.98975002563,1.17268834308401,NA,NA,NA,47.7322377632397,52.3290915983089,NA,NA,1,NA,0,1,NA,1.38142156600952,NA
28,"xgboost","tmle","m1",3064,48.5677054519449,-1.4322945480551,8847.95019299389,1.33025938771308,NA,NA,NA,45.960444961931,51.1749659419588,NA,NA,1,NA,0,1,NA,1.78646397590637,NA
29,"xgboost","tmle","m1",3038,49.0278728241421,-0.972127175857928,7578.29617804558,1.23112112954376,NA,NA,NA,46.61491974963,51.4408258986541,NA,NA,1,NA,0,1,NA,1.41497325897217,NA
30,"xgboost","tmle","m1",3040,48.5023556590267,-1.49764434097334,7808.71968497063,1.2496975382044,NA,NA,NA,46.0529934925777,50.9517178254756,NA,NA,1,NA,0,1,NA,1.24056792259216,NA
31,"xgboost","tmle","m1",3011,49.4841835665801,-0.515816433419886,8499.93610081245,1.30383558018735,NA,NA,NA,46.928712787651,52.0396543455092,NA,NA,1,NA,0,1,NA,1.80655121803284,NA
32,"xgboost","tmle","m1",3066,49.1525658709269,-0.847434129073143,7398.55909499191,1.21643405863137,NA,NA,NA,46.7683989264415,51.5367328154122,NA,NA,1,NA,0,1,NA,1.39116311073303,NA
33,"xgboost","tmle","m1",3041,49.4788655372749,-0.521134462725094,8624.18528320357,1.31333052071469,NA,NA,NA,46.9047850168769,52.0529460576729,NA,NA,1,NA,0,1,NA,1.53650212287903,NA
