"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"correct_model","tmle","m2",1242,49.1685472317144,-0.831452768285615,43414.2109424115,4.659088480723,NA,NA,NA,40.0369016087119,58.3001928547169,NA,NA,1,NA,0,1,NA,0.197582244873047,NA
2,"correct_model","tmle","m2",1242,50.6511653401294,0.651165340129417,43984.2066413816,4.68957389542918,NA,NA,NA,41.459769402249,59.8425612780098,NA,NA,1,NA,0,1,NA,0.188598871231079,NA
3,"correct_model","tmle","m2",1220,46.2008467495587,-3.79915325044129,53489.5954368815,5.17153726839909,NA,NA,NA,36.0648199587898,56.3368735403276,NA,NA,1,NA,0,1,NA,0.189452886581421,NA
4,"correct_model","tmle","m2",1248,48.2881871233644,-1.71181287663556,43935.5538295219,4.68697950867731,NA,NA,NA,39.1018760900797,57.4744981566492,NA,NA,1,NA,0,1,NA,0.188524961471558,NA
5,"correct_model","tmle","m2",1218,46.5729870014678,-3.42701299853224,53500.9363365454,5.1720854757315,NA,NA,NA,36.4358857440713,56.7100882588642,NA,NA,1,NA,0,1,NA,0.184689998626709,NA
6,"correct_model","tmle","m2",1198,52.5544635054825,2.55446350548247,53456.0079427964,5.16991334273585,NA,NA,NA,42.4216195505271,62.6873074604378,NA,NA,1,NA,0,1,NA,0.18166708946228,NA
7,"correct_model","tmle","m2",1192,48.4037187142227,-1.59628128577727,51460.8664480701,5.07251744442885,NA,NA,NA,38.461767212191,58.3456702162544,NA,NA,1,NA,0,1,NA,0.180465936660767,NA
8,"correct_model","tmle","m2",1209,49.2530801405902,-0.746919859409836,52975.0343902395,5.14660249049018,NA,NA,NA,39.1659246164853,59.3402356646951,NA,NA,1,NA,0,1,NA,0.179190635681152,NA
9,"correct_model","tmle","m2",1209,61.3686324164499,11.3686324164499,50641.3923463901,5.03196742568899,NA,NA,NA,51.5061574907207,71.231107342179,NA,NA,0,NA,1,1,NA,0.180514574050903,NA
10,"correct_model","tmle","m2",1211,58.6451640650014,8.64516406500136,48004.6205476825,4.89921527122878,NA,NA,NA,49.0428785808843,68.2474495491184,NA,NA,1,NA,0,1,NA,0.077688455581665,NA
