"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"rf","tmle","m2",1219,55.736210082448,5.73621008244803,10939.7285714216,2.33877409890541,NA,NA,NA,51.1522970806183,60.3201230842778,NA,NA,0,NA,1,1,NA,1.58988952636719,NA
2,"rf","tmle","m2",1223,58.5963443836948,8.59634438369477,10718.311467017,2.31498503958632,NA,NA,NA,54.0590570813566,63.133631686033,NA,NA,0,NA,1,1,NA,1.57286047935486,NA
3,"rf","tmle","m2",1213,60.414772292012,10.414772292012,10910.7021313216,2.33566929715249,NA,NA,NA,55.8369445897971,64.9925999942268,NA,NA,0,NA,1,1,NA,1.56612372398376,NA
4,"rf","tmle","m2",1218,57.2450107309061,7.2450107309061,15876.587877955,2.81749781525692,NA,NA,NA,51.7228164864823,62.7672049753299,NA,NA,0,NA,1,1,NA,1.59831094741821,NA
5,"rf","tmle","m2",1198,57.8134241765011,7.81342417650111,12283.4504884048,2.47825044016991,NA,NA,NA,52.9561425690975,62.6707057839047,NA,NA,0,NA,1,1,NA,1.54560542106628,NA
6,"rf","tmle","m2",1252,59.8111948065066,9.81119480650656,12886.4020398396,2.53834611901525,NA,NA,NA,54.8361278329396,64.7862617800735,NA,NA,0,NA,1,1,NA,1.64078259468079,NA
7,"rf","tmle","m2",1258,58.7965555662683,8.79655556626834,12730.8094029263,2.52297536679674,NA,NA,NA,53.851614713465,63.7414964190717,NA,NA,0,NA,1,1,NA,1.5444598197937,NA
8,"rf","tmle","m2",1218,59.7909065599725,9.79090655997247,11160.9052112179,2.36229816187731,NA,NA,NA,55.1608872419478,64.4209258779972,NA,NA,0,NA,1,1,NA,1.58046984672546,NA
9,"rf","tmle","m2",1205,62.323463220629,12.323463220629,12003.0517739206,2.44980119335433,NA,NA,NA,57.5219411123713,67.1249853288868,NA,NA,0,NA,1,1,NA,1.54713726043701,NA
10,"rf","tmle","m2",1291,61.9444883825215,11.9444883825215,10813.4127895912,2.32523254639091,NA,NA,NA,57.3871163359149,66.501860429128,NA,NA,0,NA,1,1,NA,1.32203793525696,NA
11,"rf","tmle","m2",1214,59.0639248942152,9.06392489421519,11258.6717180411,2.37262214838784,NA,NA,NA,54.413670934453,63.7141788539774,NA,NA,0,NA,1,1,NA,1.22823667526245,NA
12,"rf","tmle","m2",1227,58.3830134393096,8.3830134393096,10695.6808708165,2.31253982352916,NA,NA,NA,53.8505186723778,62.9155082062414,NA,NA,0,NA,1,1,NA,1.3190598487854,NA
13,"rf","tmle","m2",1215,59.4861866550041,9.48618665500413,11105.9445443918,2.35647454308251,NA,NA,NA,54.8675814200769,64.1047918899313,NA,NA,0,NA,1,1,NA,1.28660130500793,NA
