"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","replicate_time_sec","covered_mc_mean_95"
1,"lm","tmle","m2",305,60.5928734692772,10.5928734692772,20535.0945381784,6.40860273978321,NA,NA,NA,48.0322429080774,73.153504030477,NA,NA,1,NA,0,1,NA,0.184973001480103,NA
2,"lm","tmle","m2",326,61.4630750879582,11.4630750879582,25386.6956581022,7.12554498380331,NA,NA,NA,47.4972635494837,75.4288866264327,NA,NA,1,NA,0,1,NA,0.176865816116333,NA
3,"lm","tmle","m2",316,62.5220983177832,12.5220983177832,24096.8700213024,6.9421711331978,NA,NA,NA,48.9156929222019,76.1285037133645,NA,NA,1,NA,0,1,NA,0.169259548187256,NA
4,"lm","tmle","m2",307,58.2469956008018,8.24699560080175,21743.3390444591,6.59444297032874,NA,NA,NA,45.3221248808541,71.1718663207494,NA,NA,1,NA,0,1,NA,0.161784172058105,NA
5,"lm","tmle","m2",303,56.8313216674772,6.8313216674772,22546.7731297213,6.71517283913397,NA,NA,NA,43.669824752813,69.9928185821414,NA,NA,1,NA,0,1,NA,0.157527446746826,NA
6,"lm","tmle","m2",315,63.837246330435,13.837246330435,26665.3413552356,7.30278595540574,NA,NA,NA,49.5240488710348,78.1504437898352,NA,NA,1,NA,0,1,NA,0.169503211975098,NA
7,"lm","tmle","m2",289,62.798395593302,12.798395593302,20926.2343560314,6.46934839934153,NA,NA,NA,50.1187057271508,75.4780854594532,NA,NA,0,NA,1,1,NA,0.164057016372681,NA
8,"lm","tmle","m2",308,60.6216406719562,10.6216406719562,22993.1113455439,6.7813142303751,NA,NA,NA,47.3305090125721,73.9127723313404,NA,NA,1,NA,0,1,NA,0.161632061004639,NA
9,"lm","tmle","m2",301,52.9171455654818,2.9171455654818,20590.3467267015,6.41721851376459,NA,NA,NA,40.3396283975796,65.494662733384,NA,NA,1,NA,0,1,NA,0.163508653640747,NA
10,"lm","tmle","m2",302,72.3279679224471,22.3279679224471,35937.9174375211,8.47796171700735,NA,NA,NA,55.7114682948034,88.9444675500909,NA,NA,0,NA,1,1,NA,0.0606086254119873,NA
11,"lm","tmle","m2",296,66.3942964259307,16.3942964259307,27084.7858929521,7.35999808328128,NA,NA,NA,51.9689652564156,80.8196275954459,NA,NA,0,NA,1,1,NA,0.0597763061523438,NA
12,"lm","tmle","m2",308,61.3415394591118,11.3415394591118,26026.95663288,7.21483979487833,NA,NA,NA,47.200713306924,75.4823656112997,NA,NA,1,NA,0,1,NA,0.059685230255127,NA
13,"lm","tmle","m2",295,67.0304405763545,17.0304405763545,28293.3717372598,7.52241606629941,NA,NA,NA,52.2867760096821,81.7741051430268,NA,NA,0,NA,1,1,NA,0.0618727207183838,NA
14,"lm","tmle","m2",310,68.2166841047723,18.2166841047723,42431.8551082089,9.21215014078786,NA,NA,NA,50.1612016086525,86.272166600892,NA,NA,0,NA,1,1,NA,0.0598714351654053,NA
15,"lm","tmle","m2",297,74.6849341316902,24.6849341316902,40683.4083473153,9.02035568559414,NA,NA,NA,57.0053618601846,92.3645064031958,NA,NA,0,NA,1,1,NA,0.0627322196960449,NA
16,"lm","tmle","m2",295,63.5543819215873,13.5543819215873,30610.9724580432,7.82444534239241,NA,NA,NA,48.218750851496,78.8900129916786,NA,NA,1,NA,0,1,NA,0.0598785877227783,NA
17,"lm","tmle","m2",300,59.4073332102066,9.40733321020656,23462.9080659295,6.85024204914389,NA,NA,NA,45.9811055085027,72.8335609119104,NA,NA,1,NA,0,1,NA,0.0614771842956543,NA
18,"lm","tmle","m2",286,51.8389511017191,1.8389511017191,22665.4477261693,6.73282225016662,NA,NA,NA,38.6428619770826,65.0350402263556,NA,NA,1,NA,0,1,NA,0.0623946189880371,NA
19,"lm","tmle","m2",315,52.9612981171694,2.96129811716937,22768.5095303027,6.74811225903996,NA,NA,NA,39.7352411258178,66.1873551085209,NA,NA,1,NA,0,1,NA,0.084179162979126,NA
20,"lm","tmle","m2",304,52.2887554915451,2.28875549154515,23804.0067699911,6.89985605212038,NA,NA,NA,38.7652861308785,65.8122248522118,NA,NA,1,NA,0,1,NA,0.0861365795135498,NA
21,"lm","tmle","m2",292,64.9479523673687,14.9479523673687,65341.0305559458,11.4316254798647,NA,NA,NA,42.5423781420835,87.3535265926539,NA,NA,1,NA,0,1,NA,0.0836300849914551,NA
22,"lm","tmle","m2",308,60.3785691997612,10.3785691997612,22431.914737779,6.69804669105538,NA,NA,NA,47.250638918525,73.5064994809974,NA,NA,1,NA,0,1,NA,0.0894198417663574,NA
23,"lm","tmle","m2",304,60.2398510141821,10.2398510141821,21839.1266991563,6.60895251899365,NA,NA,NA,47.2865421014192,73.1931599269449,NA,NA,1,NA,0,1,NA,0.085050106048584,NA
24,"lm","tmle","m2",303,61.2730335019521,11.2730335019521,32498.8444738558,8.06211442164595,NA,NA,NA,45.4715795962851,77.0744874076191,NA,NA,1,NA,0,1,NA,0.0891857147216797,NA
25,"lm","tmle","m2",302,61.6059896028395,11.6059896028395,30348.1402523821,7.79078176467319,NA,NA,NA,46.3363379326687,76.8756412730104,NA,NA,1,NA,0,1,NA,0.0867559909820557,NA
