"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
1,"bart","two_stage","m1",619,52.5907063303884,2.5907063303884,NA,NA,7.59188968228527,-1.29678275984398,53.8874890902324,37.710875978508,67.4705366822688,39.007658738352,68.7673194421127,1,1,0,1,432.764276981354,"bootstrap",437.864468097687,NA
2,"bart","two_stage","m1",612,52.984835571063,2.98483557106295,NA,NA,7.4163913032778,-2.39122961110145,55.3760651821644,38.4489757213824,67.5206954207435,40.8402053324838,69.911925031845,1,1,0,1,436.837911605835,"bootstrap",442.051835298538,NA
3,"bart","two_stage","m1",603,50.3087400918217,0.308740091821711,NA,NA,6.44805433222697,-1.03213503815654,51.3408751299783,37.6707858302994,62.946694353344,38.7029208684559,63.9788293915006,1,1,0,1,446.0397772789,"bootstrap",451.274788141251,NA
4,"bart","two_stage","m1",617,49.3785747720659,-0.621425227934125,NA,NA,6.6548602136823,-2.2121354724746,51.5907102445405,36.3352884311,62.4218611130317,38.5474239035746,64.6339965855063,1,1,0,1,431.692378044128,"bootstrap",436.854738473892,NA
5,"bart","two_stage","m1",611,45.0991833788574,-4.90081662114264,NA,NA,5.96163035557492,-1.52785605507295,46.6270394339303,33.4146025927898,56.7837641649249,34.9424586478628,58.3116202199979,1,1,0,1,444.239487409592,"bootstrap",449.52303647995,NA
6,"bart","two_stage","m1",611,47.4419047396744,-2.55809526032557,NA,NA,7.28331606608163,-2.35908436266995,49.8009891023444,33.1668675621325,61.7169419172164,35.5259519248024,64.0760262798863,1,1,0,1,444.244204759598,"bootstrap",449.478134155273,NA
7,"bart","two_stage","m1",611,46.5565615208241,-3.44343847917587,NA,NA,6.92050343192195,-0.964497579708642,47.5210591005328,32.9926240393713,60.120499002277,33.9571216190799,61.0849965819856,1,1,0,1,438.681610822678,"bootstrap",443.914888143539,NA
8,"bart","two_stage","m1",613,67.1571330891841,17.1571330891841,NA,NA,7.65551341314576,-3.62573679345982,70.782869882644,52.1526025162551,82.1616636621131,55.778339309715,85.7874004555729,0,0,1,1,443.864223241806,"bootstrap",449.117022514343,NA
9,"bart","two_stage","m1",603,63.7286460942319,13.7286460942319,NA,NA,7.75059364110889,-3.91690307397265,67.6455491682046,48.5377616988534,78.9195304896105,52.454664772826,82.8364335635832,1,0,0,1,434.539838552475,"bootstrap",439.107921361923,NA
10,"bart","two_stage","m1",621,56.7855287559724,6.78552875597236,NA,NA,6.06884736430177,-3.82651952173643,60.6120482777088,44.8908064942701,68.6802510176747,48.7173260160065,72.5067705394111,1,1,0,1,441.684720754623,"bootstrap",446.911628007889,NA
