"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
1,"lm_interact","two_stage","m1",619,49.841235578483,-0.158764421516992,NA,NA,6.71862264619683,1.12633643190802,48.714899146575,36.672977166222,63.009493990744,35.546640734314,61.883157558836,1,1,0,1,1.51349520683289,"bootstrap",1.62071442604065,NA
2,"lm_interact","two_stage","m1",612,51.353958039882,1.35395803988197,NA,NA,6.63374362954717,0.319613401446617,51.0343446384354,38.3520594432975,64.3558566364664,38.0324460418509,64.0362432350198,1,1,0,1,1.50351190567017,"bootstrap",1.60969805717468,NA
3,"lm_interact","two_stage","m1",603,50.3395392725315,0.339539272531468,NA,NA,6.27776628371598,0.330606061936678,50.0089332105948,38.0353434530883,62.6437350919746,37.7047373911516,62.313129030038,1,1,0,1,1.50479006767273,"bootstrap",1.61030673980713,NA
4,"lm_interact","two_stage","m1",617,45.466978452508,-4.53302154749204,NA,NA,6.56216304581222,2.3604099639585,43.1065684885495,32.6053752220364,58.3285816829796,30.2449652580778,55.9681717190211,1,1,0,1,1.49194717407227,"bootstrap",1.59889888763428,NA
5,"lm_interact","two_stage","m1",611,43.399336808609,-6.60066319139099,NA,NA,6.89722384169356,-0.700675592636564,44.1000124012456,29.8810264855786,56.9176471316394,30.5817020782152,57.6183227242759,1,1,0,1,1.49458861351013,"bootstrap",1.60103321075439,NA
6,"lm_interact","two_stage","m1",611,44.0276256658387,-5.97237433416129,NA,NA,7.26432793318266,-0.133037957976626,44.1606636238153,29.7898045449124,58.265446786765,29.922842502889,58.3984847447416,1,1,0,1,1.49943399429321,"bootstrap",1.60616230964661,NA
7,"lm_interact","two_stage","m1",611,46.2506107769407,-3.74938922305933,NA,NA,6.89252503419176,2.05398231705148,44.1966284598892,32.7415099473841,59.7597116064972,30.6875276303326,57.7057292894457,1,1,0,1,1.49870800971985,"bootstrap",1.60493874549866,NA
8,"lm_interact","two_stage","m1",613,67.5997844990762,17.5997844990762,NA,NA,8.63499215238829,-1.16637102152661,68.7661555206028,50.6755108736091,84.5240581245432,51.8418818951357,85.6904291460698,0,0,1,1,1.50085854530334,"bootstrap",1.60688495635986,NA
9,"lm_interact","two_stage","m1",603,61.065837086441,11.065837086441,NA,NA,7.44018726547122,-0.940702033883454,62.0065391203244,46.4833380078839,75.6483361649981,47.4240400417673,76.5890381988816,1,1,0,1,1.49003314971924,"bootstrap",1.59493803977966,NA
10,"lm_interact","two_stage","m1",621,54.5049211353335,4.5049211353335,NA,NA,5.79406049087696,-2.1316957991164,56.6366169344499,43.1487712489682,65.8610710216988,45.2804670480846,67.9927668208152,1,1,0,1,1.50220346450806,"bootstrap",1.60783052444458,NA
