"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
1,"lm","two_stage","m1",619,50.4854093426182,0.485409342618198,NA,NA,6.77727418083063,0.481125446778194,50.00428389584,37.202196034837,63.7686226503994,36.7210705880588,63.2874972036212,1,1,0,1,1.46755003929138,"bootstrap",1.53327918052673,NA
2,"lm","two_stage","m1",612,51.5891044787219,1.58910447872187,NA,NA,6.78098737954768,0.203335426771034,51.3857690519508,38.2986134351878,64.879595522256,38.0952780084168,64.6762600954849,1,1,0,1,1.46504783630371,"bootstrap",1.52987623214722,NA
3,"lm","two_stage","m1",603,51.1637654229154,1.16376542291535,NA,NA,6.21845557713641,-0.864141607483816,52.0279070303992,38.9758164522658,63.351714393565,39.8399580597496,64.2158560010488,1,1,0,1,1.45966696739197,"bootstrap",1.52520322799683,NA
4,"lm","two_stage","m1",617,45.8800188947576,-4.11998110524238,NA,NA,6.39251747751513,2.06136825381596,43.8186506409417,33.3509148682851,58.4091229212301,31.2895466144692,56.3477546674141,1,1,0,1,1.44977688789368,"bootstrap",1.51464080810547,NA
5,"lm","two_stage","m1",611,43.325165068558,-6.67483493144204,NA,NA,6.8074669779503,-0.743870289327937,44.0690353578859,29.9827749658297,56.6675551712863,30.7266452551576,57.4114254606142,1,1,0,1,1.45252442359924,"bootstrap",1.51728439331055,NA
6,"lm","two_stage","m1",611,43.9792005178929,-6.02079948210714,NA,NA,7.34227231771418,-0.258527028373827,44.2377275462667,29.5886112104876,58.3697898252981,29.8471382388615,58.6283168536719,1,1,0,1,1.54935264587402,"bootstrap",1.61450934410095,NA
7,"lm","two_stage","m1",611,47.1611500624693,-2.83884993753072,NA,NA,6.78550789007961,1.51573852666183,45.6454115358074,33.8617989811009,60.4605011438377,32.346060454439,58.9447626171758,1,1,0,1,1.45885300636292,"bootstrap",1.52352428436279,NA
8,"lm","two_stage","m1",613,65.3528060935431,15.3528060935431,NA,NA,8.49637868336736,1.04121590944756,64.3115901840955,48.7002098751292,82.0054023119569,47.6589939656816,80.9641864025094,1,1,0,1,1.46066904067993,"bootstrap",1.5257682800293,NA
9,"lm","two_stage","m1",603,60.0370430319097,10.0370430319097,NA,NA,7.36573027830118,-0.196863659284404,60.2339066911941,45.6004769666032,74.4736090972162,45.7973406258876,74.6704727565006,1,1,0,1,1.44928503036499,"bootstrap",1.51395726203918,NA
10,"lm","two_stage","m1",621,53.2927073659359,3.29270736593588,NA,NA,5.75462278231731,-0.679126509121176,53.9718338750571,42.0138539679803,64.5715607638915,42.6929804771015,65.2506872730127,1,1,0,1,1.4598925113678,"bootstrap",1.52489829063416,NA
11,"lm","two_stage","m1",610,47.8962092232831,-2.10379077671686,NA,NA,6.05485190313881,0.242128369952674,47.6540808533305,36.0289175614073,59.763500885159,35.7867891914546,59.5213725152063,1,1,0,1,1.4828884601593,"bootstrap",1.5037899017334,NA
12,"lm","two_stage","m1",603,51.3372343511486,1.33723435114864,NA,NA,8.24975842315825,-0.214250100906789,51.5514844520554,35.1680049606025,67.5064637416948,35.3822550615093,67.7207138426016,1,1,0,1,1.49617218971252,"bootstrap",1.50923037528992,NA
13,"lm","two_stage","m1",598,58.8792068596787,8.87920685967872,NA,NA,6.44433462577748,-0.14403362580601,59.0232404854847,46.2485430888305,71.509870630527,46.3925767146365,71.653904256333,1,1,0,1,1.48184990882874,"bootstrap",1.49581217765808,NA
14,"lm","two_stage","m1",578,50.5877216229513,0.587721622951307,NA,NA,7.29606911620143,1.27753692571274,49.3101846972386,36.2876889264815,64.8877543194211,35.0101520007688,63.6102173937084,1,1,0,1,1.38386535644531,"bootstrap",1.4050133228302,NA
15,"lm","two_stage","m1",601,48.5546910067974,-1.44530899320264,NA,NA,6.41181287621602,-0.838759495312701,49.3934505021101,35.9877686938038,61.1216133197909,36.8265281891165,61.9603728151036,1,1,0,1,1.48000884056091,"bootstrap",1.49346423149109,NA
16,"lm","two_stage","m1",611,58.1268376181765,8.12683761817645,NA,NA,6.71782074282461,0.399397989811945,57.7274396283645,44.9601509076441,71.2935243287088,44.5607529178322,70.8941263388968,1,1,0,1,1.43648409843445,"bootstrap",1.45040130615234,NA
17,"lm","two_stage","m1",618,58.5261688820151,8.52616888201511,NA,NA,7.65566630520107,-0.454310821868631,58.9804797038837,43.5213386461642,73.530999117866,43.9756494680328,73.9853099397347,1,1,0,1,1.48354744911194,"bootstrap",1.50500345230103,NA
18,"lm","two_stage","m1",615,66.3338959051397,16.3338959051397,NA,NA,7.0104632177453,1.25257091980272,65.081324985337,52.5936404834162,80.0741513268633,51.3410695636134,78.8215804070606,0,0,1,1,1.48121953010559,"bootstrap",1.50189256668091,NA
19,"lm","two_stage","m1",611,44.9042797192423,-5.0957202807577,NA,NA,5.54138397204339,0.58891057960583,44.3153691396365,34.0433667095298,55.7651927289548,33.4544561299239,55.176282149349,1,1,0,1,1.4745626449585,"bootstrap",1.49576878547668,NA
20,"lm","two_stage","m1",613,50.9541105184127,0.954110518412733,NA,NA,6.80614232738595,-0.133670278994614,51.0877807974073,37.6143166830827,64.2939043537428,37.7479869620773,64.4275746327374,1,1,0,1,1.48438668251038,"bootstrap",1.49668097496033,NA
21,"lm","two_stage","m1",631,47.5462860216185,-2.45371397838152,NA,NA,6.52828200033259,-1.02336583006624,48.5696518516847,34.7510884200455,60.3414836231914,35.7744542501118,61.3648494532577,1,1,0,1,1.41641330718994,"bootstrap",1.42835283279419,NA
22,"lm","two_stage","m1",574,49.6969813926059,-0.303018607394065,NA,NA,6.27488123422638,0.618530131070038,49.0784512615359,37.398440166256,61.9955226189559,36.779910035186,61.3769924878858,1,1,0,1,1.41421294212341,"bootstrap",1.4265468120575,NA
23,"lm","two_stage","m1",593,53.230959821439,3.23095982143899,NA,NA,6.68111471467919,0.38442509373337,52.8465347277056,40.1362156040872,66.3257040387908,39.7517905103538,65.9412789450574,1,1,0,1,1.41347408294678,"bootstrap",1.4262170791626,NA
24,"lm","two_stage","m1",595,40.724173770003,-9.27582622999701,NA,NA,7.41679050441678,0.688796861792987,40.03537690821,26.1875315004675,55.2608160395385,25.4987346386745,54.5720191777455,1,1,0,1,1.40126895904541,"bootstrap",1.4140944480896,NA
