"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
1,"rf","two_stage","m1",619,51.5350975127815,1.53509751278155,NA,NA,5.86686173927898,-3.78244399968958,55.3175415124711,40.0362598015187,63.0339352240444,43.8187038012083,66.8163792237339,1,1,0,1,48.4693624973297,"bootstrap",49.2444713115692,NA
2,"rf","two_stage","m1",612,56.2375291480483,6.23752914804833,NA,NA,6.8148771066577,-8.71999882997458,64.9575279780229,42.8806154599327,69.5944428361639,51.6006142899073,78.3144416661385,1,0,0,1,47.7304298877716,"bootstrap",48.4440989494324,NA
3,"rf","two_stage","m1",603,51.8426385460664,1.84263854606644,NA,NA,6.274239658377,-7.14829156528586,58.9909301113523,39.5453547852746,64.1399223068582,46.6936463505605,71.2882138721441,1,1,0,1,47.4619786739349,"bootstrap",48.2106761932373,NA
4,"rf","two_stage","m1",617,50.7429092377833,0.742909237783316,NA,NA,5.22235880913857,-5.59332655360974,56.3362357913931,40.5072740575262,60.9785444180404,46.100600611136,66.5718709716501,1,1,0,1,48.0698070526123,"bootstrap",48.8156406879425,NA
5,"rf","two_stage","m1",611,48.0003010323402,-1.99969896765979,NA,NA,6.5048756329152,-8.82315667655162,56.8234577088918,35.2509790679142,60.7496229967662,44.0741357444658,69.5727796733178,1,1,0,1,48.5158004760742,"bootstrap",49.2193868160248,NA
6,"rf","two_stage","m1",611,45.5638347083599,-4.43616529164014,NA,NA,6.81193693343875,-6.78086272250981,52.3446974308697,32.2126836538617,58.914985762858,38.9935463763715,65.6958484853678,1,1,0,1,47.9821863174438,"bootstrap",48.7058041095734,NA
7,"rf","two_stage","m1",611,52.1322911648642,2.13229116486422,NA,NA,5.51057938509607,-7.57690754772968,59.7091987125939,41.331754036127,62.9328282936014,48.9086615838567,70.5097358413311,1,1,0,1,48.2203233242035,"bootstrap",48.926506280899,NA
8,"rf","two_stage","m1",613,68.9824453743133,18.9824453743133,NA,NA,8.67224830029706,-9.37058685739683,78.3530322317101,51.9851510407424,85.9797397078842,61.3557378981392,95.3503265652811,0,0,1,1,47.9173970222473,"bootstrap",48.6555032730103,NA
9,"rf","two_stage","m1",603,60.9861764381016,10.9861764381016,NA,NA,6.48592636642438,-6.39358974674477,67.3797661848464,48.2739943535311,73.6983585226721,54.6675841002759,80.0919482694169,1,0,0,1,46.9150483608246,"bootstrap",47.637033700943,NA
10,"rf","two_stage","m1",621,54.0985850569204,4.09858505692038,NA,NA,6.0183214778243,-2.88768886630956,56.9862739232299,42.3028917130009,65.8942784008399,45.1905805793104,68.7819672671494,1,1,0,1,48.6711776256561,"bootstrap",49.3890497684479,NA
11,"rf","two_stage","m1",610,51.3055528135396,1.30555281353963,NA,NA,6.79981528109051,-7.15776645304872,58.4633192665884,37.9781597610771,64.6329458660021,45.1359262141259,71.7907123190509,1,1,0,1,46.8748276233673,"bootstrap",47.352481842041,NA
12,"rf","two_stage","m1",603,54.6090019848472,4.60900198484715,NA,NA,6.80836632400728,-7.97478866781714,62.5837906526643,41.2648491962375,67.9531547734568,49.2396378640547,75.9279434412739,1,1,0,1,46.6058344841003,"bootstrap",47.0734033584595,NA
13,"rf","two_stage","m1",598,59.956009083878,9.95600908387801,NA,NA,6.87309063731073,-5.08869093280485,65.0447000166829,46.4849989722695,73.4270191954865,51.5736899050744,78.5157101282913,1,0,0,1,46.018575668335,"bootstrap",46.5001413822174,NA
14,"rf","two_stage","m1",578,51.0179363567767,1.0179363567767,NA,NA,7.29372115040787,-5.2270435413991,56.2449798981758,36.7225055886992,65.3133671248542,41.9495491300983,70.5404106662533,1,1,0,1,44.6487004756927,"bootstrap",45.0716786384583,NA
