"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
1,"unadj","two_stage","m1",619,61.7272340278999,11.7272340278999,NA,NA,6.94333766411571,0.898765367721822,60.828468660178,48.1185422737326,75.3359257820671,47.2197769060108,74.4371604143453,1,1,0,1,0.75464653968811,"bootstrap",0.755939483642578,NA
2,"unadj","two_stage","m1",612,62.1468029951211,12.1468029951211,NA,NA,6.39035165846425,-0.534382710027522,62.6811857051487,49.6219438959854,74.6716620942569,50.1563266060129,75.2060448042844,1,0,0,1,0.75725531578064,"bootstrap",0.758545160293579,NA
3,"unadj","two_stage","m1",603,55.6719148992402,5.67191489924025,NA,NA,7.4968852994536,-0.0208113453556891,55.6927262445959,40.9782897160834,70.3655400823971,40.9991010614391,70.3863514277528,1,1,0,1,0.756690263748169,"bootstrap",0.758072137832642,NA
4,"unadj","two_stage","m1",617,51.7244074232054,1.72440742320538,NA,NA,7.67193078923277,-0.0779947586140466,51.8024021818194,36.6876993844252,66.7611154619856,36.7656941430393,66.8391102205996,1,1,0,1,0.753879070281982,"bootstrap",0.75513768196106,NA
5,"unadj","two_stage","m1",611,52.3040349540363,2.3040349540363,NA,NA,6.43864650821621,-0.995525226177598,53.2995601802139,39.684519688748,64.9235502193246,40.6800449149256,65.9190754455022,1,1,0,1,0.753821849822998,"bootstrap",0.755052328109741,NA
6,"unadj","two_stage","m1",611,54.7237512728974,4.72375127289743,NA,NA,7.95422100399108,0.0897801473584252,54.633971125539,39.1337645800029,70.313737965792,39.0439844326445,70.2239578184335,1,1,0,1,0.754683971405029,"bootstrap",0.755916833877563,NA
7,"unadj","two_stage","m1",611,59.0494213597583,9.04942135975833,NA,NA,7.14929222287659,1.59841792886964,57.4510034308887,45.0370660879679,73.0617766315488,43.4386481590983,71.4633587026791,1,1,0,1,0.753624677658081,"bootstrap",0.755040645599365,NA
8,"unadj","two_stage","m1",613,76.9102999799999,26.9102999799999,NA,NA,8.08474134108535,0.467719363008555,76.4425806169913,61.0644981271506,92.7561018328492,60.596778764142,92.2883824698407,0,0,1,1,0.760680437088013,"bootstrap",0.761980295181274,NA
9,"unadj","two_stage","m1",603,66.2166878826598,16.2166878826598,NA,NA,7.39655821682843,0.433790477698594,65.7828974049612,51.7197001681222,80.7136755971973,51.2859096904237,80.2798851194987,0,0,1,1,0.755506753921509,"bootstrap",0.756695508956909,NA
10,"unadj","two_stage","m1",621,64.0188198865397,14.0188198865397,NA,NA,6.84059234056121,-0.524624588697868,64.5434444752376,50.6115052661192,77.4261345069603,51.1361298548171,77.9507590956581,0,0,1,1,0.754270076751709,"bootstrap",0.755387306213379,NA
11,"unadj","two_stage","m1",610,52.7805451585632,2.78054515856317,NA,NA,6.74062597382981,0.605734619203083,52.1748105393601,39.5691610166015,65.9919293005248,38.9634263973984,65.3861946813217,1,1,0,1,0.0850892066955566,"bootstrap",0.085594654083252,NA
12,"unadj","two_stage","m1",603,65.6765871006271,15.6765871006271,NA,NA,8.53946722736062,0.132850942648432,65.5437361579787,48.9395388878402,82.4136353134141,48.8066879451918,82.2807843707656,1,1,0,1,0.085376501083374,"bootstrap",0.0860028266906738,NA
13,"unadj","two_stage","m1",598,65.969524753702,15.969524753702,NA,NA,7.00657190282101,0.886631943981115,65.0828928097209,52.2368961690826,79.7021533383215,51.3502642251015,78.8155213943404,0,0,1,1,0.085230827331543,"bootstrap",0.0857317447662354,NA
14,"unadj","two_stage","m1",578,59.860318360569,9.86031836056904,NA,NA,7.88085459273452,-0.906090520799729,60.7664088813688,44.4141271914123,75.3065095297258,45.320217712212,76.2126000505255,1,1,0,1,0.0843300819396973,"bootstrap",0.0848064422607422,NA
15,"unadj","two_stage","m1",601,54.5337092792411,4.53370927924109,NA,NA,7.30532010366662,-1.09129932416293,55.625008603404,40.2155449805181,68.8518735779641,41.3068443046811,69.943172902127,1,1,0,1,0.0847873687744141,"bootstrap",0.0852622985839844,NA
16,"unadj","two_stage","m1",611,68.6693278599015,18.6693278599015,NA,NA,7.73704178028471,0.7879802857247,67.8813475741768,53.5050046236618,83.8336510961412,52.7170243379371,83.0456708104165,0,0,1,1,0.0846626758575439,"bootstrap",0.0851385593414307,NA
17,"unadj","two_stage","m1",618,67.4259665225152,17.4259665225152,NA,NA,7.59735713933144,-0.381770836965444,67.8077373594807,52.5354201517373,82.3165128932931,52.9171909887028,82.6982837302585,0,0,1,1,0.0854499340057373,"bootstrap",0.0859348773956299,NA
18,"unadj","two_stage","m1",615,74.6950353080672,24.6950353080672,NA,NA,6.99547061899149,0.728984531646248,73.966050776421,60.9841648399358,88.4059057761987,60.2551803082896,87.6769212445524,0,0,1,1,0.0851426124572754,"bootstrap",0.0856318473815918,NA
19,"unadj","two_stage","m1",611,51.8393170317323,1.83931703173235,NA,NA,7.05473724466093,0.0755347635391743,51.7637822681932,38.0122861118036,65.6663479516611,37.9367513482644,65.5908131881219,1,1,0,1,0.0849411487579346,"bootstrap",0.0853893756866455,NA
20,"unadj","two_stage","m1",613,60.9469575739973,10.9469575739973,NA,NA,6.51392271008218,0.052754893395317,60.894202680602,48.1799036641587,73.714011483836,48.1271487707634,73.6612565904406,1,1,0,1,0.0857512950897217,"bootstrap",0.0862164497375488,NA
21,"unadj","two_stage","m1",631,54.7939885576879,4.79398855768792,NA,NA,7.86635205403686,-0.290075453384567,55.0840640110725,39.376221842063,70.2117552733128,39.6662972954476,70.5018307266974,1,1,0,1,0.0917513370513916,"bootstrap",0.0921897888183594,NA
22,"unadj","two_stage","m1",574,57.5383774621602,7.53837746216024,NA,NA,6.64688671012574,-0.68540408047194,58.2237815426322,44.5107189009959,70.5660360233246,45.1961229814678,71.2514401037965,1,1,0,1,0.0915701389312744,"bootstrap",0.0920319557189941,NA
23,"unadj","two_stage","m1",593,58.5054920459833,8.50549204598326,NA,NA,7.33076150779536,0.305106861779748,58.2003851842035,44.1374635114518,72.8735205805147,43.8323566496721,72.568413718735,1,1,0,1,0.0913553237915039,"bootstrap",0.0918593406677246,NA
24,"unadj","two_stage","m1",595,50.188098523297,0.188098523297043,NA,NA,6.09749448784204,-1.65798085683904,51.8460793801361,38.2372289311952,62.1389681153989,39.8952097880342,63.796948972238,1,1,0,1,0.0913064479827881,"bootstrap",0.09175705909729,NA
25,"unadj","two_stage","m1",617,50.8019924723916,0.801992472391646,NA,NA,7.4836734013642,0.151675769503782,50.6503167028879,36.1342621336574,65.4697228111258,35.9825863641537,65.3180470416221,1,1,0,1,0.090693473815918,"bootstrap",0.0911662578582764,NA
26,"unadj","two_stage","m1",616,65.4323954472307,15.4323954472307,NA,NA,7.80636897521033,0.90152405250241,64.5308713947283,50.1321934057876,80.7325974886738,49.2306693532852,79.8310734361714,0,1,1,1,0.09153151512146,"bootstrap",0.0920023918151855,NA
27,"unadj","two_stage","m1",613,51.7677683293894,1.76776832938941,NA,NA,7.32572769590553,0.190733942379403,51.57703438701,37.409605884867,66.1259307739118,37.2188719424876,65.9351968315325,1,1,0,1,0.0912609100341797,"bootstrap",0.0917277336120605,NA
28,"unadj","two_stage","m1",607,60.1992334757477,10.1992334757477,NA,NA,7.8022451985069,0.852551165305016,59.3466823104427,44.9071138881236,75.4913530633718,44.0545627228186,74.6388018980668,1,1,0,1,0.0914876461029053,"bootstrap",0.0919826030731201,NA
29,"unadj","two_stage","m1",630,57.5147009146869,7.5147009146869,NA,NA,7.65596119325214,0.363404704704443,57.1512962099825,42.5092927088764,72.5201091204974,42.145888004172,72.1567044157929,1,1,0,1,0.0917599201202393,"bootstrap",0.0922067165374756,NA
30,"unadj","two_stage","m1",608,59.3585575951533,9.35855759515326,NA,NA,7.18881749893968,0.0696357566234056,59.2889218385299,45.2687342058002,73.4483809845063,45.1990984491768,73.3787452278829,1,1,0,1,0.0915749073028564,"bootstrap",0.0920383930206299,NA
31,"unadj","two_stage","m1",594,57.0368262761886,7.03682627618863,NA,NA,7.47008001903556,-0.338802953910722,57.3756292300994,42.3957384772467,71.6779140751306,42.7345414311574,72.0167170290413,1,1,0,1,0.0897376537322998,"bootstrap",0.0901949405670166,NA
32,"unadj","two_stage","m1",623,60.2356708191412,10.2356708191412,NA,NA,6.5847168295724,-0.0742531715682588,60.3099239907095,47.3298629847845,73.1414786534979,47.4041161563528,73.2157318250661,1,1,0,1,0.0884954929351807,"bootstrap",0.0889809131622314,NA
33,"unadj","two_stage","m1",609,63.3234900349311,13.3234900349311,NA,NA,7.32393555650154,0.903006466110782,62.4204835688203,48.9688401190957,77.6781399507664,48.0658336529849,76.7751334846556,1,1,0,1,0.0886480808258057,"bootstrap",0.0891504287719727,NA
34,"unadj","two_stage","m1",585,54.5617217062101,4.56172170621014,NA,NA,6.35603116567061,0.411454986042351,54.1502667201678,42.1041295368816,67.0193138755387,41.6926745508393,66.6078588894963,1,1,0,1,0.0903003215789795,"bootstrap",0.0907533168792725,NA
35,"unadj","two_stage","m1",628,63.8375082398604,13.8375082398604,NA,NA,8.02490203559983,-0.36601453461423,64.2035227744746,48.1089892706225,79.5660272090982,48.4750038052368,79.9320417437124,1,1,0,1,0.0885858535766602,"bootstrap",0.0890777111053467,NA
36,"unadj","two_stage","m1",602,64.7767836433258,14.7767836433258,NA,NA,7.8916365354859,0.835503831048086,63.9412798122777,49.309460254693,80.2441070319586,48.4739564236449,79.4086032009105,1,1,0,1,0.0904600620269775,"bootstrap",0.0909333229064941,NA
37,"unadj","two_stage","m1",611,75.2890905986682,25.2890905986682,NA,NA,7.15737404414016,-0.0298624038623956,75.3189530025306,61.2608952482717,89.3172859490647,61.2907576521341,89.3471483529271,0,0,1,1,0.0908539295196533,"bootstrap",0.0913131237030029,NA
38,"unadj","two_stage","m1",568,56.9740870664798,6.97408706647983,NA,NA,7.3498293364713,-1.65702151027828,58.6311085767581,42.5686862744802,71.3794878584795,44.2257077847584,73.0365093687578,1,1,0,1,0.0909566879272461,"bootstrap",0.0914347171783447,NA
39,"unadj","two_stage","m1",620,47.9965735339621,-2.00342646603792,NA,NA,7.10225552773631,0.280273976125834,47.7162995578362,34.0764084905984,61.9167385773258,33.7961345144726,61.6364646011999,1,1,0,1,0.0912292003631592,"bootstrap",0.0917153358459473,NA
40,"unadj","two_stage","m1",581,64.083815682344,14.083815682344,NA,NA,6.04105496307465,1.22865617081693,62.855159511527,52.2435655260907,75.9240658385972,51.0149093552738,74.6954096677803,0,0,1,1,0.0908689498901367,"bootstrap",0.0913238525390625,NA
41,"unadj","two_stage","m1",599,77.0114541489155,27.0114541489155,NA,NA,8.18463476012764,-0.0986704301538452,77.1101245790693,60.9698647924507,93.0530435053803,61.0685352226045,93.1517139355341,0,0,1,1,0.0833005905151367,"bootstrap",0.0837526321411133,NA
42,"unadj","two_stage","m1",612,67.0803574183174,17.0803574183174,NA,NA,7.44641458404159,0.636388022181833,66.4439693961356,52.4856530196421,81.6750618169928,51.8492649974603,81.0386737948109,0,0,1,1,0.0840566158294678,"bootstrap",0.0845370292663574,NA
43,"unadj","two_stage","m1",594,79.0581726012302,29.0581726012302,NA,NA,7.98434469598283,1.39932633828779,77.6588462629424,63.4091445569504,94.7072006455099,62.0098182186626,93.3078743072221,0,0,1,1,0.0844748020172119,"bootstrap",0.0849308967590332,NA
44,"unadj","two_stage","m1",591,58.3895967895706,8.38959678957062,NA,NA,7.37976855818642,-0.385956253907501,58.7755530434781,43.9255162012842,72.8536773778571,44.3114724551917,73.2396336317646,1,1,0,1,0.0829126834869385,"bootstrap",0.083381175994873,NA
45,"unadj","two_stage","m1",611,66.6110574918109,16.6110574918109,NA,NA,7.73982872771578,0.196024239339309,66.4150332524716,51.4412719389795,81.7808430446423,51.2452476996402,81.5848188053029,0,0,1,1,0.083172082901001,"bootstrap",0.0836210250854492,NA
46,"unadj","two_stage","m1",599,64.1264380029445,14.1264380029445,NA,NA,6.66316443477081,-0.303456947902205,64.4298949508467,51.0668756877256,77.1860003181635,51.3703326356278,77.4894572660657,0,0,1,1,0.0829875469207764,"bootstrap",0.0834500789642334,NA
47,"unadj","two_stage","m1",614,70.9315235829226,20.9315235829226,NA,NA,7.1350165481155,0.229498176357495,70.7020254065651,56.9471481195189,84.9158990463262,56.7176499431614,84.6864008699687,0,0,1,1,0.0834283828735352,"bootstrap",0.0839283466339111,NA
48,"unadj","two_stage","m1",618,57.5314045664073,7.53140456640728,NA,NA,8.2353830045558,-0.247061050355704,57.778465616763,41.3903504785847,73.6724586542299,41.6374115289404,73.9195197045856,1,1,0,1,0.0832555294036865,"bootstrap",0.0837609767913818,NA
49,"unadj","two_stage","m1",601,68.4654664824035,18.4654664824035,NA,NA,7.70244090692009,-0.569973706893705,69.0354401892972,53.3689597117921,83.5619732530149,53.9389334186858,84.1319469599086,0,0,1,1,0.0833718776702881,"bootstrap",0.0838332176208496,NA
50,"unadj","two_stage","m1",623,60.6997294641061,10.6997294641061,NA,NA,7.37707037184814,0.246519845587478,60.4532096185186,46.2409372238662,75.1585217043459,45.9944173782787,74.9120018587585,1,1,0,1,0.0833919048309326,"bootstrap",0.0838429927825928,NA
51,"unadj","two_stage","m1",595,47.2340034283321,-2.76599657166787,NA,NA,7.23952969854306,-1.16950501125195,48.4035084395841,33.0447859541796,61.4232209024846,34.2142909654316,62.5927259137366,1,1,0,1,0.0835659503936768,"bootstrap",0.0840423107147217,NA
52,"unadj","two_stage","m1",593,54.987632126539,4.98763212653904,NA,NA,7.82473050369218,-0.939820626763797,55.9274527533028,39.6514421505704,70.3238221025077,40.5912627773342,71.2636427292715,1,1,0,1,0.0916893482208252,"bootstrap",0.0921878814697266,NA
53,"unadj","two_stage","m1",603,61.6992051887251,11.6992051887251,NA,NA,6.53716421063517,0.955856891878661,60.7433482968464,48.886598774856,74.5118116025942,47.9307418829773,73.5559547107156,1,1,0,1,0.0919222831726074,"bootstrap",0.0923876762390137,NA
54,"unadj","two_stage","m1",611,53.8859425492427,3.88594254924274,NA,NA,6.39025363651961,-0.301385095213107,54.1873276444558,41.3612755695882,66.4106095288973,41.6626606648013,66.7119946241104,1,1,0,1,0.082313060760498,"bootstrap",0.0828039646148682,NA
55,"unadj","two_stage","m1",630,74.0311197764978,24.0311197764978,NA,NA,6.98303044759042,0.00950138746419782,74.0216183890336,60.3446315962739,87.7176079567216,60.3351302088097,87.7081065692574,0,0,1,1,0.0831935405731201,"bootstrap",0.0837161540985107,NA
56,"unadj","two_stage","m1",624,59.3023305968377,9.30233059683772,NA,NA,6.78569161530852,0.241449344296683,59.060881252541,46.0026194206376,72.6020417730378,45.7611700763409,72.3605924287412,1,1,0,1,0.0827193260192871,"bootstrap",0.0832302570343018,NA
57,"unadj","two_stage","m1",611,56.5388910270021,6.53889102700211,NA,NA,6.71526640161232,-0.357140651225322,56.8960316782274,43.3772107332501,69.7005713207541,43.7343513844754,70.0577119719795,1,1,0,1,0.0827343463897705,"bootstrap",0.083207368850708,NA
