"replicate","Estimator","Procedure","ModelSpec","n_obs","estimate","bias","eif_var","eif_se","bootstrap_se","bootstrap_bias","bc_estimate","ci_lower","ci_upper","bc_ci_lower","bc_ci_upper","covered_true_95","covered_true_95_bc","reject_h0_effect","reject_h0_null","bootstrap_time_sec","se_method","replicate_time_sec","covered_mc_mean_95"
1,"xgboost","two_stage","m1",619,54.7610430627411,4.76104306274107,NA,NA,6.72646440070434,-3.80479860082214,58.5658416635632,41.5774150940698,67.9446710314124,45.3822136948919,71.7494696322345,1,1,0,1,170.564319610596,"bootstrap",172.58252954483,NA
2,"xgboost","two_stage","m1",612,55.5692867287164,5.56928672871641,NA,NA,7.6823136480885,-5.2162073198083,60.7854940485247,40.5122286605224,70.6263447969104,45.7284359803308,75.8425521167187,1,1,0,1,172.139986276627,"bootstrap",173.998532772064,NA
3,"xgboost","two_stage","m1",603,51.5211613196591,1.52116131965906,NA,NA,6.65499145416829,-4.70646299022093,56.22762430988,38.4776177520674,64.5647048872508,43.1840807422883,69.2711678774717,1,1,0,1,171.721501350403,"bootstrap",173.525517225266,NA
4,"xgboost","two_stage","m1",617,51.3097902892614,1.30979028926136,NA,NA,6.5212964659643,-4.03633325520931,55.3461235444707,38.528284083463,64.0912964950597,42.5646173386723,68.127629750269,1,1,0,1,173.306825876236,"bootstrap",175.107019424438,NA
5,"xgboost","two_stage","m1",611,49.8337537955511,-0.16624620444891,NA,NA,6.35593421278016,-8.59659210902055,58.4303459045716,37.376351650396,62.2911559407061,45.9729437594166,70.8877480497267,1,1,0,1,173.918341636658,"bootstrap",175.832916975021,NA
6,"xgboost","two_stage","m1",611,47.7156421174988,-2.2843578825012,NA,NA,7.41166516928811,-5.11124526920985,52.8268873867086,33.1890453202241,62.2422389147735,38.300290589434,67.3534841839833,1,1,0,1,172.322036743164,"bootstrap",174.202958106995,NA
7,"xgboost","two_stage","m1",611,54.3037696839408,4.30376968394085,NA,NA,7.07280885119201,-7.01523812837111,61.319007812312,40.4413190660684,68.1662203018133,47.4565571944395,75.1814584301844,1,1,0,1,172.930756568909,"bootstrap",174.866161346436,NA
8,"xgboost","two_stage","m1",613,68.2247558774119,18.2247558774119,NA,NA,8.77279728713059,-4.72548763415617,72.950243511568,51.0303891509652,85.4191226038585,55.7558767851214,90.1446102380147,0,0,1,1,172.152200698853,"bootstrap",174.35636472702,NA
9,"xgboost","two_stage","m1",603,63.7441894674972,13.7441894674972,NA,NA,7.59234787206619,-6.17474347858656,69.9189329460837,48.8634610801481,78.6249178548462,55.0382045587347,84.7996613334328,1,0,0,1,171.472602844238,"bootstrap",173.486047029495,NA
10,"xgboost","two_stage","m1",621,59.2604888463215,9.26048884632145,NA,NA,6.4558232351353,-5.80557409095933,65.0660629372808,46.6073078148994,71.9136698777435,52.4128819058587,77.7192439687028,1,0,0,1,173.373648166656,"bootstrap",176.196014881134,NA
11,"xgboost","two_stage","m1",610,49.9879618333156,-0.012038166684377,NA,NA,6.75689812808044,-4.86734783524835,54.855309668564,36.7446848550719,63.2312388115594,41.6120326903202,68.0985866468077,1,1,0,1,173.063864469528,"bootstrap",174.688949584961,NA
12,"xgboost","two_stage","m1",603,60.316802897612,10.316802897612,NA,NA,8.31866140477881,-10.6980759493181,71.0148788469302,44.0125261446622,76.6210796505619,54.7106020939803,87.31915559988,1,0,0,1,170.798371553421,"bootstrap",172.556674957275,NA
13,"xgboost","two_stage","m1",598,60.6793295314835,10.6793295314835,NA,NA,6.87695633900164,-2.90583247465528,63.5851620061388,47.2007427837859,74.1579162791811,50.1065752584412,77.0637487538364,1,0,0,1,171.073598146439,"bootstrap",173.127621889114,NA
14,"xgboost","two_stage","m1",578,56.2405892459597,6.24058924595965,NA,NA,6.71225851335179,-7.81329907227808,64.0538883182377,43.0848043048678,69.3963741870515,50.8981033771459,77.2096732593296,1,0,0,1,172.746403455734,"bootstrap",174.466472387314,NA
15,"xgboost","two_stage","m1",601,52.1534929654019,2.15349296540192,NA,NA,6.18469040547861,-6.52833713905598,58.6818301044579,40.0317225151334,64.2752634156704,46.5600596541894,70.8036005547264,1,1,0,1,172.263183116913,"bootstrap",173.87789607048,NA
16,"xgboost","two_stage","m1",611,67.3326654868617,17.3326654868617,NA,NA,6.89559823483023,-6.54391402238814,73.8765795092499,53.8175412947365,80.8477896789869,60.3614553171246,87.3917037013751,0,0,1,1,172.079768896103,"bootstrap",173.695633411407,NA
17,"xgboost","two_stage","m1",618,61.2519341073192,11.2519341073192,NA,NA,6.11993037980533,-2.58320476987565,63.8351388771949,49.2570909750083,73.2467772396302,51.8402957448839,75.8299820095059,1,0,0,1,171.446486711502,"bootstrap",173.193686485291,NA
18,"xgboost","two_stage","m1",615,71.6445413797754,21.6445413797754,NA,NA,6.97247748220151,-7.02209744885948,78.6666388286349,57.9787366316439,85.3103461279069,65.0008340805034,92.3324435767663,0,0,1,1,172.873553276062,"bootstrap",174.812448501587,NA
19,"xgboost","two_stage","m1",611,48.8009379102061,-1.1990620897939,NA,NA,6.15905301037018,-2.79945118250239,51.6003890927085,36.7294158310076,60.8724599894047,39.5288670135099,63.671911171907,1,1,0,1,171.339704990387,"bootstrap",172.92128610611,NA
20,"xgboost","two_stage","m1",613,56.9971429357352,6.99714293573521,NA,NA,6.32352219555848,-4.99167587973317,61.9888188154684,44.603267177001,69.3910186944695,49.5949430567341,74.3826945742026,1,1,0,1,171.182836532593,"bootstrap",173.223699569702,NA
21,"xgboost","two_stage","m1",631,50.1463697666422,0.146369766642238,NA,NA,6.88618156398195,-5.51387778575443,55.6602475523967,36.6497019102339,63.6430376230506,42.1635796959884,69.156915408805,1,1,0,1,170.467109680176,"bootstrap",172.104906320572,NA
22,"xgboost","two_stage","m1",574,52.5334246374655,2.53342463746547,NA,NA,6.63519878397334,-5.10765007053681,57.6410747080023,39.5286739906138,65.5381752843172,44.6363240611506,70.645825354854,1,1,0,1,171.398140907288,"bootstrap",173.094957113266,NA
23,"xgboost","two_stage","m1",593,52.5574461694252,2.55744616942524,NA,NA,6.83202089128802,-1.15962493848223,53.7170711079075,39.1669312808755,65.947961057975,40.3265562193577,67.1075859964572,1,1,0,1,169.17603635788,"bootstrap",170.8957259655,NA
